timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 09:57:51.053, P0, 1597 MHz, 47.55 W, 79, 0x0000000000000020
2026/09/25 09:57:51.317, P0, 1597 MHz, 47.55 W, 79, 0x0000000000000020
2026/09/25 09:57:51.580, P0, 1612 MHz, 47.64 W, 79, 0x0000000000000020
2026/09/25 09:57:51.844, P0, 1612 MHz, 47.64 W, 79, 0x0000000000000020
2026/09/25 09:57:52.106, P0, 1612 MHz, 47.68 W, 79, 0x0000000000000020
2026/09/25 09:57:52.357, P0, 1612 MHz, 47.68 W, 79, 0x0000000000000020
2026/09/25 09:57:52.619, P0, 1530 MHz, 48.66 W, 79, 0x0000000000000020
2026/09/25 09:57:52.870, P0, 1530 MHz, 48.66 W, 79, 0x0000000000000020
2026/09/25 09:57:53.136, P0, 1537 MHz, 47.85 W, 79, 0x0000000000000020
2026/09/25 09:57:53.398, P0, 1537 MHz, 47.85 W, 79, 0x0000000000000020
2026/09/25 09:57:53.662, P0, 1620 MHz, 47.54 W, 79, 0x0000000000000020
2026/09/25 09:57:53.913, P0, 1620 MHz, 47.54 W, 79, 0x0000000000000020
2026/09/25 09:57:54.177, P0, 1732 MHz, 52.66 W, 80, 0x0000000000000020
2026/09/25 09:57:54.442, P0, 1732 MHz, 52.66 W, 80, 0x0000000000000020
2026/09/25 09:57:54.705, P0, 1627 MHz, 53.40 W, 80, 0x0000000000000020
2026/09/25 09:57:54.971, P0, 1612 MHz, 53.27 W, 80, 0x0000000000000020
2026/09/25 09:57:55.222, P0, 1612 MHz, 53.27 W, 80, 0x0000000000000020
2026/09/25 09:57:55.487, P0, 1612 MHz, 52.83 W, 80, 0x0000000000000020
2026/09/25 09:57:55.751, P0, 1612 MHz, 52.83 W, 80, 0x0000000000000020
2026/09/25 09:57:56.002, P0, 1597 MHz, 52.58 W, 80, 0x0000000000000020
2026/09/25 09:57:56.275, P0, 1597 MHz, 52.58 W, 80, 0x0000000000000020
2026/09/25 09:57:56.533, P0, 1530 MHz, 50.20 W, 80, 0x0000000000000020
2026/09/25 09:57:56.797, P0, 1530 MHz, 50.20 W, 80, 0x0000000000000020
2026/09/25 09:57:57.062, P0, 1530 MHz, 50.40 W, 80, 0x0000000000000020
2026/09/25 09:57:57.327, P0, 1530 MHz, 50.40 W, 80, 0x0000000000000020
2026/09/25 09:57:57.592, P0, 1530 MHz, 49.51 W, 79, 0x0000000000000020
2026/09/25 09:57:57.857, P0, 1530 MHz, 49.51 W, 79, 0x0000000000000020
2026/09/25 09:57:58.120, P0, 1530 MHz, 49.84 W, 80, 0x0000000000000020
2026/09/25 09:57:58.385, P0, 1530 MHz, 49.84 W, 80, 0x0000000000000020
2026/09/25 09:57:58.651, P0, 1530 MHz, 49.87 W, 80, 0x0000000000000020
2026/09/25 09:57:58.916, P0, 1530 MHz, 49.87 W, 80, 0x0000000000000020
2026/09/25 09:57:59.179, P0, 1530 MHz, 49.21 W, 79, 0x0000000000000020
2026/09/25 09:57:59.430, P0, 1530 MHz, 49.21 W, 79, 0x0000000000000020
2026/09/25 09:57:59.695, P0, 1530 MHz, 48.59 W, 79, 0x0000000000000020
2026/09/25 09:57:59.959, P0, 1597 MHz, 48.21 W, 79, 0x0000000000000020
2026/09/25 09:58:00.211, P0, 1597 MHz, 48.21 W, 79, 0x0000000000000020
2026/09/25 09:58:00.462, P0, 1597 MHz, 47.82 W, 79, 0x0000000000000020
2026/09/25 09:58:00.712, P0, 1597 MHz, 47.82 W, 79, 0x0000000000000020
2026/09/25 09:58:00.978, P0, 1612 MHz, 47.71 W, 79, 0x0000000000000020
2026/09/25 09:58:01.242, P0, 1612 MHz, 47.71 W, 79, 0x0000000000000020
2026/09/25 09:58:01.506, P0, 1530 MHz, 48.25 W, 79, 0x0000000000000020
2026/09/25 09:58:01.757, P0, 1530 MHz, 48.25 W, 79, 0x0000000000000020
2026/09/25 09:58:02.022, P0, 1537 MHz, 47.75 W, 79, 0x0000000000000020
2026/09/25 09:58:02.286, P0, 1537 MHz, 47.75 W, 79, 0x0000000000000020
2026/09/25 09:58:02.549, P0, 1740 MHz, 49.95 W, 80, 0x0000000000000020
2026/09/25 09:58:02.815, P0, 1740 MHz, 49.95 W, 80, 0x0000000000000020
2026/09/25 09:58:03.065, P0, 1620 MHz, 44.53 W, 79, 0x0000000000000020
2026/09/25 09:58:03.331, P0, 1620 MHz, 44.53 W, 79, 0x0000000000000020
2026/09/25 09:58:03.594, P0, 1530 MHz, 47.11 W, 79, 0x0000000000000020
2026/09/25 09:58:03.859, P0, 1530 MHz, 47.11 W, 79, 0x0000000000000020
2026/09/25 09:58:04.124, P0, 1530 MHz, 48.08 W, 79, 0x0000000000000020
2026/09/25 09:58:04.389, P0, 1530 MHz, 48.08 W, 79, 0x0000000000000020
2026/09/25 09:58:04.652, P0, 1530 MHz, 48.78 W, 79, 0x0000000000000020
2026/09/25 09:58:04.904, P0, 1530 MHz, 48.78 W, 79, 0x0000000000000020
2026/09/25 09:58:05.155, P0, 1530 MHz, 48.96 W, 79, 0x0000000000000020
2026/09/25 09:58:05.420, P0, 1530 MHz, 48.96 W, 79, 0x0000000000000020
2026/09/25 09:58:05.683, P0, 1530 MHz, 50.07 W, 79, 0x0000000000000020
2026/09/25 09:58:05.935, P0, 1530 MHz, 50.07 W, 79, 0x0000000000000020
2026/09/25 09:58:06.200, P0, 1530 MHz, 50.49 W, 79, 0x0000000000000020
2
