timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 09:58:18.871, P0, 1657 MHz, 51.32 W, 80, 0x0000000000000020
2026/09/25 09:58:19.128, P0, 1845 MHz, 21.06 W, 76, [Unknown Error]
2026/09/25 09:58:19.473, [Unknown Error], 1740 MHz, 20.58 W, 73, 0x0000000000000001
2026/09/25 09:58:20.488, P0, 1740 MHz, 19.93 W, 73, 0x0000000000000001
2026/09/25 09:58:20.746, P0, 1740 MHz, 19.93 W, 73, 0x0000000000000001
2026/09/25 09:58:20.998, P0, 1740 MHz, 19.64 W, 75, 0x0000000000000001
2026/09/25 09:58:21.263, P0, 1740 MHz, 19.64 W, 75, 0x0000000000000001
2026/09/25 09:58:21.527, P0, 1762 MHz, 63.01 W, 81, 0x0000000000000020
2026/09/25 09:58:21.793, P0, 1567 MHz, 51.15 W, 80, 0x0000000000000020
2026/09/25 09:58:22.049, P0, 1567 MHz, 51.15 W, 80, 0x0000000000000020
2026/09/25 09:58:22.302, P0, 1567 MHz, 51.03 W, 79, 0x0000000000000020
2026/09/25 09:58:22.554, P0, 1567 MHz, 51.03 W, 79, 0x0000000000000020
2026/09/25 09:58:22.809, P0, 1567 MHz, 50.29 W, 79, 0x0000000000000020
2026/09/25 09:58:23.067, P0, 1567 MHz, 50.29 W, 79, 0x0000000000000020
2026/09/25 09:58:23.318, P0, 1552 MHz, 50.74 W, 79, 0x0000000000000020
2026/09/25 09:58:23.571, P0, 1552 MHz, 50.74 W, 79, 0x0000000000000020
2026/09/25 09:58:23.826, P0, 1552 MHz, 50.84 W, 79, 0x0000000000000020
2026/09/25 09:58:24.083, P0, 1552 MHz, 50.84 W, 79, 0x0000000000000020
2026/09/25 09:58:24.339, P0, 1837 MHz, 46.24 W, 79, 0x0000000000000020
2026/09/25 09:58:24.591, P0, 1837 MHz, 46.24 W, 79, 0x0000000000000020
2026/09/25 09:58:24.850, P0, 1552 MHz, 50.16 W, 80, 0x0000000000000020
2026/09/25 09:58:25.110, P0, 1552 MHz, 50.16 W, 80, 0x0000000000000020
2026/09/25 09:58:25.361, P0, 1552 MHz, 50.81 W, 80, 0x0000000000000020
2026/09/25 09:58:25.612, P0, 1552 MHz, 50.81 W, 80, 0x0000000000000020
2026/09/25 09:58:25.870, P0, 1560 MHz, 50.34 W, 79, 0x0000000000000020
2026/09/25 09:58:26.133, P0, 1560 MHz, 50.34 W, 79, 0x0000000000000020
2026/09/25 09:58:26.387, P0, 1560 MHz, 50.15 W, 79, 0x0000000000000020
2026/09/25 09:58:26.638, P0, 1560 MHz, 50.15 W, 79, 0x0000000000000020
2026/09/25 09:58:26.889, P0, 1582 MHz, 49.74 W, 79, 0x0000000000000020
2026/09/25 09:58:27.147, P0, 1582 MHz, 49.74 W, 79, 0x0000000000000020
2026/09/25 09:58:27.405, P0, 1642 MHz, 50.42 W, 79, 0x0000000000000020
2026/09/25 09:58:27.659, P0, 1642 MHz, 50.42 W, 79, 0x0000000000000020
2026/09/25 09:58:27.909, P0, 1650 MHz, 50.01 W, 79, 0x0000000000000020
2026/09/25 09:58:28.160, P0, 1650 MHz, 50.01 W, 79, 0x0000000000000020
2026/09/25 09:58:28.419, P0, 1807 MHz, 45.32 W, 79, 0x0000000000000020
2026/09/25 09:58:28.673, P0, 1807 MHz, 45.32 W, 79, 0x0000000000000020
2026/09/25 09:58:28.933, P0, 1575 MHz, 50.68 W, 80, 0x0000000000000020
2026/09/25 09:58:29.186, P0, 1575 MHz, 50.68 W, 80, 0x0000000000000020
2026/09/25 09:58:29.447, P0, 1582 MHz, 50.36 W, 79, 0x0000000000000020
2026/09/25 09:58:29.701, P0, 1582 MHz, 50.36 W, 79, 0x0000000000000020
2026/09/25 09:58:29.957, P0, 1665 MHz, 50.19 W, 79, 0x0000000000000020
2026/09/25 09:58:30.210, P0, 1665 MHz, 50.19 W, 79, 0x0000000000000020
2026/09/25 09:58:30.469, P0, 1807 MHz, 40.39 W, 80, 0x0000000000000020
2026/09/25 09:58:30.724, P0, 1807 MHz, 40.39 W, 80, 0x0000000000000020
2026/09/25 09:58:30.981, P0, 1800 MHz, 46.89 W, 79, 0x0000000000000020
2026/09/25 09:58:31.234, P0, 1800 MHz, 46.89 W, 79, 0x0000000000000020
2026/09/25 09:58:31.487, P0, 1860 MHz, 46.26 W, 79, 0x0000000000000020
2026/09/25 09:58:31.741, P0, 1860 MHz, 46.26 W, 79, 0x0000000000000020
2026/09/25 09:58:31.998, P0, 1567 MHz, 51.07 W, 80, 0x0000000000000020
2026/09/25 09:58:32.251, P0, 1567 MHz, 51.07 W, 80, 0x0000000000000020
2026/09/25 09:58:32.505, P0, 1552 MHz, 50.59 W, 80, 0x0000000000000020
2026/09/25 09:58:32.763, P0, 1552 MHz, 50.59 W, 80, 0x0000000000000020
2026/09/25 09:58:33.017, P0, 1545 MHz, 50.33 W, 80, 0x0000000000000020
2026/09/25 09:58:33.271, P0, 1545 MHz, 50.33 W, 80, 0x0000000000000020
2026/09/25 09:58:33.525, P0, 1530 MHz, 50.26 W, 80, 0x0000000000000020
2026/09/25 09:58:33.783, P0, 1530 MHz, 50.26 W, 80, 0x0000000000000020
2026/09/25 09:58:34.036, P0, 1530 MHz, 50.68 W, 80, 0x0000000000000020
2026/09/25 09:58:34.294, P0, 1545 MHz, 50.18 W, 80, 0x0000000000000020
2026/09/25 09:58:34.545, P0, 1545 MHz, 50.18 W, 80, 0x0000000000000020
2026/09/25 09:58:34.802, P0, 1537 MHz, 50.62 W, 80, 0x0000000000000020
2026/09/25 09:58:35.060, P0, 1537 MHz, 50.62 W, 80, 0x0000000000000020
2026/09/25 09:58:35.317, P0, 1545 MHz, 50.63 W, 80, 0x0000000000000020
2026/09/25 09:58:35.570, P0, 1545 MHz, 50.63 W, 80, 0x0000000000000020
2026/09/25 09:58:35.826, P0, 1560 MHz, 50.50 W, 80, 0x0000000000000020
2026/09/25 09:58:36.082, P0, 1560 MHz, 50.50 W, 80, 0x0000000000000020
2026/09/25 09:58:36.337, P0, 1575 MHz, 50.09 W, 80, 0x0000000000000020
2026/09/25 09:58:36.588, P0, 1575 MHz, 50.09 W, 80, 0x0000000000000020
2026/09/25 09:58:36.841, P0, 1642 MHz, 52.85 W, 80, 0x0000000000000020
2026/09/25 09:58:37.096, P0, 1642 MHz, 52.85 W, 80, 0x0000000000000020
2026/09/25 09:58:37.351, P0, 1642 MHz, 50.78 W, 80, 0x0000000000000020
2026/09/25 09:58:37.607, P0, 1642 MHz, 50.78 W, 80, 0x0000000000000020
