# start_unix_ms 1790323544279
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
60,379.228,6.1012,0.0000,5.8014,0.0376,0.0459,6.1093,0.2554,0.1946,0.0000
61,385.395,6.1670,0.0000,5.9641,0.0327,0.0433,6.2506,0.5585,0.1946,0.0000
62,391.691,6.2966,0.0000,5.8294,0.0327,0.0430,6.1213,0.5728,0.1946,0.0000
63,397.883,6.1915,0.0000,5.6953,0.0335,0.0561,6.0015,0.2573,0.1946,0.0000
64,403.932,6.0494,0.0000,5.8934,0.0446,0.0496,6.3203,0.2590,0.1946,0.0000
65,410.342,6.4099,0.0000,5.6259,0.0456,0.0567,5.9873,0.2560,0.1946,0.0000
66,416.391,6.0491,0.0000,5.7269,0.0356,0.0785,6.1213,0.5634,0.1946,0.0000
67,422.561,6.1700,0.0000,5.6752,0.0395,0.0476,6.0374,0.5679,0.1946,0.0000
68,428.656,6.0951,0.0000,5.7744,0.0292,0.0405,6.0472,0.2540,0.1946,0.0000
69,434.746,6.0902,0.0000,5.7983,0.0274,0.0394,6.1295,0.2537,0.1946,0.0000
70,440.917,6.1709,0.0000,5.8659,0.0319,0.0447,6.1498,0.5617,0.1946,0.0000
71,447.126,6.2084,0.0000,5.8337,0.0308,0.0427,6.1209,0.5594,0.1935,0.0000
72,453.291,6.1650,0.0000,5.8433,0.0374,0.0480,6.1568,0.2545,0.1946,0.0000
73,459.505,6.2140,0.0000,5.8100,0.0398,0.0671,6.1878,0.2529,0.1956,0.0000
74,465.748,6.2433,0.0000,5.7021,0.0297,0.0507,5.9980,0.5605,0.1946,0.0000
75,471.835,6.0866,0.0000,5.8689,0.0313,0.8309,6.9801,0.5624,0.1946,0.0000
76,478.866,7.0314,0.0000,4.9636,0.0280,0.0394,5.2425,0.2529,0.1946,0.0000
77,484.149,5.2833,0.0000,5.8653,0.0331,0.0474,6.1466,0.2532,0.1946,0.0000
78,490.345,6.1953,0.0000,5.8382,0.0314,0.0487,6.1398,0.5611,0.1946,0.0000
79,496.534,6.1889,0.0000,5.8544,0.0317,0.0408,6.1269,0.5596,0.1946,0.0000
80,502.704,6.1705,0.0000,5.8443,0.0279,0.0423,6.1119,0.2536,0.1946,0.0000
81,508.859,6.1549,0.0000,5.9060,0.0287,0.0417,6.2004,0.2526,0.1946,0.0000
82,515.106,6.2474,0.0000,5.7583,0.0288,1.9612,8.0013,0.2511,0.1946,0.0000
83,523.153,8.0463,0.0000,3.9907,0.0259,0.0860,4.3119,0.5543,0.1956,0.0000
84,527.502,4.3494,0.0000,5.7267,0.0247,0.8836,6.8742,0.5608,0.1946,0.0000
85,534.451,6.9491,0.0000,5.0393,0.0267,0.0361,5.2943,0.2532,0.1946,0.0000
86,539.780,5.3289,0.0000,5.8853,0.0262,0.0381,6.1373,0.2510,0.1946,0.0000
87,545.955,6.1753,0.0000,5.8633,0.0267,0.0848,6.1688,0.5587,0.1946,0.0000
88,552.162,6.2067,0.0000,5.8560,0.0276,0.0396,6.1254,0.5620,0.1946,0.0000
89,558.329,6.1668,0.0000,5.8474,0.0404,0.0692,6.2754,0.2558,0.1946,0.0000
90,564.679,6.3499,0.0000,5.7872,0.0317,0.0587,6.1101,0.2572,0.1946,0.0000
91,570.844,6.1653,0.0000,6.1130,0.0303,0.1115,6.4798,0.2543,0.1946,0.0000
92,577.374,6.5296,0.0000,6.1128,0.0335,0.0451,6.4179,0.5997,0.1946,0.0000
93,583.845,6.4714,0.0000,6.1639,0.0325,0.0431,6.4671,0.2718,0.1956,0.0000
94,590.357,6.5124,0.0000,6.1930,0.0309,0.0464,6.4826,0.6041,0.1946,0.0000
95,596.891,6.5332,0.0000,6.2457,0.0409,0.0992,6.6145,0.2758,0.1946,0.0000
96,603.618,6.7274,0.0000,6.0104,0.0321,0.0455,6.2987,0.6033,0.1946,0.0000
97,609.959,6.3407,0.0000,6.2132,0.0299,0.0920,6.5481,0.2738,0.1956,0.0000
98,616.543,6.5837,0.0000,6.1903,0.0313,0.0427,6.4804,0.6055,0.1946,0.0000
99,623.065,6.5226,0.0000,6.2584,0.0304,0.0482,6.5607,0.2723,0.1946,0.0000
100,629.680,6.6151,0.0000,6.1629,0.0307,0.0420,6.4497,0.6065,0.1946,0.0000
101,636.176,6.4962,0.0000,6.2605,0.0298,0.0418,6.5434,0.6106,0.1956,0.0000
102,642.765,6.5891,0.0000,6.3140,0.0316,0.0432,6.6074,0.2758,0.1956,0.0000
103,649.422,6.6560,0.0000,6.1716,0.0342,0.0455,6.4736,0.6074,0.1956,0.0000
104,655.947,6.5257,0.0000,6.1992,0.0481,0.0573,6.6577,0.2749,0.1946,0.0000
105,662.686,6.7389,0.0000,6.1246,0.0316,0.0452,6.4315,0.2767,0.1946,0.0000
106,669.165,6.4790,0.0000,6.1997,0.0297,0.0438,6.4904,0.6082,0.1956,0.0000
107,675.701,6.5357,0.0000,6.2875,0.0437,0.0434,6.5888,0.2749,0.1946,0.0000
108,682.335,6.6338,0.0000,6.1510,0.0265,0.0423,6.4294,0.2752,0.1946,0.0000
109,688.805,6.4702,0.0000,6.2912,0.0306,0.0442,6.5799,0.6053,0.1946,0.0000
110,695.430,6.6256,0.0000,6.2684,0.0364,0.0459,6.5696,0.2731,0.1946,0.0000
111,702.046,6.6156,0.0000,6.2516,0.0304,0.0457,6.5414,0.6082,0.1946,0.0000
112,708.659,6.6128,0.0000,6.2337,0.0297,0.0406,6.5064,0.6075,0.1946,0.0000
113,715.205,6.5462,0.0000,6.4035,0.0502,0.0535,6.8180,0.2757,0.1946,0.0000
114,723.306,8.1007,0.0000,4.8382,0.0341,0.0535,5.1562,0.2717,0.1956,0.0000
115,728.505,5.1998,0.0000,6.2544,0.0332,0.0440,6.5554,0.6066,0.1946,0.0000
116,735.105,6.5993,0.0000,6.2788,0.0364,0.0436,6.6575,0.2742,0.1946,0.0000
117,741.812,6.7073,0.0000,6.1411,0.0309,0.0422,6.4298,0.2713,0.1946,0.0000
118,748.288,6.4757,0.0000,6.3184,0.0369,0.0449,6.7032,0.6044,0.1946,0.0000
119,755.045,6.7570,0.0000,6.1683,0.0314,0.0543,6.4739,0.6061,0.1956,0.0000
120,761.569,6.5239,0.0000,6.2507,0.0455,0.0495,6.5868,0.2705,0.1946,0.0000
121,768.219,6.6505,0.0000,6.2574,0.0303,0.0429,6.5550,0.2733,0.1946,0.0000
122,774.821,6.6022,0.0000,6.3106,0.0331,0.0455,6.6163,0.6040,0.1946,0.0000
123,781.491,6.6698,0.0000,6.2867,0.0318,0.0442,6.5876,0.6068,0.1956,0.0000
124,788.129,6.6381,0.0000,6.3077,0.0328,0.0438,6.6010,0.6085,0.1946,0.0000
125,794.775,6.6457,0.0000,6.3128,0.0330,0.0460,6.6610,0.2719,0.1956,0.0000
