frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
0,0.0000,0.0267,0.0692,0.8180,10.4360
1,10.5615,0.0206,0.0366,0.3774,0.5470
2,0.5906,0.0221,0.0210,0.1193,0.2545
3,0.2876,0.0138,1.3125,0.0777,1.5102
4,1.5521,0.0177,10.5352,0.0996,10.7638
5,10.8266,0.0222,3.1997,0.1325,3.4722
6,3.5657,0.0247,1.1596,0.1295,1.4784
7,1.5692,0.0779,2.9380,0.0790,3.2853
8,3.3340,0.0176,1.0159,0.1058,1.2412
9,1.2828,0.0156,1.1707,0.0906,1.3883
10,1.4463,0.0309,1.1961,0.0812,1.4480
11,1.4926,0.0189,0.0352,0.0516,0.2025
12,0.2430,0.3671,0.9294,0.0831,1.4688
13,1.5095,0.0119,1.5061,0.0724,1.6935
14,1.7769,0.0194,1.2058,0.0569,1.3731
15,1.4093,0.0125,6.4044,0.0732,6.5697
16,6.6044,0.0117,5.9191,0.0970,6.1280
17,6.2092,0.0198,7.0434,0.0793,7.2631
18,7.3245,0.0261,18.5042,0.0871,18.7309
19,18.8375,0.0260,1.0796,0.0957,1.3198
20,1.4585,0.0253,5.0629,0.0720,5.3189
21,5.3616,0.0188,1.3412,0.0563,1.5208
22,1.5618,0.0180,5.1344,0.1344,5.3865
23,5.4243,0.0192,1.1448,0.0999,1.3554
24,1.3950,0.0185,5.2191,0.0874,5.4121
25,5.4490,0.0165,1.2224,0.0636,1.3892
26,1.4278,0.0147,5.3105,0.0842,5.5125
27,5.5514,0.0181,1.2238,0.0910,1.4254
28,1.4654,0.0176,5.2672,0.0761,5.4521
29,5.5007,0.0176,1.1995,0.0741,1.3866
30,1.4343,0.0170,5.2109,0.0605,5.3881
31,5.4441,0.0212,1.1640,0.0937,1.3815
32,1.4212,0.0159,5.3392,0.0534,5.4943
33,5.5322,0.0139,1.2492,0.0669,1.4178
34,1.4561,0.0161,5.2732,0.0692,5.4512
35,5.4878,0.0175,1.2775,0.0705,1.4567
36,1.4934,0.0141,5.2122,0.0662,5.3821
37,5.4147,0.0157,1.2435,0.0547,1.3969
38,1.4271,0.0112,5.4996,0.0843,5.6870
39,5.7696,0.0380,1.0700,0.0640,1.2886
40,1.3273,0.0150,5.2444,0.0787,5.4235
41,5.4595,0.0167,1.1665,0.0519,1.3671
42,1.4045,0.0152,5.3430,0.0594,5.5060
43,5.5415,0.0155,1.1835,0.0663,1.3950
44,1.4360,0.0155,5.2406,0.0788,5.4275
45,5.4682,0.0170,0.6832,0.0468,0.8657
46,0.8955,0.0108,5.8207,0.0770,6.0003
47,6.0685,0.0223,1.0958,0.0644,1.3411
48,1.3846,0.0157,5.3949,0.0617,5.5612
49,5.5931,0.0130,1.2223,0.0928,1.4577
50,1.4981,0.0185,5.1798,0.0670,5.3500
51,5.3856,0.0144,1.2427,0.0645,1.4112
52,1.4642,0.0212,5.3484,0.0679,5.5239
53,5.5606,0.0132,1.2994,0.0697,1.4713
54,1.5154,0.0169,5.0921,0.0686,5.2692
55,5.3336,0.0183,1.3063,0.0660,1.4788
56,1.5200,0.0159,5.2573,0.0885,5.4491
57,5.4865,0.0180,1.1382,0.0589,1.3317
58,1.3847,0.0170,5.4403,0.0732,5.6338
59,5.6727,0.0173,1.3487,0.0630,1.5385
60,1.5783,0.0147,5.2554,0.1583,5.5639
61,5.7114,0.0225,1.0178,0.0686,1.2310
62,1.2957,0.0220,5.0584,0.0809,5.3189
63,5.3734,0.0269,1.1283,0.0754,1.4099
64,1.4579,0.0164,5.0148,0.0789,5.2337
65,5.2822,0.0183,1.2464,0.0734,1.4530
66,1.5073,0.0188,12.3103,0.1771,12.6853
67,12.8365,0.0342,0.7168,0.0780,1.1088
68,1.1668,0.0201,0.0185,0.0352,0.1804
69,0.2077,0.3360,4.7619,0.1406,5.3628
70,5.4293,0.0212,1.1414,0.0946,1.3595
71,1.4067,0.0182,4.9823,0.0713,5.1890
72,5.2316,0.0199,1.3684,0.0974,1.5995
73,1.6784,0.0240,5.2200,0.1958,5.6474
74,5.7816,0.0279,1.0456,0.0628,1.2945
75,1.3429,0.0164,5.0111,0.0709,5.2093
76,5.2898,0.0189,1.2035,0.1107,1.4217
77,1.4611,0.0180,5.1644,0.0675,5.3456
78,5.3849,0.0168,1.2502,0.0660,1.4231
79,1.4618,0.0163,5.1893,0.1065,5.4159
80,5.4560,0.0638,1.1831,0.0696,1.4641
81,1.5032,0.0180,5.1392,0.0694,5.3181
82,5.3545,0.0148,1.3305,0.0756,1.5148
83,1.5560,0.0173,5.2634,0.0721,5.4468
84,5.4850,0.0546,1.2156,0.0779,1.4412
85,1.4767,0.0157,5.1807,0.0889,5.3773
86,5.4156,0.0191,1.1879,0.0892,1.4068
87,1.4439,0.0145,5.1880,0.0896,5.3876
88,5.4523,0.0196,1.1502,0.0949,1.3774
89,1.4172,0.0182,5.1989,0.0740,5.3802
90,5.4346,0.0177,1.1589,0.0568,1.3235
91,1.3863,0.0153,5.3769,0.0688,5.5547
92,5.5922,0.0159,1.2337,0.1294,1.4601
93,1.4981,0.0171,5.2117,0.0932,5.4146
94,5.4518,0.0251,1.1971,0.0915,1.4107
95,1.4457,0.0151,5.2300,0.0935,5.4183
96,5.4729,0.0156,1.1705,0.0816,1.3584
97,1.3964,0.0146,5.4346,0.0643,5.6016
98,5.6406,0.0173,1.1742,0.0620,1.3532
99,1.3889,0.0135,5.2212,0.0983,5.4187
100,5.4482,0.0126,1.0886,0.0613,1.2404
101,1.2751,0.0136,5.5036,0.1185,5.7496
102,5.7999,0.0622,1.0381,0.0624,1.3084
103,1.3481,0.0156,5.2753,0.0671,5.4367
104,5.4737,0.0133,1.0879,0.0659,1.2501
105,1.2892,0.0159,5.4752,0.0977,5.6833
106,5.7224,0.0181,1.0808,0.0643,1.2581
107,1.2969,0.0154,5.3449,0.0748,5.5173
108,5.5451,0.0120,1.1416,0.0742,1.3127
109,1.3551,0.0149,5.6020,0.0984,5.8081
110,5.9279,0.0248,0.9439,0.0491,1.1312
111,1.1664,0.0106,5.2141,0.0518,5.3558
112,5.3817,0.0097,1.1144,0.0432,1.2392
113,1.2629,0.0088,5.5809,0.0732,5.7448
114,5.7864,0.0184,1.1635,0.0660,1.3458
115,1.3845,0.0152,5.3669,0.0800,5.5474
116,5.5843,0.0182,1.1712,0.0739,1.3586
117,1.4016,0.0157,5.3364,0.0625,5.4997
118,5.5304,0.0132,1.1377,0.0655,1.3038
119,1.3519,0.0147,5.3951,0.0733,5.5766
120,5.6146,0.0156,1.1069,0.0629,1.2753
121,1.3128,0.0162,5.4011,0.0832,5.5861
122,5.6224,0.0180,1.0511,0.0531,1.2119
123,1.2433,0.0121,5.4968,0.0776,5.6730
124,5.7115,0.0162,0.9798,0.0525,1.3102
125,1.3449,0.0140,5.3388,0.0734,5.5051
126,5.5577,0.0154,1.1637,0.0888,1.3617
127,1.4019,0.0168,5.3538,0.0666,5.5307
128,5.5680,0.0165,1.1682,0.0648,1.3400
129,1.3891,0.0157,5.3712,0.0833,5.5537
130,5.5935,0.0192,1.1207,0.0625,1.2922
131,1.3239,0.0110,5.4154,0.0903,5.6058
132,5.6503,0.0201,1.1811,0.0951,1.4001
133,1.4621,0.0203,5.7236,0.0975,5.9648
134,6.0341,0.0213,1.0807,0.0706,1.2854
135,1.3288,0.0150,4.8465,0.0788,5.0322
