frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
0,0.0000,0.0241,0.0959,0.9926,9.6687
1,9.7676,0.0208,0.0412,0.3973,0.5801
2,0.6429,0.0283,0.0274,0.1478,0.3309
3,0.3612,0.0140,0.0226,0.1348,0.2467
4,0.2758,0.3453,0.0256,10.5163,10.9755
5,11.0633,0.0340,0.0720,0.1019,0.3529
6,0.3974,6.0267,0.0432,2.8187,9.0185
7,9.0913,11.7293,0.0514,0.4563,12.4319
8,12.5149,6.6926,0.0456,0.2075,7.0833
9,7.1479,11.8142,0.0394,0.1816,12.1596
10,12.2284,6.8380,0.0450,0.1661,7.1798
11,7.2435,6.9340,0.0638,0.1516,7.2755
12,7.3423,6.2525,0.0508,0.1638,6.6730
13,6.7706,5.9906,0.0334,0.1937,6.3348
14,6.3909,6.8125,0.0315,0.1636,7.1321
15,7.1877,6.5061,0.0261,0.2339,6.8802
16,6.9321,6.5349,0.0270,0.1424,6.8226
17,6.9483,6.6129,0.0296,0.2487,7.0064
18,7.0563,6.3908,0.0277,0.2332,6.7651
19,6.8210,6.5569,0.0313,0.2007,6.9031
20,6.9533,6.5313,0.0263,0.2423,6.9130
21,6.9652,6.6182,0.0375,0.1162,6.9166
22,6.9752,6.6223,0.0324,0.1601,6.9324
23,6.9899,6.5829,0.0327,0.2252,6.9615
24,7.0188,6.2090,0.0350,0.1725,6.5383
25,6.5959,6.6494,0.0307,0.1820,6.9789
26,7.0363,6.4478,0.0379,0.1819,6.7909
27,6.9480,6.5106,0.0315,0.1914,6.8461
28,6.9458,6.4777,0.0817,0.1481,6.8378
29,6.8998,6.5705,0.0284,0.1921,6.9035
30,6.9591,6.5256,0.0343,0.2204,6.9111
31,7.0067,6.3619,0.0338,0.1707,6.6965
32,6.7546,6.7110,0.0323,0.2136,7.0732
33,7.1420,6.4753,0.0375,0.2126,6.8515
34,6.9035,6.5943,0.0332,0.2239,6.9775
35,7.0338,6.4078,0.0355,0.1300,6.7116
36,6.7863,8.2415,0.0637,0.1614,8.6968
37,8.8117,4.6496,0.0339,0.1852,4.9827
38,5.0388,6.7052,0.0314,0.1886,7.0348
39,7.0896,6.4774,0.0355,0.2073,6.8402
40,6.8917,6.4283,0.0281,0.1920,6.7495
41,6.7978,6.8016,0.0448,0.1265,7.1147
42,7.2015,6.2262,0.0345,0.1917,6.5722
43,6.6289,6.5586,0.0279,0.1878,6.8831
44,6.9491,6.5377,0.0306,0.2165,6.9045
45,6.9588,6.5146,0.0271,0.2487,6.8881
46,6.9380,6.5192,0.0280,0.2205,6.8742
47,6.9311,6.6903,0.0285,0.1864,7.0142
48,7.0633,6.5945,0.0382,0.1827,6.9228
49,6.9639,6.6830,0.0756,0.1392,7.0742
50,7.1673,6.3067,0.0363,0.1831,6.6497
51,6.7220,6.6279,0.0330,0.2211,6.9943
