frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
117,7.1550,6.5253,0.0351,0.1607,6.8476
118,7.0646,6.5429,0.0942,0.1363,6.9743
119,7.1070,6.1417,0.0387,0.1570,6.4795
120,6.5497,7.7168,0.0472,0.1378,8.0769
121,8.1722,5.2913,0.0375,0.1824,5.6331
122,5.6974,6.6410,0.0258,0.2284,6.9900
123,7.0325,6.4877,0.0149,0.2409,6.8197
124,6.8549,6.5475,0.0209,0.2159,6.8649
125,6.8982,6.5993,0.0234,0.2151,6.9230
126,6.9597,6.6323,0.0225,0.2183,6.9622
127,7.0022,6.4217,0.0208,0.2165,6.7422
128,6.7790,6.6198,0.0218,0.2157,6.9414
129,6.9874,6.5449,0.0221,0.2167,6.8709
130,6.9081,6.5759,0.0227,0.2144,6.8997
131,6.9322,6.6053,0.0264,0.2065,6.9313
132,6.9696,6.5742,0.0221,0.2152,6.8993
133,6.9391,6.5850,0.0261,0.1912,6.9081
134,6.9493,6.5555,0.0239,0.2122,6.8826
135,6.9188,6.8258,0.0508,0.1008,7.1666
136,7.2675,6.4788,0.0323,0.1937,6.8070
137,6.8529,6.4059,0.0259,0.2416,6.7769
138,6.8205,6.5931,0.0233,0.2145,6.9203
139,6.9534,6.5784,0.0208,0.2197,6.9056
140,6.9381,6.5838,0.0222,0.2211,6.9109
141,6.9451,6.6178,0.0229,0.2219,6.9487
142,6.9847,6.4259,0.0243,0.2228,6.7672
143,6.8112,6.5261,0.0228,0.2174,6.8501
144,6.8859,6.6394,0.0253,0.2166,6.9661
145,7.1009,6.4965,0.0290,0.1967,6.8388
146,6.8858,6.5799,0.0418,0.1566,6.9006
147,6.9671,6.6842,0.0420,0.1647,7.0419
148,7.1721,6.2926,0.0350,0.2076,6.6542
149,6.7188,6.6363,0.0432,0.1714,6.9838
150,7.0696,6.4060,0.0344,0.1870,6.7467
151,6.8109,6.5683,0.0335,0.2087,6.9258
152,6.9892,6.5113,0.0327,0.2138,6.8623
153,6.9403,6.7300,0.0382,0.1956,7.0907
154,7.1545,6.2783,0.0333,0.1989,6.6219
155,6.6773,6.5353,0.0385,0.1737,6.8860
156,6.9410,6.5400,0.0322,0.1948,6.8891
157,6.9388,6.5470,0.0382,0.1782,6.8802
158,6.9433,6.6266,0.0373,0.1750,6.9572
159,7.0781,6.5026,0.0356,0.1901,6.8428
160,6.9081,6.5589,0.0352,0.1870,6.8961
161,6.9804,6.6075,0.0418,0.2578,7.0404
162,7.1635,6.3564,0.0552,0.1260,6.7298
163,6.9035,6.3640,0.0423,0.1751,6.7075
164,6.7936,7.7658,0.0462,0.2421,8.1897
165,8.2952,5.1775,0.4154,0.1321,5.8852
166,6.6484,5.4966,0.0591,0.1258,5.8855
167,5.9770,6.4367,0.0448,0.1668,6.7847
168,6.8646,6.4263,0.0352,0.1799,6.7607
169,6.8167,6.5104,0.0363,0.1772,6.8590
170,6.9628,6.4276,0.0328,0.1950,6.7755
171,6.8567,6.7035,0.0275,0.1652,7.0163
172,7.0653,6.6008,0.0261,0.1709,6.9085
173,6.9536,6.4980,0.0287,0.2214,6.8654
174,6.9164,6.4977,0.0301,0.2356,6.8772
175,6.9596,6.6174,0.0358,0.0891,6.9016
176,7.0859,6.3638,0.0274,0.2331,6.7367
177,6.7852,6.4807,0.4160,0.0977,7.1168
178,7.1786,6.3195,0.0596,0.1542,6.6801
179,6.7702,6.6433,0.0386,0.1724,6.9856
180,7.1213,6.3699,0.0273,0.2508,6.7622
181,6.8123,6.4221,0.0397,0.1798,6.7773
182,6.9266,6.5564,0.0266,0.2267,6.9270
183,6.9748,6.5783,0.0309,0.2003,6.9432
184,6.9992,6.5302,0.0315,0.1834,6.8663
185,6.9137,6.4302,0.0440,0.2937,6.9077
186,7.4917,6.3781,0.0388,0.1688,6.7235
187,6.7864,6.0850,0.0273,0.1590,6.4007
188,6.4877,6.3644,0.0308,0.1966,6.7249
189,6.7832,6.5516,0.0259,0.4925,7.1897
190,7.3124,6.3022,0.0466,0.1436,6.6658
191,6.7779,6.5036,0.0307,0.2416,6.8991
192,6.9524,6.4742,0.0238,0.2027,6.8097
193,6.8613,6.4673,0.0310,0.2063,6.8313
194,6.8895,6.5943,0.0339,0.1796,6.9246
195,6.9767,6.5769,0.0301,0.2361,6.9600
196,7.0046,6.3606,0.0244,0.2046,6.7056
197,6.7498,6.5517,0.0296,0.1969,6.8946
198,6.9400,6.5842,0.0287,0.1758,6.9041
199,6.9514,6.9079,0.0551,0.1425,7.2921
200,7.4671,6.1091,0.0344,0.1740,6.4513
201,6.5144,6.6291,0.0337,0.1893,6.9796
202,7.0355,6.4849,0.0270,0.1916,6.8134
203,6.8577,6.6013,0.0297,0.2356,6.9802
204,7.0274,6.5509,0.0292,0.1669,6.8601
205,6.9095,6.5477,0.0357,0.1954,6.8943
206,6.9617,6.7925,0.0429,0.1160,7.0955
207,7.2930,6.8941,0.0548,0.1423,7.3105
208,7.5352,5.4994,0.0355,0.1668,5.8404
209,5.9036,8.0426,0.0410,0.1239,8.3703
210,8.4936,5.2828,0.0391,0.1757,5.6405
211,5.7152,6.3436,0.0300,0.2013,6.6792
212,6.7869,6.5545,0.0482,0.1289,6.9029
213,6.9835,6.5158,0.0443,0.1656,6.8693
214,6.9469,6.4671,0.0278,0.1878,6.7908
215,6.8368,6.5419,0.0239,0.1884,6.8482
216,6.8902,6.6872,0.0321,0.0899,6.9210
217,6.9665,6.5139,0.0350,0.1760,6.8478
218,6.9059,6.6412,0.0375,0.2931,7.0891
219,7.1843,6.4441,0.0377,0.0975,6.7926
220,6.8542,6.4455,0.0298,0.0861,6.6807
221,6.7241,6.8466,0.0859,0.0990,7.1519
222,7.2158,6.4975,0.0390,0.1578,6.8311
223,7.0281,6.4326,0.0329,0.3439,6.9095
224,6.9563,6.2537,0.0306,0.1966,6.5885
225,6.6359,6.8243,0.0384,0.1142,7.1425
226,7.2117,6.1162,0.0275,0.2140,6.4920
227,6.5741,6.5545,0.0257,0.2128,6.8878
228,6.9279,6.5670,0.0243,0.2015,6.8870
229,6.9269,6.6009,0.0446,0.1727,6.9323
230,6.9724,6.6131,0.0305,0.1378,6.8969
231,6.9534,6.6945,0.0268,0.2305,7.0561
232,7.1025,6.6542,0.0270,0.2954,7.0753
233,7.1234,6.3826,0.0288,0.2284,6.7479
234,6.7992,6.5558,0.0226,0.2177,6.8830
235,6.9262,6.3948,0.0332,0.1913,6.7299
236,6.7946,6.6976,0.0370,0.1852,7.0437
237,7.1073,6.5664,0.0312,0.2160,6.9215
238,6.9741,6.4529,0.0199,0.2196,6.7831
239,6.8256,6.4635,0.0299,0.2010,6.8063
240,6.8548,6.6551,0.0385,0.1685,6.9970
241,7.0770,6.5788,0.0504,0.1510,6.9538
242,7.0353,6.5090,0.0398,0.1775,6.8507
243,6.9175,6.5889,0.0323,0.1802,6.9220
244,6.9721,6.5253,0.0353,0.2161,6.9050
245,6.9917,6.5024,0.0308,0.2072,6.8593
246,6.9167,6.4346,0.0231,0.2179,6.7697
247,6.8446,6.5405,0.0260,0.3109,6.9738
248,7.0156,6.5176,0.0341,0.1973,6.8567
249,6.9224,6.6653,0.0352,0.1312,6.9740
250,7.0275,6.2481,0.0360,0.2405,6.6533
251,6.8616,6.3909,0.0349,0.1475,6.7032
252,6.7650,7.3551,0.0447,0.1226,7.6682
253,7.7517,5.7606,0.0431,0.1896,6.1279
254,6.2296,6.4424,0.0406,0.1915,6.8260
255,6.9081,6.4027,0.0236,0.2283,6.7667
256,6.8230,6.4887,0.0199,0.2362,6.8340
257,6.8951,6.5910,0.0280,0.2276,6.9498
258,6.9995,6.6858,0.0254,0.1981,7.0087
259,7.0569,6.6506,0.0283,0.2090,6.9908
260,7.0677,6.5448,0.0291,0.1537,6.8402
261,6.8818,6.6120,0.0232,0.1973,6.9475
262,7.0460,6.3161,0.0281,0.2059,6.6621
263,6.7383,6.6110,0.0279,0.2402,6.9971
264,7.0440,6.6980,0.0299,0.0824,6.9466
265,6.9914,6.4149,0.0364,0.1710,6.7609
266,6.8353,6.5184,0.0323,0.2183,6.8935
267,6.9526,6.5124,0.0368,0.1620,6.8524
268,6.9295,6.5966,0.0274,0.2094,6.9509
269,6.9984,6.5209,0.0251,0.2013,6.8517
270,6.8917,6.5559,0.0218,0.3057,6.9813
271,7.0301,6.6875,0.0350,0.0840,6.9325
272,6.9755,6.5265,0.0245,0.2169,6.8629
273,6.9017,6.5382,0.0246,0.2072,6.8775
274,6.9279,6.7247,0.0256,0.0805,6.9413
275,6.9958,6.4003,0.0244,0.2099,6.7229
276,6.7620,6.7091,0.0287,0.1385,6.9916
277,7.0325,6.7439,0.0252,0.0833,6.9467
278,6.9872,6.4613,0.0259,0.2069,6.7838
279,6.8254,6.6593,0.0307,0.1313,6.9321
280,7.0070,6.5816,0.0379,0.1962,6.9365
281,7.0094,6.5444,0.0304,0.1930,6.8763
282,6.9331,6.4780,0.0242,0.2071,6.8029
283,6.8429,6.8385,0.0280,0.0788,7.0418
284,7.0857,6.5529,0.0284,0.3144,7.0028
285,7.0510,6.4678,0.0249,0.2175,6.8136
286,6.8580,6.6134,0.0281,0.1218,6.8718
287,6.9155,6.5760,0.0258,0.2100,6.9294
288,6.9986,6.5085,0.0255,0.2172,6.8673
289,7.3548,6.0646,0.0334,0.2364,6.5428
290,6.5966,6.4639,0.0299,0.2212,6.8135
291,6.8680,6.3859,0.0266,0.3000,6.8118
292,6.8637,6.5608,0.0290,0.1426,6.8376
293,6.8808,6.5165,0.0388,0.1877,6.8454
294,6.8866,6.7379,0.0365,0.1013,7.0224
295,7.3473,7.0447,0.0468,0.1505,7.3917
296,7.4809,5.8962,0.0363,0.2571,6.3098
297,6.3997,6.3348,0.0460,0.1753,6.7081
