frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
117,6.7757,6.6296,0.0285,0.2884,7.0469
118,7.0878,6.6418,0.0310,0.2033,7.0325
119,7.0886,6.3296,0.0314,0.1560,6.6220
120,6.7112,6.4465,0.0629,0.0915,6.7296
121,6.7742,6.5982,0.0251,0.1914,6.9523
122,6.9944,6.7522,0.0231,0.1684,7.0392
123,7.0771,6.6896,0.0303,0.1257,6.9900
124,7.0349,6.3477,0.0558,0.0830,6.6517
125,6.6914,6.7571,0.0481,0.2736,7.2320
126,7.3178,9.4243,0.0625,0.2432,9.9829
127,10.0426,4.7200,0.0761,0.1659,5.2112
128,5.3010,4.6347,0.0402,0.1283,4.9317
129,5.0257,6.5128,0.0372,0.1662,6.8550
130,6.9467,6.4609,0.0284,0.2083,6.8070
131,6.8615,6.5502,0.0284,0.2164,6.9069
132,6.9523,6.4618,0.0298,0.1134,6.7425
133,6.7908,6.9335,0.0272,0.2134,7.2757
134,7.3168,6.3832,0.0249,0.2491,6.7541
135,6.7941,6.4646,0.0315,0.1581,6.7785
136,6.9000,6.7427,0.0330,0.1411,7.0327
137,7.0744,6.9356,0.0407,0.2010,7.3179
138,7.5348,5.9190,0.0441,0.1718,6.2807
139,6.3749,6.3648,0.0426,0.1924,6.7284
140,6.8082,6.5476,0.0458,0.1711,6.8897
141,7.2200,6.2112,0.0433,0.1584,6.5849
142,6.6539,6.6115,0.0454,0.1316,6.9245
143,7.0138,6.5267,0.0443,0.1543,6.8767
144,6.9581,6.4888,0.0444,0.1842,6.8478
145,6.9512,6.7096,0.0344,0.2067,7.0817
146,7.2232,6.1125,0.0250,0.2440,6.4801
147,6.5309,6.6884,0.0272,0.2434,7.0628
148,7.1134,6.4766,0.0258,0.2195,6.8109
149,6.9099,6.6152,0.0359,0.1763,6.9398
150,7.0804,6.5140,0.0279,0.2077,6.8540
151,6.9644,6.4362,0.0342,0.1650,6.7716
152,6.8157,6.5328,0.0225,0.2014,6.8586
153,6.9794,6.4917,0.0351,0.1778,6.8146
154,6.8614,6.5776,0.0212,0.2135,6.9110
155,6.9562,6.6129,0.0429,0.1942,6.9522
156,7.0149,6.7218,0.0234,0.0797,6.9137
