frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
117,1.2491,0.0155,5.6871,0.0886,5.8930
118,5.9529,0.0189,0.9745,0.0908,1.1975
119,1.2468,0.0187,5.2356,0.1161,5.4661
120,5.5060,0.0196,1.1475,0.0770,1.3390
121,1.3814,0.0158,5.3817,0.0658,5.5548
122,5.6952,0.0184,0.8708,0.0826,1.1129
123,1.1557,0.0152,5.4738,0.0614,5.6362
124,5.6780,0.0153,1.0886,0.0890,1.2955
125,1.3624,0.0234,5.4864,0.0610,5.6880
126,5.7279,0.0108,1.0839,0.0810,1.2780
127,1.3266,0.0175,5.3078,0.0708,5.4841
128,5.5135,0.0128,1.0940,0.0547,1.2407
129,1.2773,0.0107,5.7174,0.1649,5.9921
130,6.0350,0.0221,0.9229,0.0755,1.1549
131,1.1874,0.0139,5.0927,0.1006,5.2984
132,5.3360,0.0179,1.0610,0.0658,1.2357
133,1.2765,0.0160,5.5178,0.0674,5.6810
134,5.7828,0.0234,1.0135,0.0715,1.2028
135,1.3520,0.0242,5.2726,0.0654,5.4586
136,5.5026,0.0165,1.0318,0.1706,1.3286
137,1.4183,0.0279,5.3362,0.1276,5.8050
138,5.8932,0.0249,0.8918,0.0610,1.1418
139,1.1869,0.0148,5.2137,0.1248,5.4812
140,5.6820,0.0236,0.9243,0.0578,1.1493
141,1.1910,0.0169,5.2469,0.0850,5.4445
142,5.5156,0.0185,0.9917,0.0796,1.1953
143,1.2452,0.0163,5.4859,0.0728,5.6672
144,5.7081,0.0165,1.0500,0.0587,1.2113
145,1.2461,0.0133,5.3695,0.0539,5.5243
146,5.5567,0.0107,1.0574,0.0879,1.2431
147,1.2857,0.0170,5.3909,0.0639,5.5994
148,5.6391,0.0171,1.1189,0.0920,1.3209
149,1.3628,0.0163,5.4562,0.0773,5.6530
150,5.6929,0.0180,1.0191,0.0734,1.2013
151,1.2410,0.0156,5.3968,0.0799,5.5784
152,5.6145,0.0155,1.1621,0.0741,1.3399
153,1.3810,0.0178,5.4762,0.0947,5.6945
154,5.7892,0.0291,0.9174,0.0615,1.1166
155,1.1550,0.0166,6.7780,0.1130,7.0250
156,7.1114,0.0212,0.9091,0.0699,1.1489
157,1.1977,0.0133,3.9938,0.0729,4.1708
158,4.2168,0.0149,1.0384,0.0876,1.2305
159,1.2888,0.0174,5.4893,0.0958,5.6940
160,5.7613,0.0155,0.9828,0.1080,1.2001
161,1.2570,0.0182,5.2652,0.0943,5.5058
162,5.5499,0.0177,1.0163,0.0511,1.1720
163,1.2045,0.0115,5.5214,0.0857,5.7423
164,5.7916,0.0195,0.9982,0.0507,1.1614
165,1.1954,0.0204,5.5351,0.0473,5.6791
166,5.7062,0.0112,1.0589,0.0504,1.1954
167,1.2250,0.0125,5.8446,0.0773,6.0199
168,6.0681,0.0198,0.9047,0.0573,1.1399
169,1.1751,0.0120,5.2095,0.1040,5.4131
170,5.4528,0.0208,0.9825,0.0640,1.1631
171,1.2033,0.0159,5.5546,0.0639,5.7156
