# start_unix_ms 1790345266724
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0170,0.0765,0.1483,17.6472,0.0000,0.0000,0.0000
1,17.734,17.7340,0.0000,0.0159,0.2207,0.0704,0.4352,0.0000,0.0000,0.0000
2,18.208,0.4735,0.0000,14.7874,0.0849,0.1051,15.1829,0.2793,0.1987,0.0000
3,33.461,15.2534,0.0000,7.7160,0.0601,0.0713,8.0147,0.2764,0.2017,0.0000
4,41.565,8.1040,0.0000,7.3301,0.0759,0.0579,7.6697,0.2743,0.2017,0.0000
5,49.323,7.7584,0.0000,7.4712,0.0615,0.0832,7.7688,0.2740,0.1987,0.0000
6,57.157,7.8338,0.0000,7.5627,0.0567,0.0651,7.8360,0.2736,0.1987,0.0000
7,65.049,7.8921,0.0000,7.4951,0.0684,0.0834,7.9521,0.2766,0.1987,0.0000
8,73.085,8.0355,0.0000,7.3832,0.0978,0.0784,7.7522,0.2760,0.1987,0.0000
9,80.932,7.8472,0.0000,6.5719,0.0592,0.0770,6.9102,0.2751,0.1966,0.0000
10,87.919,6.9875,0.0000,6.7117,0.0902,0.0546,7.0051,0.2755,0.1976,0.0000
11,94.984,7.0650,0.0000,6.6490,0.0501,0.1054,6.9490,0.2767,0.1976,0.0000
12,102.001,7.0167,0.0000,6.6919,0.0410,0.0708,6.9729,0.2771,0.1966,0.0000
13,109.113,7.1120,0.0000,6.6464,0.0335,0.0469,6.8543,0.2752,0.1956,0.0000
14,116.012,6.8990,0.0000,7.1738,0.0396,0.0476,7.4467,0.2754,0.1956,0.0000
15,123.509,7.4970,0.0000,6.3293,0.0438,0.0508,6.5636,0.6057,0.1946,0.0000
16,130.130,6.6210,0.0000,6.8883,0.0390,0.0422,7.1845,0.2734,0.1956,0.0000
17,137.373,7.2428,0.0000,6.5417,0.0410,0.0454,6.7588,0.2770,0.1956,0.0000
18,144.188,6.8149,0.0000,6.7539,0.0396,0.0421,6.9642,0.6027,0.1956,0.0000
19,151.210,7.0223,0.0000,6.7214,0.0492,0.0855,7.0239,0.2751,0.1956,0.0000
20,158.307,7.0968,0.0000,6.1730,0.0609,0.0627,6.5061,0.2431,0.1946,0.0000
21,164.901,6.5940,0.0000,6.0686,0.0566,0.0573,6.4027,0.2439,0.1946,0.0000
22,171.381,6.4799,0.0000,6.0632,0.1061,0.6460,7.0368,0.2428,0.1946,0.0000
23,178.561,7.1798,0.0000,5.3309,0.0525,0.0660,5.6744,0.5362,0.1946,0.0000
24,184.342,5.7818,0.0000,6.0378,0.0390,0.0478,6.2705,0.2437,0.1946,0.0000
25,190.669,6.3270,0.0000,6.2645,0.0352,0.0471,6.5668,0.2440,0.1956,0.0000
26,197.293,6.6232,0.0000,6.1407,0.0416,0.0459,6.3580,0.2437,0.1946,0.0000
27,203.705,6.4122,0.0000,6.2316,0.0376,0.0458,6.4520,0.2433,0.1946,0.0000
28,210.213,6.5084,0.0000,6.2868,0.0381,0.0464,6.5160,0.2412,0.1946,0.0000
29,216.799,6.5858,0.0000,6.1700,0.0383,0.0614,6.4187,0.2458,0.1946,0.0000
30,223.278,6.4787,0.0000,6.1293,0.0426,0.0595,6.3842,0.5337,0.1956,0.0000
31,229.721,6.4432,0.0000,6.2078,0.0394,0.1103,6.5111,0.5336,0.1946,0.0000
32,236.319,6.5985,0.0000,6.1904,0.0445,0.0637,6.4599,0.2436,0.1946,0.0000
33,242.850,6.5304,0.0000,6.2555,0.0378,0.0522,6.4911,0.2449,0.1946,0.0000
34,249.398,6.5486,0.0000,6.2867,0.0377,0.0503,6.5258,0.2441,0.1946,0.0000
35,255.983,6.5843,0.0000,6.3286,0.0387,0.0559,6.5651,0.2444,0.1946,0.0000
36,262.605,6.6224,0.0000,6.3411,0.0753,0.0643,6.6433,0.2470,0.1935,0.0000
37,269.310,6.7049,0.0000,6.2725,0.0432,0.0486,6.5027,0.2468,0.1946,0.0000
38,275.867,6.5565,0.0000,6.3567,0.0409,0.0521,6.5992,0.2467,0.1946,0.0000
39,282.525,6.6583,0.0000,6.6609,0.0570,0.0596,6.9642,0.2459,0.1935,0.0000
40,289.555,7.0299,0.0000,6.2617,0.0379,0.0470,6.4922,0.2468,0.1946,0.0000
41,296.101,6.5464,0.0000,6.1544,0.1172,0.0550,6.5135,0.2460,0.1946,0.0000
