timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 16:07:44.857, P0, 2002 MHz, 47.17 W, 78, 0x0000000000000020
2026/09/25 16:07:45.114, P0, 2002 MHz, 47.17 W, 78, 0x0000000000000020
2026/09/25 16:07:45.372, [Unknown Error], 1740 MHz, 20.61 W, 72, 0x0000000000000001
2026/09/25 16:07:46.397, P0, 1740 MHz, 19.78 W, 73, 0x0000000000000001
2026/09/25 16:07:46.649, P0, 1740 MHz, 19.78 W, 73, 0x0000000000000001
2026/09/25 16:07:46.912, P0, 1740 MHz, 19.19 W, 74, 0x0000000000000001
2026/09/25 16:07:47.176, P0, 1740 MHz, 19.19 W, 74, 0x0000000000000001
2026/09/25 16:07:47.427, P0, 1860 MHz, 71.60 W, 83, 0x0000000000000020
2026/09/25 16:07:47.692, P0, 1567 MHz, 51.33 W, 80, 0x0000000000000020
2026/09/25 16:07:47.956, P0, 1567 MHz, 51.33 W, 80, 0x0000000000000020
2026/09/25 16:07:48.221, P0, 1642 MHz, 51.26 W, 79, 0x0000000000000020
2026/09/25 16:07:48.473, P0, 1642 MHz, 51.26 W, 79, 0x0000000000000020
2026/09/25 16:07:48.736, P0, 1657 MHz, 55.71 W, 80, 0x0000000000000020
2026/09/25 16:07:49.000, P0, 1657 MHz, 55.71 W, 80, 0x0000000000000020
2026/09/25 16:07:49.265, P0, 1650 MHz, 55.90 W, 80, 0x0000000000000020
2026/09/25 16:07:49.530, P0, 1650 MHz, 55.90 W, 80, 0x0000000000000020
2026/09/25 16:07:49.795, P0, 1635 MHz, 58.67 W, 80, 0x0000000000000020
2026/09/25 16:07:50.059, P0, 1635 MHz, 58.67 W, 80, 0x0000000000000020
2026/09/25 16:07:50.323, P0, 1702 MHz, 61.10 W, 79, 0x0000000000000020
2026/09/25 16:07:50.587, P0, 1702 MHz, 61.10 W, 79, 0x0000000000000020
2026/09/25 16:07:50.851, P0, 1590 MHz, 51.94 W, 80, 0x0000000000000020
2026/09/25 16:07:51.115, P0, 1590 MHz, 51.94 W, 80, 0x0000000000000020
2026/09/25 16:07:51.379, P0, 1567 MHz, 51.71 W, 79, 0x0000000000000020
2026/09/25 16:07:51.644, P0, 1567 MHz, 51.71 W, 79, 0x0000000000000020
2026/09/25 16:07:51.908, P0, 1582 MHz, 51.43 W, 79, 0x0000000000000020
2026/09/25 16:07:52.174, P0, 1582 MHz, 51.43 W, 79, 0x0000000000000020
2026/09/25 16:07:52.438, P0, 1575 MHz, 51.70 W, 79, 0x0000000000000020
2026/09/25 16:07:52.704, P0, 1642 MHz, 50.45 W, 79, 0x0000000000000020
2026/09/25 16:07:52.965, P0, 1642 MHz, 50.45 W, 79, 0x0000000000000020
2026/09/25 16:07:53.228, P0, 1665 MHz, 51.40 W, 79, 0x0000000000000020
2026/09/25 16:07:53.490, P0, 1665 MHz, 51.40 W, 79, 0x0000000000000020
2026/09/25 16:07:53.740, P0, 1665 MHz, 51.03 W, 79, 0x0000000000000020
2026/09/25 16:07:53.992, P0, 1665 MHz, 51.03 W, 79, 0x0000000000000020
2026/09/25 16:07:54.255, P0, 1597 MHz, 51.10 W, 79, 0x0000000000000020
2026/09/25 16:07:54.519, P0, 1597 MHz, 51.10 W, 79, 0x0000000000000020
2026/09/25 16:07:54.783, P0, 1597 MHz, 51.21 W, 79, 0x0000000000000020
2026/09/25 16:07:55.034, P0, 1597 MHz, 51.21 W, 79, 0x0000000000000020
2026/09/25 16:07:55.298, P0, 1627 MHz, 51.79 W, 79, 0x0000000000000020
2026/09/25 16:07:55.548, P0, 1627 MHz, 51.79 W, 79, 0x0000000000000020
2026/09/25 16:07:55.813, P0, 1695 MHz, 51.19 W, 79, 0x0000000000000020
2026/09/25 16:07:56.079, P0, 1695 MHz, 51.19 W, 79, 0x0000000000000020
2026/09/25 16:07:56.343, P0, 1882 MHz, 51.80 W, 79, 0x0000000000000020
2026/09/25 16:07:56.609, P0, 1882 MHz, 51.80 W, 79, 0x0000000000000020
2026/09/25 16:07:56.870, P0, 1702 MHz, 55.44 W, 79, 0x0000000000000020
2026/09/25 16:07:57.135, P0, 1702 MHz, 55.44 W, 79, 0x0000000000000020
2026/09/25 16:07:57.387, P0, 1852 MHz, 46.60 W, 79, 0x0000000000000020
2026/09/25 16:07:57.640, P0, 1852 MHz, 46.60 W, 79, 0x0000000000000020
2026/09/25 16:07:57.891, P0, 1665 MHz, 53.81 W, 80, 0x0000000000000020
2026/09/25 16:07:58.155, P0, 1665 MHz, 53.81 W, 80, 0x0000000000000020
2026/09/25 16:07:58.422, P0, 1567 MHz, 55.14 W, 80, 0x0000000000000020
2026/09/25 16:07:58.675, P0, 1567 MHz, 55.14 W, 80, 0x0000000000000020
2026/09/25 16:07:58.940, P0, 1560 MHz, 49.33 W, 79, 0x0000000000000020
2026/09/25 16:07:59.205, P0, 1537 MHz, 49.67 W, 79, 0x0000000000000020
