# start_unix_ms 1790345037986
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0168,0.0639,0.1421,17.7361,0.0000,0.0000,0.0000
1,17.821,17.8206,0.0000,0.0173,0.3031,0.0622,0.6161,0.0000,0.0000,0.0000
2,18.479,0.6580,0.0000,14.1822,0.0596,0.0651,14.5909,0.2789,0.2017,0.0000
3,33.138,14.6596,0.0000,7.3380,0.0567,0.0666,7.7558,0.6172,0.2017,0.0000
4,40.959,7.8212,0.0000,7.4928,0.0605,0.0562,7.8697,0.2778,0.2007,0.0000
5,48.899,7.9399,0.0000,7.5240,0.0518,0.0686,7.9873,0.2740,0.2007,0.0000
6,56.958,8.0583,0.0000,7.2546,0.0459,0.0631,7.6020,0.2788,0.1987,0.0000
7,64.627,7.6691,0.0000,7.4399,0.0532,0.0779,7.8148,0.2741,0.1987,0.0000
8,72.508,7.8809,0.0000,7.4767,0.0467,0.0670,7.8694,0.2723,0.1987,0.0000
9,80.428,7.9201,0.0000,6.5825,0.0462,0.0630,6.9278,0.2737,0.1987,0.0000
10,87.405,6.9774,0.0000,6.6477,0.0590,0.0492,7.0106,0.2740,0.1976,0.0000
11,94.475,7.0695,0.0000,6.6345,0.0427,0.0680,6.9942,0.2759,0.1976,0.0000
12,101.534,7.0595,0.0000,6.5727,0.0361,0.0658,6.9053,0.2756,0.1966,0.0000
13,108.557,7.0227,0.0000,6.5623,0.0366,0.0506,6.8946,0.2757,0.1956,0.0000
14,115.507,6.9503,0.0000,6.6092,0.0333,0.0471,6.9118,0.2770,0.1956,0.0000
15,122.471,6.9640,0.0000,6.6668,0.0379,0.0501,6.9867,0.6037,0.1956,0.0000
16,129.516,7.0444,0.0000,6.6891,0.0386,0.0394,6.9857,0.2746,0.1956,0.0000
17,136.555,7.0394,0.0000,6.5776,0.0408,0.0452,7.0191,0.2773,0.1946,0.0000
18,143.636,7.0810,0.0000,6.0055,0.0364,0.0443,6.3067,0.2438,0.1946,0.0000
19,149.996,6.3598,0.0000,6.0702,0.0368,0.0607,6.4082,0.2433,0.1946,0.0000
20,156.457,6.4617,0.0000,6.1164,0.0508,0.0453,6.4384,0.2438,0.1956,0.0000
21,162.967,6.5100,0.0000,6.0859,0.0333,0.0452,6.4003,0.2422,0.1946,0.0000
22,169.418,6.4502,0.0000,6.1936,0.0487,0.5277,7.0161,0.2438,0.1956,0.0000
23,176.527,7.1090,0.0000,5.5532,0.0479,0.0649,5.9635,0.5341,0.1956,0.0000
24,182.577,6.0502,0.0000,5.8628,0.0448,0.0547,6.2545,0.2534,0.1946,0.0000
25,188.897,6.3205,0.0000,6.1335,0.0383,0.0489,6.4644,0.2438,0.1946,0.0000
26,195.417,6.5199,0.0000,6.0168,0.0422,0.0700,6.3830,0.2432,0.1956,0.0000
27,201.858,6.4409,0.0000,6.0758,0.0404,0.0510,6.4148,0.2430,0.1946,0.0000
28,208.397,6.5384,0.0000,6.0979,0.0385,0.0650,6.5235,0.2454,0.1946,0.0000
29,214.973,6.5768,0.0000,6.0183,0.0370,0.0486,6.4260,0.5342,0.1946,0.0000
30,221.463,6.4899,0.0000,5.9781,0.0344,0.0441,6.2896,0.2429,0.1956,0.0000
31,227.804,6.3410,0.0000,6.1351,0.0395,0.0462,6.4588,0.2455,0.1946,0.0000
32,234.318,6.5142,0.0000,6.1562,0.0359,0.0489,6.4718,0.2440,0.1946,0.0000
33,240.858,6.5394,0.0000,6.2364,0.0366,0.0485,6.5668,0.2477,0.1946,0.0000
34,247.482,6.6241,0.0000,6.1872,0.0381,0.0471,6.5131,0.2451,0.1946,0.0000
35,254.051,6.5690,0.0000,6.2210,0.0359,0.0467,6.5341,0.2461,0.1946,0.0000
36,260.641,6.5901,0.0000,6.2569,0.0390,0.0488,6.5813,0.2452,0.1946,0.0000
37,267.281,6.6400,0.0000,6.2489,0.0355,0.0486,6.5654,0.2469,0.1946,0.0000
38,273.901,6.6197,0.0000,6.2996,0.0347,0.0453,6.6118,0.2479,0.1946,0.0000
39,280.567,6.6662,0.0000,6.2748,0.0356,0.0458,6.5867,0.2468,0.1946,0.0000
40,287.207,6.6406,0.0000,6.2994,0.0365,0.0475,6.6153,0.2474,0.1946,0.0000
41,293.894,6.6861,0.0000,6.2152,0.0336,0.0465,6.5367,0.2452,0.1946,0.0000
42,300.492,6.5988,0.0000,6.2556,0.0498,0.0626,6.6040,0.2433,0.1956,0.0000
43,307.153,6.6602,0.0000,6.2518,0.0357,0.0472,6.5728,0.2454,0.1946,0.0000
44,313.777,6.6249,0.0000,6.3290,0.0383,0.3755,6.9796,0.2441,0.1946,0.0000
45,320.829,7.0515,0.0000,6.0097,0.0349,0.0459,6.3245,0.2532,0.1946,0.0000
