# start_unix_ms 1790346005379
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0183,0.0742,0.1447,17.4809,0.0000,0.0000,0.0000
1,17.573,17.5735,0.0000,0.0183,0.2260,0.0510,0.5082,0.0000,0.0000,0.0000
2,18.117,0.5438,0.0000,14.5485,0.0665,0.0799,14.9733,0.2796,0.2028,0.0000
3,33.170,15.0523,0.0000,7.3343,0.0582,0.0736,7.7109,0.6217,0.2017,0.0000
4,40.960,7.7907,0.0000,7.3975,0.0631,0.0550,7.8513,0.2760,0.2007,0.0000
5,48.891,7.9309,0.0000,7.3756,0.0501,0.0735,7.7312,0.2727,0.1987,0.0000
6,56.682,7.7905,0.0000,7.4579,0.0512,0.0622,7.7976,0.2739,0.1987,0.0000
7,64.535,7.8531,0.0000,7.3990,0.0562,0.0774,7.7721,0.2731,0.1997,0.0000
8,72.368,7.8331,0.0000,7.4751,0.0562,0.0715,7.8406,0.2742,0.1987,0.0000
9,80.274,7.9058,0.0000,6.5968,0.0489,0.0800,6.9649,0.2742,0.1987,0.0000
10,87.296,7.0223,0.0000,6.5847,0.0515,0.0495,6.9295,0.2740,0.1987,0.0000
11,94.297,7.0011,0.0000,6.7342,0.0316,0.0564,7.0359,0.2774,0.1976,0.0000
12,101.374,7.0769,0.0000,6.6501,0.0418,0.0623,6.9784,0.2766,0.1966,0.0000
13,108.479,7.1047,0.0000,6.6211,0.0325,0.0592,6.9387,0.2753,0.1956,0.0000
14,115.468,6.9889,0.0000,6.5792,0.0321,0.0638,6.8922,0.2773,0.1956,0.0000
15,122.409,6.9418,0.0000,6.7024,0.0506,0.0523,7.0418,0.6300,0.1956,0.0000
16,129.519,7.1093,0.0000,6.6027,0.0365,0.0406,6.9130,0.2809,0.1956,0.0000
17,136.494,6.9754,0.0000,6.6237,0.0418,0.0429,6.9393,0.2752,0.1966,0.0000
18,143.493,6.9992,0.0000,6.6542,0.0432,0.0442,6.9818,0.2763,0.1956,0.0000
19,150.543,7.0497,0.0000,6.1522,0.0379,0.0616,6.4864,0.2773,0.1946,0.0000
20,157.089,6.5463,0.0000,6.1262,0.0385,0.0481,6.4529,0.5344,0.1956,0.0000
21,163.604,6.5146,0.0000,6.1104,0.0394,0.0463,6.4428,0.2453,0.1956,0.0000
22,170.102,6.4983,0.0000,6.1786,0.0447,0.6008,7.0614,0.2440,0.1946,0.0000
23,177.234,7.1323,0.0000,5.4295,0.0431,0.0523,5.7672,0.2424,0.1956,0.0000
24,183.073,5.8390,0.0000,6.1031,0.0446,0.0485,6.4448,0.2461,0.1946,0.0000
25,189.577,6.5030,0.0000,6.0894,0.0463,0.0484,6.4329,0.2429,0.1946,0.0000
26,196.074,6.4971,0.0000,6.1226,0.0398,0.0467,6.4810,0.2444,0.1956,0.0000
27,202.612,6.5380,0.0000,6.0073,0.0413,0.0675,6.3678,0.5362,0.1956,0.0000
28,209.037,6.4258,0.0000,6.1387,0.0358,0.1062,6.5732,0.2443,0.1946,0.0000
29,215.666,6.6290,0.0000,6.0672,0.0319,0.0468,6.3738,0.2450,0.1946,0.0000
30,222.087,6.4208,0.0000,6.0155,0.0403,0.0494,6.4067,0.2445,0.1946,0.0000
31,228.827,6.7397,0.0000,5.7736,0.0373,0.0445,6.1151,0.2436,0.1946,0.0000
32,235.005,6.1781,0.0000,6.3302,0.0393,0.0474,6.6544,0.2468,0.1946,0.0000
33,241.720,6.7148,0.0000,6.1870,0.0405,0.0501,6.5102,0.2479,0.1946,0.0000
34,248.291,6.5709,0.0000,6.2724,0.0377,0.0601,6.6103,0.2459,0.1946,0.0000
35,254.958,6.6669,0.0000,6.1771,0.0395,0.0472,6.5136,0.2484,0.1946,0.0000
36,261.531,6.5732,0.0000,6.2400,0.0393,0.0497,6.5648,0.2476,0.1946,0.0000
37,268.151,6.6201,0.0000,6.3329,0.0438,0.0504,6.6700,0.2478,0.1946,0.0000
38,274.902,6.7514,0.0000,6.1229,0.0626,0.0510,6.4898,0.2479,0.1946,0.0000
39,281.466,6.5634,0.0000,6.2348,0.0497,0.0701,6.6189,0.2456,0.1946,0.0000
40,288.165,6.6995,0.0000,6.1627,0.0400,0.0499,6.4918,0.2455,0.1935,0.0000
41,294.719,6.5536,0.0000,6.2043,0.0411,0.0614,6.5587,0.2453,0.1956,0.0000
42,301.338,6.6194,0.0000,6.2815,0.0440,0.0502,6.6155,0.2437,0.1946,0.0000
43,308.020,6.6819,0.0000,6.2551,0.0439,0.0521,6.5936,0.2452,0.1935,0.0000
44,314.680,6.6594,0.0000,6.1855,0.0446,0.4098,6.8858,0.2453,0.1946,0.0000
45,321.638,6.9587,0.0000,5.9210,0.0808,0.0596,6.3272,0.2466,0.1946,0.0000
