timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 16:14:15.638, P0, 1732 MHz, 54.15 W, 80, 0x0000000000000020
2026/09/25 16:14:15.903, P0, 1732 MHz, 54.15 W, 80, 0x0000000000000020
2026/09/25 16:14:16.153, P0, 1732 MHz, 54.33 W, 80, 0x0000000000000020
2026/09/25 16:14:16.418, P0, 1732 MHz, 54.33 W, 80, 0x0000000000000020
2026/09/25 16:14:16.683, P0, 1642 MHz, 54.60 W, 80, 0x0000000000000020
2026/09/25 16:14:16.947, P0, 1642 MHz, 54.60 W, 80, 0x0000000000000020
2026/09/25 16:14:17.211, P0, 1567 MHz, 49.78 W, 79, 0x0000000000000020
2026/09/25 16:14:17.475, P0, 1567 MHz, 49.78 W, 79, 0x0000000000000020
2026/09/25 16:14:17.727, P0, 1612 MHz, 49.61 W, 79, 0x0000000000000020
2026/09/25 16:14:17.992, P0, 1612 MHz, 49.61 W, 79, 0x0000000000000020
2026/09/25 16:14:18.256, P0, 1657 MHz, 51.88 W, 79, 0x0000000000000020
2026/09/25 16:14:18.520, P0, 1657 MHz, 51.88 W, 79, 0x0000000000000020
2026/09/25 16:14:18.782, P0, 1582 MHz, 50.22 W, 79, 0x0000000000000020
2026/09/25 16:14:19.046, P0, 1582 MHz, 50.22 W, 79, 0x0000000000000020
2026/09/25 16:14:19.311, P0, 1545 MHz, 49.27 W, 79, 0x0000000000000020
2026/09/25 16:14:19.562, P0, 1545 MHz, 49.27 W, 79, 0x0000000000000020
2026/09/25 16:14:19.814, P0, 1590 MHz, 49.65 W, 79, 0x0000000000000020
2026/09/25 16:14:20.079, P0, 1590 MHz, 49.65 W, 79, 0x0000000000000020
2026/09/25 16:14:20.330, P0, 1635 MHz, 54.31 W, 80, 0x0000000000000020
2026/09/25 16:14:20.594, P0, 1635 MHz, 54.31 W, 80, 0x0000000000000020
2026/09/25 16:14:20.857, P0, 1627 MHz, 54.24 W, 80, 0x0000000000000020
2026/09/25 16:14:21.123, P0, 1627 MHz, 54.64 W, 80, 0x0000000000000020
2026/09/25 16:14:21.387, P0, 1627 MHz, 54.64 W, 80, 0x0000000000000020
2026/09/25 16:14:21.640, P0, 1657 MHz, 54.15 W, 80, 0x0000000000000020
2026/09/25 16:14:21.905, P0, 1657 MHz, 54.15 W, 80, 0x0000000000000020
2026/09/25 16:14:22.169, P0, 1635 MHz, 55.05 W, 80, 0x0000000000000020
2026/09/25 16:14:22.433, P0, 1635 MHz, 55.05 W, 80, 0x0000000000000020
2026/09/25 16:14:22.685, P0, 1627 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 16:14:22.946, P0, 1627 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 16:14:23.207, P0, 1642 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 16:14:23.458, P0, 1642 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 16:14:23.722, P0, 1642 MHz, 54.72 W, 80, 0x0000000000000020
2026/09/25 16:14:23.986, P0, 1642 MHz, 54.72 W, 80, 0x0000000000000020
2026/09/25 16:14:24.238, P0, 1702 MHz, 53.32 W, 80, 0x0000000000000020
2026/09/25 16:14:24.502, P0, 1702 MHz, 53.32 W, 80, 0x0000000000000020
2026/09/25 16:14:24.753, P0, 1717 MHz, 54.61 W, 80, 0x0000000000000020
2026/09/25 16:14:25.017, P0, 1717 MHz, 54.61 W, 80, 0x0000000000000020
2026/09/25 16:14:25.267, P0, 1725 MHz, 54.44 W, 80, 0x0000000000000020
2026/09/25 16:14:25.534, P0, 1725 MHz, 54.44 W, 80, 0x0000000000000020
2026/09/25 16:14:25.798, P0, 1627 MHz, 55.25 W, 80, 0x0000000000000020
2026/09/25 16:14:26.063, P0, 1627 MHz, 55.25 W, 80, 0x0000000000000020
2026/09/25 16:14:26.315, P0, 1657 MHz, 54.67 W, 80, 0x0000000000000020
2026/09/25 16:14:26.566, P0, 1657 MHz, 54.67 W, 80, 0x0000000000000020
2026/09/25 16:14:26.828, P0, 1672 MHz, 54.72 W, 80, 0x0000000000000020
2026/09/25 16:14:27.092, P0, 1672 MHz, 54.72 W, 80, 0x0000000000000020
2026/09/25 16:14:27.356, P0, 1777 MHz, 54.48 W, 80, 0x0000000000000020
2026/09/25 16:14:27.621, P0, 1717 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 16:14:27.886, P0, 1717 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 16:14:28.152, P0, 1657 MHz, 54.88 W, 80, 0x0000000000000020
2026/09/25 16:14:28.415, P0, 1657 MHz, 54.88 W, 80, 0x0000000000000020
2026/09/25 16:14:28.668, P0, 1657 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 16:14:28.921, P0, 1657 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 16:14:29.186, P0, 1635 MHz, 54.66 W, 80, 0x0000000000000020
2026/09/25 16:14:29.437, P0, 1635 MHz, 54.66 W, 80, 0x0000000000000020
2026/09/25 16:14:29.702, P0, 1627 MHz, 53.56 W, 80, 0x0000000000000020
2026/09/25 16:14:29.953, P0, 1627 MHz, 53.56 W, 80, 0x0000000000000020
2026/09/25 16:14:30.205, P0, 1627 MHz, 54.84 W, 80, 0x0000000000000020
2026/09/25 16:14:30.471, P0, 1627 MHz, 54.84 W, 80, 0x0000000000000020
2026/09/25 16:14:30.723, P0, 1635 MHz, 54.46 W, 80, 0x0000000000000020
2026/09/25 16:14:30.987, P0, 1635 MHz, 54.46 W, 80, 0x0000000000000020
2026/09/25 16:14:31.251, P0, 1627 MHz, 54.58 W, 80, 0x0000000000000020
2026/09/25 16:14:31.515, P0, 1627 MHz, 54.58 W, 80, 0x0000000000000020
2026/09/25 16:14:31.777, P0, 1627 MHz, 55.27 W, 80, 0x0000000000000020
2026/09/25 16:14:32.029, P0, 1627 MHz, 55.27 W, 80, 0x0000000000000020
2026/09/25 16:14:32.292, P0, 1635 MHz, 54.56 W, 80, 0x0000000000000020
2026/09/25 16:14:32.557, P0, 1635 MHz, 54.56 W, 80, 0x0000000000000020
2026/09/25 16:14:32.822, P0, 1642 MHz, 54.60 W, 80, 0x0000000000000020
2026/09/25 16:14:33.085, P0, 1642 MHz, 54.60 W, 80, 0x0000000000000020
2026/09/25 16:14:33.350, P0, 1657 MHz, 54.57 W, 80, 0x0000000000000020
2026/09/25 16:14:33.615, P0, 1717 MHz, 54.51 W, 80, 0x0000000000000020
2026/09/25 16:14:33.867, P0, 1717 MHz, 54.51 W, 80, 0x0000000000000020
2026/09/25 16:14:34.132, P0, 1725 MHz, 55.08 W, 80, 0x0000000000000020
2026/09/25 16:14:34.396, P0, 1725 MHz, 55.08 W, 80, 0x0000000000000020
2026/09/25 16:14:34.646, P0, 1732 MHz, 54.57 W, 80, 0x0000000000000020
2026/09/25 16:14:34.910, P0, 1732 MHz, 54.57 W, 80, 0x0000000000000020
2026/09/25 16:14:35.161, P0, 1657 MHz, 54.69 W, 80, 0x0000000000000020
2026/09/25 16:14:35.426, P0, 1657 MHz, 54.69 W, 80, 0x0000000000000020
2026/09/25 16:14:35.691, P0, 1672 MHz, 54.70 W, 80, 0x0000000000000020
2026/09/25 16:14:35.941, P0, 1672 MHz, 54.70 W, 80, 0x0000000000000020
2026/09/25 16:14:36.194, P0, 1762 MHz, 58.94 W, 80, 0x0000000000000020
2026/09/25 16:14:36.458, P0, 1762 MHz, 58.94 W, 80, 0x0000000000000020
2026/09/25 16:14:36.722, P0, 1665 MHz, 54.93 W, 80, 0x0000000000000020
2026/09/25 16:14:36.986, P0, 1665 MHz, 54.93 W, 80, 0x0000000000000020
2026/09/25 16:14:37.249, P0, 1552 MHz, 48.80 W, 79, 0x0000000000000020
2026/09/25 16:14:37.515, P0, 1552 MHz, 48.80 W, 79, 0x0000000000000020
2026/09/25 16:14:37.779, P0, 1537 MHz, 49.39 W, 79, 0x0000000000000020
2026/09/25 16:14:38.044, P0, 1537 MHz, 49.39 W, 79, 0x0000000000000020
2026/09/25 16:14:38.295, P0, 1537 MHz, 49.16 W, 79, 0x0000000000000020
2026/09/25 16:14:38.546, P0, 1537 MHz, 49.16 W, 79, 0x0000000000000020
2026/09/25 16:14:38.810, P0, 1627 MHz, 49.67 W, 79, 0x0000000000000020
2026/09/25 16:14:39.075, P0, 1627 MHz, 49.67 W, 79, 0x0000000000000020
2026/09/25 16:14:39.326, P0, 1612 MHz, 54.27 W, 80, 0x0000000000000020
2026/09/25 16:14:39.591, P0, 1612 MHz, 54.27 W, 80, 0x0000000000000020
2026/09/25 16:14:39.856, P0, 1612 MHz, 54.23 W, 80, 0x0000000000000020
2026/09/25 16:14:40.107, P0, 1642 MHz, 54.06 W, 80, 0x0000000000000020
2026/09/25 16:14:40.372, P0, 1642 MHz, 54.06 W, 80, 0x0000000000000020
2026/09/25 16:14:40.624, P0, 1627 MHz, 54.43 W, 80, 0x0000000000000020
2026/09/25 16:14:40.887, P0, 1627 MHz, 54.43 W, 80, 0x0000000000000020
2026/09/25 16:14:41.152, P0, 1627 MHz, 54.62 W, 80, 0x0000000000000020
2026/09/25 16:14:41.402, P0, 1627 MHz, 54.62 W, 80, 0x0000000000000020
2026/09/25 16:14:41.667, P0, 1537 MHz, 51.40 W, 80, 0x0000000000000020
2026/09/25 16:14:41.917, P0, 1537 MHz, 51.40 W, 80, 0x0000000000000020
2026/09/25 16:14:42.169, P0, 1560 MHz, 49.61 W, 79, 0x0000000000000020
2026/09/25 16:14:42.434, P0, 1560 MHz, 49.61 W, 79, 0x0000000000000020
2026/09/25 16:14:42.699, P0, 1627 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:42.951, P0, 1627 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:43.203, P0, 1635 MHz, 49.51 W, 79, 0x0000000000000020
2026/09/25 16:14:43.455, P0, 1635 MHz, 49.51 W, 79, 0x0000000000000020
2026/09/25 16:14:43.718, P0, 1657 MHz, 49.12 W, 79, 0x0000000000000020
2026/09/25 16:14:43.982, P0, 1657 MHz, 49.12 W, 79, 0x0000000000000020
2026/09/25 16:14:44.235, P0, 1560 MHz, 50.01 W, 79, 0x0000000000000020
2026/09/25 16:14:44.488, P0, 1560 MHz, 50.01 W, 79, 0x0000000000000020
2026/09/25 16:14:44.740, P0, 1567 MHz, 49.58 W, 79, 0x0000000000000020
2026/09/25 16:14:45.005, P0, 1567 MHz, 49.58 W, 79, 0x0000000000000020
2026/09/25 16:14:45.270, P0, 1620 MHz, 49.46 W, 79, 0x0000000000000020
2026/09/25 16:14:45.532, P0, 1620 MHz, 49.46 W, 79, 0x0000000000000020
2026/09/25 16:14:45.797, P0, 1665 MHz, 52.99 W, 80, 0x0000000000000020
2026/09/25 16:14:46.049, P0, 1665 MHz, 52.99 W, 80, 0x0000000000000020
2026/09/25 16:14:46.300, P0, 1560 MHz, 50.07 W, 79, 0x0000000000000020
2026/09/25 16:14:46.564, P0, 1560 MHz, 50.07 W, 79, 0x0000000000000020
2026/09/25 16:14:46.828, P0, 1552 MHz, 46.33 W, 79, 0x0000000000000020
2026/09/25 16:14:47.092, P0, 1552 MHz, 46.33 W, 79, 0x0000000000000020
2026/09/25 16:14:47.357, P0, 1552 MHz, 49.43 W, 79, 0x0000000000000020
2026/09/25 16:14:47.620, P0, 1552 MHz, 49.05 W, 79, 0x0000000000000020
2026/09/25 16:14:47.885, P0, 1552 MHz, 49.05 W, 79, 0x0000000000000020
2026/09/25 16:14:48.149, P0, 1537 MHz, 49.12 W, 79, 0x0000000000000020
2026/09/25 16:14:48.412, P0, 1537 MHz, 49.12 W, 79, 0x0000000000000020
2026/09/25 16:14:48.677, P0, 1530 MHz, 49.66 W, 79, 0x0000000000000020
2026/09/25 16:14:48.929, P0, 1530 MHz, 49.66 W, 79, 0x0000000000000020
2026/09/25 16:14:49.183, P0, 1552 MHz, 48.96 W, 79, 0x0000000000000020
2026/09/25 16:14:49.436, P0, 1552 MHz, 48.96 W, 79, 0x0000000000000020
2026/09/25 16:14:49.701, P0, 1537 MHz, 49.67 W, 80, 0x0000000000000020
2026/09/25 16:14:49.951, P0, 1537 MHz, 49.67 W, 80, 0x0000000000000020
2026/09/25 16:14:50.214, P0, 1552 MHz, 53.26 W, 79, 0x0000000000000020
2026/09/25 16:14:50.478, P0, 1552 MHz, 53.26 W, 79, 0x0000000000000020
2026/09/25 16:14:50.729, P0, 1552 MHz, 49.53 W, 80, 0x0000000000000020
2026/09/25 16:14:50.994, P0, 1552 MHz, 49.53 W, 80, 0x0000000000000020
2026/09/25 16:14:51.259, P0, 1552 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:51.524, P0, 1552 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:51.774, P0, 1627 MHz, 49.02 W, 79, 0x0000000000000020
2026/09/25 16:14:52.039, P0, 1627 MHz, 49.02 W, 79, 0x0000000000000020
2026/09/25 16:14:52.290, P0, 1642 MHz, 49.34 W, 79, 0x0000000000000020
2026/09/25 16:14:52.553, P0, 1642 MHz, 49.34 W, 79, 0x0000000000000020
2026/09/25 16:14:52.819, P0, 1657 MHz, 49.22 W, 79, 0x0000000000000020
2026/09/25 16:14:53.085, P0, 1657 MHz, 49.22 W, 79, 0x0000000000000020
2026/09/25 16:14:53.337, P0, 1567 MHz, 49.71 W, 79, 0x0000000000000020
2026/09/25 16:14:53.589, P0, 1567 MHz, 49.71 W, 79, 0x0000000000000020
2026/09/25 16:14:53.854, P0, 1575 MHz, 49.22 W, 79, 0x0000000000000020
2026/09/25 16:14:54.105, P0, 1575 MHz, 49.22 W, 79, 0x0000000000000020
2026/09/25 16:14:54.370, P0, 1650 MHz, 49.06 W, 79, 0x0000000000000020
2026/09/25 16:14:54.634, P0, 1665 MHz, 49.62 W, 79, 0x0000000000000020
2026/09/25 16:14:54.897, P0, 1665 MHz, 49.62 W, 79, 0x0000000000000020
2026/09/25 16:14:55.149, P0, 1552 MHz, 50.12 W, 79, 0x0000000000000020
2026/09/25 16:14:55.399, P0, 1552 MHz, 50.12 W, 79, 0x0000000000000020
2026/09/25 16:14:55.663, P0, 1552 MHz, 49.85 W, 79, 0x0000000000000020
2026/09/25 16:14:55.929, P0, 1552 MHz, 49.85 W, 79, 0x0000000000000020
2026/09/25 16:14:56.194, P0, 1552 MHz, 49.22 W, 79, 0x0000000000000020
2026/09/25 16:14:56.458, P0, 1552 MHz, 49.22 W, 79, 0x0000000000000020
2026/09/25 16:14:56.710, P0, 1552 MHz, 48.65 W, 79, 0x0000000000000020
2026/09/25 16:14:56.962, P0, 1552 MHz, 48.65 W, 79, 0x0000000000000020
2026/09/25 16:14:57.213, P0, 1537 MHz, 50.95 W, 79, 0x0000000000000020
2026/
