# start_unix_ms 1790344354769
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0213,0.1088,0.1914,17.6300,0.0000,0.0000,0.0000
1,17.736,17.7357,0.0000,0.0275,0.3207,0.0977,0.6292,0.0000,0.0000,0.0000
2,18.422,0.6859,0.0000,13.7435,0.0884,0.2148,14.4199,0.2800,0.2028,0.0000
3,32.933,14.5110,0.0000,7.0802,0.0687,0.0914,7.4721,0.6234,0.2017,0.0000
4,40.542,7.6095,0.0000,6.9909,0.0697,0.0593,7.2894,0.6261,0.2017,0.0000
5,47.918,7.3761,0.0000,7.2418,0.0759,0.0778,7.5441,0.6080,0.1987,0.0000
6,55.546,7.6275,0.0000,7.3602,0.0926,2.0879,9.7329,0.6044,0.1987,0.0000
7,65.506,9.9606,0.0000,4.9873,0.1146,0.1262,5.4521,0.6040,0.1987,0.0000
8,71.057,5.5505,0.0000,7.3318,0.0936,1.7321,9.3775,0.6018,0.1987,0.0000
9,80.531,9.4746,0.0000,4.4150,0.2206,2.4548,7.3303,0.6060,0.1956,0.0000
10,87.962,7.4308,0.0000,3.9892,0.0925,0.1841,4.4885,0.6008,0.1987,0.0000
11,92.570,4.6080,0.0000,7.1517,0.0685,0.1025,7.6077,0.6039,0.1966,0.0000
12,100.265,7.6951,0.0000,4.5824,0.1217,0.9141,5.8968,0.5909,0.1966,0.0000
13,106.303,6.0379,0.0000,4.8003,0.0928,0.1106,5.2406,0.5461,0.1956,0.0000
14,111.655,5.3517,0.0000,5.7745,0.0710,0.0974,6.1533,0.5419,0.1956,0.0000
15,117.896,6.2407,0.0000,5.9367,0.0951,0.1094,6.3809,0.5396,0.1956,0.0000
16,124.394,6.4980,0.0000,5.6665,0.0797,0.0943,6.0693,0.5440,0.1956,0.0000
17,130.612,6.2187,0.0000,5.8773,0.0665,0.0793,6.2330,0.2467,0.1956,0.0000
18,136.949,6.3369,0.0000,5.7528,0.0757,0.0779,6.1273,0.2480,0.1956,0.0000
19,143.181,6.2321,0.0000,5.8229,0.0704,0.1062,6.2186,0.2450,0.1956,0.0000
20,149.497,6.3154,0.0000,5.7100,0.0698,0.0848,6.0848,0.2462,0.1956,0.0000
21,155.675,6.1784,0.0000,5.9430,0.0959,0.0958,6.4652,0.5423,0.1946,0.0000
22,162.701,7.0263,0.0000,5.1564,0.0665,0.6402,6.0778,0.5390,0.1956,0.0000
