# start_unix_ms 1790344201570
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
60,431.509,6.3402,0.0000,7.1171,0.0386,0.1015,7.4202,0.2591,0.2068,0.0000
61,438.991,7.4818,0.0000,6.0151,0.0284,0.1695,6.3352,0.2601,0.1935,0.0000
62,445.386,6.3950,0.0000,7.3427,0.0909,0.1013,7.7074,0.2621,0.2079,0.0000
63,453.180,7.7941,0.0000,5.8984,0.0268,0.0723,6.1435,0.2620,0.1935,0.0000
64,459.550,6.3697,0.0000,6.9140,0.0387,0.1186,7.2293,0.2593,0.2079,0.0000
65,466.893,7.3429,0.0000,6.0034,0.0272,0.0756,6.2442,0.2603,0.1935,0.0000
66,473.185,6.2920,0.0000,7.0820,0.0410,0.0937,7.3763,0.2594,0.2068,0.0000
67,480.610,7.4253,0.0000,6.0808,0.0244,0.0624,6.3089,0.2600,0.1935,0.0000
68,486.976,6.3660,0.0000,7.0863,0.1160,0.0885,7.4955,0.2589,0.2079,0.0000
69,494.534,7.5576,0.0000,5.9615,0.0254,0.0655,6.1929,0.2612,0.1935,0.0000
70,500.781,6.2471,0.0000,14.3421,0.0464,0.1472,14.7139,0.2617,0.2068,0.0000
71,515.567,14.7865,0.0000,6.0384,0.0274,0.0663,6.2784,0.2591,0.1935,0.0000
72,521.883,6.3161,0.0000,7.0209,0.0408,0.1046,7.4053,0.2604,0.2079,0.0000
73,529.349,7.4653,0.0000,5.8955,0.0332,0.0726,6.1860,0.2574,0.1935,0.0000
74,535.570,6.2215,0.0000,7.1963,0.0850,0.1074,7.6742,0.2492,0.2068,0.0000
75,543.322,7.7513,0.0000,5.7134,0.0462,0.0773,5.9784,0.2511,0.1925,0.0000
76,549.338,6.0168,0.0000,7.0134,0.0416,0.1055,7.3260,0.2540,0.2079,0.0000
77,556.715,7.3763,0.0000,6.0453,0.0257,0.1994,6.3929,0.2580,0.1935,0.0000
78,563.147,6.4323,0.0000,7.1667,0.0418,0.0790,7.4800,0.2573,0.2079,0.0000
79,570.670,7.5226,0.0000,6.1598,0.0303,0.1410,6.4485,0.2588,0.1935,0.0000
80,577.160,6.4908,0.0000,7.1514,0.0331,0.1378,7.4554,0.2542,0.2068,0.0000
81,584.677,7.5165,0.0000,6.1039,0.0247,0.0682,6.3194,0.2578,0.1935,0.0000
82,591.041,6.3638,0.0000,7.1476,0.0322,0.0790,7.3916,0.2550,0.2068,0.0000
