timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 15:46:45.898, P0, 1717 MHz, 63.23 W, 80, 0x0000000000000020
2026/09/25 15:46:46.149, P0, 1725 MHz, 58.45 W, 80, 0x0000000000000020
2026/09/25 15:46:46.400, P0, 1725 MHz, 58.45 W, 80, 0x0000000000000020
2026/09/25 15:46:46.656, P0, 1620 MHz, 56.97 W, 80, 0x0000000000000020
2026/09/25 15:46:46.915, P0, 1620 MHz, 56.97 W, 80, 0x0000000000000020
2026/09/25 15:46:47.171, P0, 1597 MHz, 52.86 W, 79, 0x0000000000000020
2026/09/25 15:46:47.426, P0, 1597 MHz, 52.86 W, 79, 0x0000000000000020
2026/09/25 15:46:47.684, P0, 1627 MHz, 52.92 W, 79, 0x0000000000000020
2026/09/25 15:46:47.947, P0, 1627 MHz, 52.92 W, 79, 0x0000000000000020
2026/09/25 15:46:48.204, P0, 1702 MHz, 58.30 W, 80, 0x0000000000000020
2026/09/25 15:46:48.463, P0, 1702 MHz, 58.30 W, 80, 0x0000000000000020
2026/09/25 15:46:48.722, P0, 1695 MHz, 58.53 W, 80, 0x0000000000000020
2026/09/25 15:46:48.974, P0, 1695 MHz, 58.53 W, 80, 0x0000000000000020
2026/09/25 15:46:49.225, P0, 1687 MHz, 58.62 W, 80, 0x0000000000000020
2026/09/25 15:46:49.478, P0, 1687 MHz, 58.62 W, 80, 0x0000000000000020
2026/09/25 15:46:49.738, P0, 1710 MHz, 58.48 W, 80, 0x0000000000000020
2026/09/25 15:46:49.988, P0, 1710 MHz, 58.48 W, 80, 0x0000000000000020
2026/09/25 15:46:50.246, P0, 1785 MHz, 57.78 W, 80, 0x0000000000000020
2026/09/25 15:46:50.497, P0, 1785 MHz, 57.78 W, 80, 0x0000000000000020
2026/09/25 15:46:50.752, P0, 1785 MHz, 58.47 W, 80, 0x0000000000000020
2026/09/25 15:46:51.003, P0, 1785 MHz, 58.47 W, 80, 0x0000000000000020
2026/09/25 15:46:51.259, P0, 1792 MHz, 58.48 W, 80, 0x0000000000000020
2026/09/25 15:46:51.516, P0, 1792 MHz, 58.48 W, 80, 0x0000000000000020
2026/09/25 15:46:51.767, P0, 1650 MHz, 53.57 W, 80, 0x0000000000000020
2026/09/25 15:46:52.023, P0, 1657 MHz, 53.87 W, 79, 0x0000000000000020
