timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 16:10:28.629, P0, 1530 MHz, 48.84 W, 79, 0x0000000000000020
2026/09/25 16:10:28.880, P0, 1530 MHz, 48.84 W, 79, 0x0000000000000020
2026/09/25 16:10:29.132, P0, 1732 MHz, 46.29 W, 79, 0x0000000000000020
2026/09/25 16:10:29.392, P0, 1732 MHz, 46.29 W, 79, 0x0000000000000020
2026/09/25 16:10:29.655, P0, 1830 MHz, 51.15 W, 80, 0x0000000000000020
2026/09/25 16:10:29.918, P0, 1830 MHz, 51.15 W, 80, 0x0000000000000020
2026/09/25 16:10:30.169, P0, 1800 MHz, 50.78 W, 80, 0x0000000000000020
2026/09/25 16:10:30.432, P0, 1800 MHz, 50.78 W, 80, 0x0000000000000020
2026/09/25 16:10:30.696, P0, 1807 MHz, 50.71 W, 80, 0x0000000000000020
2026/09/25 16:10:30.947, P0, 1807 MHz, 50.71 W, 80, 0x0000000000000020
2026/09/25 16:10:31.211, P0, 1537 MHz, 48.29 W, 80, 0x0000000000000020
2026/09/25 16:10:31.474, P0, 1537 MHz, 48.29 W, 80, 0x0000000000000020
2026/09/25 16:10:31.740, P0, 1545 MHz, 48.08 W, 79, 0x0000000000000020
2026/09/25 16:10:32.004, P0, 1545 MHz, 48.08 W, 79, 0x0000000000000020
2026/09/25 16:10:32.267, P0, 1845 MHz, 49.54 W, 79, 0x0000000000000020
2026/09/25 16:10:32.519, P0, 1845 MHz, 49.54 W, 79, 0x0000000000000020
2026/09/25 16:10:32.770, P0, 2010 MHz, 38.99 W, 79, 0x0000000000000400
2026/09/25 16:10:33.035, P0, 2010 MHz, 38.99 W, 79, 0x0000000000000400
2026/09/25 16:10:33.301, P0, 1890 MHz, 49.54 W, 80, 0x0000000000000020
2026/09/25 16:10:33.565, P0, 1890 MHz, 49.54 W, 80, 0x0000000000000020
2026/09/25 16:10:33.829, P0, 1537 MHz, 48.94 W, 80, 0x0000000000000020
2026/09/25 16:10:34.091, P0, 1537 MHz, 48.74 W, 79, 0x0000000000000020
2026/09/25 16:10:34.355, P0, 1537 MHz, 48.74 W, 79, 0x0000000000000020
2026/09/25 16:10:34.606, P0, 1537 MHz, 48.75 W, 79, 0x0000000000000020
2026/09/25 16:10:34.856, P0, 1537 MHz, 48.75 W, 79, 0x0000000000000020
2026/09/25 16:10:35.121, P0, 1530 MHz, 48.70 W, 80, 0x0000000000000020
2026/09/25 16:10:35.372, P0, 1530 MHz, 48.70 W, 80, 0x0000000000000020
2026/09/25 16:10:35.623, P0, 1530 MHz, 49.04 W, 79, 0x0000000000000020
2026/09/25 16:10:35.887, P0, 1530 MHz, 49.04 W, 79, 0x0000000000000020
2026/09/25 16:10:36.150, P0, 1530 MHz, 50.70 W, 80, 0x0000000000000020
2026/09/25 16:10:36.402, P0, 1530 MHz, 50.70 W, 80, 0x0000000000000020
2026/09/25 16:10:36.666, P0, 1530 MHz, 49.31 W, 80, 0x0000000000000020
2026/09/25 16:10:36.931, P0, 1530 MHz, 49.31 W, 80, 0x0000000000000020
2026/09/25 16:10:37.197, P0, 1530 MHz, 49.92 W, 79, 0x0000000000000020
2026/09/25 16:10:37.462, P0, 1530 MHz, 49.92 W, 79, 0x0000000000000020
2026/09/25 16:10:37.725, P0, 1530 MHz, 50.09 W, 80, 0x0000000000000020
2026/09/25 16:10:37.977, P0, 1530 MHz, 50.09 W, 80, 0x0000000000000020
2026/09/25 16:10:38.241, P0, 1530 MHz, 49.88 W, 80, 0x0000000000000020
2026/09/25 16:10:38.506, P0, 1530 MHz, 49.88 W, 80, 0x0000000000000020
2026/09/25 16:10:38.771, P0, 1530 MHz, 49.70 W, 79, 0x0000000000000020
2026/09/25 16:10:39.021, P0, 1530 MHz, 49.70 W, 79, 0x0000000000000020
2026/09/25 16:10:39.272, P0, 1785 MHz, 49.07 W, 79, 0x0000000000000020
2026/09/25 16:10:39.536, P0, 1785 MHz, 49.07 W, 79, 0x0000000000000020
2026/09/25 16:10:39.787, P0, 1867 MHz, 51.20 W, 80, 0x0000000000000020
2026/09/25 16:10:40.051, P0, 1867 MHz, 51.20 W, 80, 0x0000000000000020
2026/09/25 16:10:40.315, P0, 1815 MHz, 52.60 W, 80, 0x0000000000000020
2026/09/25 16:10:40.579, P0, 1815 MHz, 52.60 W, 80, 0x0000000000000020
