# start_unix_ms 1790343917551
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0320,0.0783,0.2655,22.2162,0.0000,0.0000,0.0000
1,22.304,22.3044,0.0000,0.0197,0.2536,0.0655,0.4906,0.0000,0.0000,0.0000
2,23.009,0.7047,0.0000,13.6904,0.0649,0.0702,13.9989,0.2788,0.2028,0.0000
3,37.084,14.0751,0.0000,7.3914,0.0605,0.0748,7.6951,0.2767,0.2017,0.0000
4,44.854,7.7698,0.0000,7.4524,0.0619,0.0539,7.7323,0.6149,0.2007,0.0000
5,52.659,7.8049,0.0000,7.4198,0.0655,0.0720,7.7232,0.6052,0.1997,0.0000
6,60.449,7.7900,0.0000,7.4559,0.0523,0.0736,7.7193,0.6059,0.1997,0.0000
7,68.231,7.7817,0.0000,7.4819,0.1116,0.1139,7.9150,0.6035,0.1987,0.0000
8,76.270,8.0395,0.0000,7.2524,0.0848,0.0908,7.6228,0.6043,0.1976,0.0000
9,84.021,7.7510,0.0000,6.4073,0.0818,0.0884,6.7901,0.6039,0.1966,0.0000
10,90.976,6.9545,0.0000,6.4420,0.0817,0.0621,6.7843,0.6043,0.1987,0.0000
11,97.949,6.9735,0.0000,6.4001,0.0644,0.0956,6.7535,0.6033,0.1987,0.0000
12,104.831,6.8817,0.0000,6.4483,0.0689,0.0852,6.7885,0.6015,0.1966,0.0000
13,111.771,6.9398,0.0000,6.0803,0.0709,0.0657,6.5421,0.6066,0.1956,0.0000
14,118.404,6.6336,0.0000,5.6619,0.0591,0.0611,5.9434,0.2351,0.1946,0.0000
15,124.479,6.0744,0.0000,5.9410,0.0575,0.0624,6.2256,0.2350,0.1956,0.0000
16,130.792,6.3138,0.0000,5.8874,0.0622,0.0591,6.1872,0.2347,0.1956,0.0000
17,137.083,6.2906,0.0000,5.7593,0.0530,0.0530,6.0357,0.2371,0.1956,0.0000
18,143.206,6.1229,0.0000,5.9942,0.0553,0.0539,6.2710,0.2364,0.1956,0.0000
19,149.569,6.3633,0.0000,5.9336,0.0677,0.0852,6.3014,0.5195,0.1956,0.0000
20,155.977,6.4083,0.0000,5.7029,0.0680,0.0643,6.0601,0.5228,0.1946,0.0000
21,162.139,6.1617,0.0000,5.7938,0.1590,0.1398,6.6246,0.5213,0.1946,0.0000
22,169.173,7.0342,0.0000,5.0346,0.0765,0.4976,5.8390,0.5230,0.1956,0.0000
23,175.298,6.1243,0.0000,5.2066,0.0714,0.0658,5.5857,0.5187,0.1956,0.0000
24,180.996,5.6985,0.0000,5.8745,0.0810,0.0953,6.2863,0.5285,0.1946,0.0000
25,187.398,6.4023,0.0000,5.6550,0.0558,0.0607,5.9744,0.2366,0.1946,0.0000
26,193.464,6.0657,0.0000,5.8766,0.0630,0.0591,6.1909,0.2387,0.1946,0.0000
27,199.742,6.2776,0.0000,5.9053,0.0561,0.0575,6.1883,0.2390,0.1956,0.0000
28,206.047,6.3048,0.0000,5.9100,0.0610,0.0642,6.1993,0.2383,0.1946,0.0000
29,212.507,6.4607,0.0000,5.7327,0.0612,0.0616,6.0483,0.5266,0.1946,0.0000
30,218.640,6.1330,0.0000,5.9854,0.0639,0.0639,6.2865,0.5290,0.1956,0.0000
31,225.026,6.3856,0.0000,5.8920,0.0903,0.0974,6.3145,0.5246,0.1946,0.0000
32,231.484,6.4580,0.0000,5.7813,0.0855,0.0698,6.1475,0.2384,0.1946,0.0000
33,237.760,6.2763,0.0000,5.9099,0.0808,0.1246,6.3544,0.2403,0.1946,0.0000
34,244.257,6.4969,0.0000,5.7831,0.0656,0.0648,6.1418,0.5240,0.1956,0.0000
35,250.493,6.2359,0.0000,5.9533,0.1095,0.0804,6.4335,0.2378,0.1946,0.0000
36,257.075,6.5820,0.0000,5.7205,0.0647,0.2463,6.2806,0.2402,0.1946,0.0000
37,263.601,6.5256,0.0000,5.6108,0.0645,0.0690,5.9124,0.5292,0.1946,0.0000
38,269.678,6.0777,0.0000,6.0442,0.0670,0.0638,6.4388,0.2419,0.1946,0.0000
39,276.228,6.5492,0.0000,5.9307,0.0584,0.0623,6.2243,0.5308,0.1946,0.0000
40,282.540,6.3121,0.0000,5.9837,0.0557,0.0597,6.2555,0.2406,0.1935,0.0000
41,288.889,6.3490,0.0000,6.0829,0.0549,0.0587,6.3538,0.5312,0.1946,0.0000
42,295.322,6.4334,0.0000,6.1029,0.0567,0.0613,6.3836,0.2379,0.1946,0.0000
43,301.797,6.4747,0.0000,6.0840,0.0552,0.0599,6.3571,0.5315,0.1946,0.0000
44,308.233,6.4361,0.0000,6.0782,0.0853,0.4807,6.8624,0.2396,0.1935,0.0000
45,315.190,6.9576,0.0000,5.6863,0.0622,0.0676,6.0343,0.5357,0.1956,0.0000
46,321.385,6.1946,0.0000,5.9198,0.0857,0.0935,6.3838,0.2416,0.1946,0.0000
47,327.885,6.4997,0.0000,5.8293,0.0614,0.0604,6.1270,0.5373,0.1946,0.0000
48,334.094,6.2092,0.0000,6.0849,0.0704,0.0931,6.4412,0.2381,0.1946,0.0000
49,340.641,6.5471,0.0000,6.0306,0.0617,0.0757,6.4585,0.5240,0.1946,0.0000
