# start_unix_ms 1790232952774
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0240,0.0677,0.9903,9.8633,0.0000,0.0000
1,9.951,9.9509,0.0202,0.0343,0.5357,0.7126,0.0000,0.0000
2,10.710,0.7587,0.0204,0.0237,0.1244,0.2597,0.2838,0.1198
3,11.009,0.2996,0.0272,0.0880,11.1126,11.3160,0.2780,0.1198
4,22.406,11.3970,0.0354,0.0658,0.1095,0.3778,0.6183,0.1178
5,22.829,0.4223,0.0170,0.0173,0.0781,0.1926,0.2746,0.1167
6,23.048,0.2196,18.5064,0.0494,1.2975,19.9885,0.2780,0.1229
7,43.105,20.0568,0.0229,0.0232,0.0825,0.2474,0.2736,0.1188
8,43.388,0.2835,25.5421,0.0659,0.9178,26.7225,0.2739,0.1208
9,70.229,26.8402,0.0334,0.0391,0.5536,0.7725,0.2761,0.1178
10,71.356,1.1275,10.9347,0.0660,1.3481,12.4992,0.2728,0.1188
11,83.920,12.5644,0.0253,0.0334,0.0707,0.2272,0.7216,0.1270
12,84.180,0.2593,12.0213,0.0536,1.3460,13.5404,0.2751,0.1198
13,97.809,13.6296,0.0467,0.0275,0.0897,0.2627,0.7511,0.1188
14,98.107,0.2975,11.9401,0.0455,1.2965,13.4388,0.2756,0.1188
15,111.611,13.5041,0.0234,0.0213,0.0646,0.2395,0.7482,0.1188
16,111.882,0.2707,12.8876,0.0434,1.3837,14.4377,0.2759,0.1188
17,126.417,14.5351,0.0239,0.0219,0.0693,0.2396,0.7501,0.1188
18,126.690,0.2736,11.1794,0.0443,1.2891,12.6544,0.2772,0.1188
19,139.404,12.7133,0.0266,0.0228,0.0995,0.2639,0.7503,0.1188
20,139.697,0.2931,12.1795,0.0488,1.5184,13.8928,0.2759,0.1188
21,153.763,14.0664,0.0779,0.0311,0.0847,0.3690,0.7500,0.1178
22,154.172,0.4085,11.5767,0.0495,1.3294,13.0870,0.2762,0.1198
23,167.349,13.1768,0.0416,0.0308,0.1133,0.3508,0.7490,0.1188
24,167.742,0.3934,11.8612,0.0430,1.3296,13.3739,0.2751,0.1198
25,181.180,13.4381,0.0250,0.0217,0.0668,0.2112,0.7512,0.1188
26,181.421,0.2407,12.1314,0.0480,1.3627,13.6598,0.2752,0.1188
27,195.144,13.7232,0.0230,0.0214,0.0611,0.2094,0.7479,0.1188
28,195.380,0.2360,12.0038,0.0438,1.2897,13.4583,0.2764,0.1198
29,208.900,13.5202,0.0221,0.0220,0.0757,0.2442,0.7505,0.1178
30,209.175,0.2752,13.2705,0.0451,1.3336,14.7919,0.2747,0.1188
31,224.032,14.8570,0.0214,0.0258,0.0731,0.2643,0.7486,0.1198
32,224.328,0.2958,10.7835,0.0542,1.5324,12.5415,0.2772,0.1188
33,236.938,12.6099,0.0291,0.0272,0.0758,0.2448,0.7502,0.1178
34,237.213,0.2745,11.8123,0.0433,1.3203,13.2954,0.2736,0.1188
35,250.572,13.3593,0.0243,0.0344,0.1856,0.3616,0.7544,0.1178
36,251.032,0.4607,11.8114,0.0453,1.3113,13.2909,0.2776,0.1198
37,264.383,13.3506,0.0219,0.0221,0.0680,0.2395,0.7528,0.1188
38,264.658,0.2748,12.8288,0.0655,1.2212,14.2868,0.2780,0.1188
39,279.007,14.3488,0.0201,0.0320,0.0750,0.2494,0.7472,0.1188
40,279.289,0.2820,11.2242,0.0361,1.3737,12.7431,0.2749,0.1178
41,292.089,12.8005,0.0228,0.0178,0.0592,0.2073,0.7487,0.1188
42,292.322,0.2333,12.2525,0.0409,1.2876,13.7218,0.2714,0.1188
43,306.111,13.7889,0.0216,0.0211,0.0750,0.2546,0.7484,0.1188
44,306.398,0.2870,12.0366,0.0632,1.2723,13.4929,0.2730,0.1188
45,319.955,13.5564,0.0214,0.0201,0.0659,0.2055,0.7498,0.1188
46,320.190,0.2353,12.0659,0.0502,1.3965,13.6410,0.2764,0.1188
47,333.892,13.7019,0.0208,0.0205,0.0602,0.2006,0.7585,0.1188
48,334.121,0.2286,12.2249,0.0530,1.2884,13.6927,0.2723,0.1198
49,347.932,13.8111,0.0242,0.0530,0.0731,0.2554,0.7477,0.1188
50,348.221,0.2893,12.2116,0.0405,1.5651,13.9572,0.2763,0.1188
51,362.235,14.0143,0.0192,0.0277,0.0812,0.2251,0.7498,0.1198
52,362.492,0.2567,11.6449,0.0496,1.2682,13.0980,0.2756,0.1198
53,375.663,13.1715,0.0220,0.0181,0.0683,0.2141,0.7492,0.1178
54,375.908,0.2446,12.0351,0.0514,1.4558,13.6875,0.2727,0.1188
55,389.719,13.8112,0.0282,0.0297,0.0812,0.3173,0.7471,0.1188
56,390.074,0.3543,11.9303,0.0498,1.4679,13.6245,0.2758,0.1188
57,403.858,13.7848,0.0966,0.0369,0.0768,0.3479,0.7460,0.1188
58,404.241,0.3827,25.6937,0.0837,1.2506,27.2748,0.2756,0.1188
59,431.794,27.5526,0.0400,0.0361,0.1093,0.3542,0.7464,0.1188
60,432.198,0.4043,14.5969,0.0738,1.1801,16.1328,0.2727,0.1188
61,448.411,16.2133,0.0291,0.0220,0.0775,0.2603,0.7512,0.1198
62,448.703,0.2915,8.7733,0.1018,1.2586,10.3221,0.2718,0.1198
63,459.169,10.4659,0.0347,0.0369,0.1106,0.3397,0.7508,0.1198
64,459.566,0.3974,11.7391,0.0456,1.3593,13.2972,0.2743,0.1188
65,472.947,13.3804,0.0221,0.0205,0.0668,0.2096,0.7444,0.1188
66,473.186,0.2398,11.9024,0.0462,1.3321,13.4081,0.2759,0.1188
67,486.669,13.4823,0.0251,0.0224,0.1021,0.3050,0.7440,0.1188
68,487.011,0.3427,11.9970,0.0460,1.2425,13.4440,0.2733,0.1198
69,500.517,13.5053,0.0226,0.0220,0.0704,0.2745,0.7481,0.1198
70,500.859,0.3426,12.0851,0.0564,1.2225,13.5101,0.2734,0.1188
71,514.433,13.5734,0.0237,0.0248,0.0719,0.2154,0.7439,0.1188
72,514.679,0.2469,12.0857,0.0417,1.5949,13.8557,0.2730,0.1188
73,528.682,14.0024,0.0274,0.0245,0.0889,0.2531,0.7466,0.1188
74,528.971,0.2889,11.7770,0.0428,1.2839,13.2376,0.2711,0.1188
75,542.308,13.3372,0.0233,0.0201,0.0714,0.2292,0.7437,0.1198
76,542.568,0.2602,11.9240,0.0463,1.3042,13.4054,0.2731,0.1198
77,556.071,13.5023,0.0212,0.0250,0.0717,0.2204,0.7468,0.1188
78,556.321,0.2504,12.0806,0.0454,1.2900,13.5537,0.2717,0.1198
79,569.939,13.6178,0.0225,0.0196,0.0648,0.2096,0.7454,0.1198
80,570.176,0.2371,12.0207,0.0459,1.2738,13.4821,0.2705,0.1198
81,583.746,13.5703,0.0241,0.0309,0.0801,0.2420,0.7443,0.1188
82,584.025,0.2793,12.7926,0.0397,1.3053,14.2855,0.2715,0.1198
83,598.430,14.4049,0.0236,0.0234,0.0760,0.2587,0.7440,0.1188
84,598.724,0.2935,11.3718,0.0461,1.3069,12.9160,0.2694,0.1198
85,611.695,12.9713,0.0252,0.0221,0.0688,0.2236,0.7431,0.1188
86,611.946,0.2512,12.0518,0.0441,1.3253,13.5717,0.2697,0.1188
87,625.911,13.9643,0.0291,0.0315,0.1167,0.3027,0.7508,0.1198
88,626.294,0.3832,11.5441,0.0403,1.2878,13.0095,0.2703,0.1198
89,639.390,13.0959,0.0259,0.0253,0.0835,0.2516,0.7454,0.1198
90,639.680,0.2903,12.0214,0.0397,1.2916,13.4876,0.2713,0.1198
91,653.233,13.5528,0.0208,0.0188,0.0647,0.2085,0.7436,0.1188
92,653.469,0.2363,12.1368,0.0530,1.1907,13.5161,0.2697,0.1198
93,667.084,13.6145,0.0235,0.0244,0.0768,0.2259,0.7454,0.1198
94,667.343,0.2597,12.0978,0.0415,1.3172,13.5850,0.2719,0.1198
95,681.048,13.7042,0.0285,0.0289,0.0757,0.2403,0.7443,0.1198
96,681.325,0.2773,12.0500,0.0387,1.4050,13.6432,0.2707,0.1198
97,695.039,13.7144,0.0345,0.0175,0.0679,0.2266,0.7458,0.1188
98,695.294,0.2546,11.8328,0.0426,1.3609,13.3827,0.2711,0.1198
99,708.774,13.4805,0.0214,0.0202,0.0714,0.2315,0.7441,0.1198
100,709.038,0.2635,12.5043,0.0390,1.3398,14.0280,0.2694,0.1198
101,723.131,14.0933,0.0195,0.0172,0.0605,0.2158,0.7576,0.1198
102,723.378,0.2465,11.7843,0.0329,1.3642,13.3059,0.2714,0.1198
103,736.770,13.3923,0.0234,0.0166,0.0631,0.2072,0.7453,0.1198
