# start_unix_ms 1790232809280
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0283,0.1312,1.2895,12.0623,0.0000,0.0000
1,12.172,12.1723,0.0461,0.0365,0.5316,0.7557,0.0000,0.0000
2,13.001,0.8290,0.0223,0.0238,0.2510,0.3973,0.2814,0.1249
3,13.504,0.5026,0.0170,0.9932,0.0564,1.1569,0.2805,0.1198
4,14.695,1.1909,0.0142,12.6841,0.1445,12.9896,0.2854,0.1198
5,28.047,13.3524,0.0597,3.3851,0.1351,3.7428,0.2745,0.1198
6,31.877,3.8297,0.0457,1.5790,0.1094,1.8513,0.2757,0.1290
7,33.772,1.8954,0.0145,4.3473,0.1136,4.6018,0.2777,0.1219
8,38.447,4.6745,0.0296,0.9038,0.1367,1.2066,0.2790,0.1219
9,39.722,1.2755,0.0212,1.0537,0.0669,1.2541,0.2766,0.1229
10,41.026,1.3036,0.0176,1.7147,0.0729,1.8979,0.2770,0.1229
11,42.958,1.9321,0.0148,0.0212,0.0448,0.1571,0.2749,0.1219
12,43.140,0.1817,0.4574,0.9768,0.1643,1.7581,0.2959,0.1219
13,45.032,1.8926,0.0284,1.2233,0.0609,1.4242,0.2845,0.1167
14,46.507,1.4750,0.0151,1.0540,0.0550,1.2145,0.2774,0.1198
15,47.779,1.2719,0.0131,19.4372,0.1191,19.6786,1.0518,0.1178
16,67.532,19.7526,0.0213,0.0230,0.0418,0.1980,0.2751,0.1188
17,67.784,0.2525,0.0125,13.3741,0.0916,13.5844,0.2749,0.1178
18,81.437,13.6530,0.0221,0.0201,0.0382,0.1797,0.2755,0.1178
19,81.648,0.2112,0.0106,17.9095,0.1560,18.1823,0.2757,0.1188
20,99.912,18.2631,0.0245,1.0708,0.1780,1.4164,0.2755,0.1178
21,101.424,1.5124,0.0428,4.7517,0.0838,5.2496,0.2763,0.1178
22,106.752,5.3278,0.0247,1.1095,0.3093,1.6863,0.2756,0.1198
23,108.596,1.8442,0.0509,4.5985,0.0948,4.9676,0.2762,0.1188
24,113.612,5.0157,0.0184,1.1778,0.1753,1.4731,0.2738,0.1188
25,115.176,1.5641,0.0842,4.9783,0.0998,5.3595,0.2775,0.1188
26,120.642,5.4662,0.0215,1.0798,0.1915,1.4644,0.2759,0.1188
27,122.204,1.5622,0.0504,5.2755,0.2527,5.8850,0.2751,0.1188
28,128.346,6.1422,0.0554,0.6893,0.0803,1.2427,0.2766,0.1198
29,129.650,1.3034,0.0179,4.6511,0.1961,4.9905,0.2761,0.1198
30,134.915,5.2651,0.0268,0.9645,0.1447,1.3287,0.2766,0.1188
31,136.406,1.4907,0.0355,4.8597,0.2544,5.3541,0.2779,0.1178
32,141.942,5.5363,0.0914,0.8448,0.0898,1.2173,0.2788,0.1198
33,143.277,1.3353,0.0226,4.8926,0.2539,5.4386,0.2785,0.1198
34,148.857,5.5797,0.0434,0.8423,0.1041,1.3433,0.2793,0.1198
35,150.314,1.4569,0.0456,4.5994,0.2070,5.1605,0.2769,0.1188
36,155.594,5.2806,0.0392,1.0770,0.2227,1.6438,0.2791,0.1188
37,157.436,1.8416,0.0591,6.7954,0.0857,7.1307,0.2833,0.1188
38,164.640,7.2042,0.0214,0.8870,0.0537,1.0777,0.2787,0.1178
39,165.778,1.1376,0.0155,3.0957,0.0854,3.2979,0.2764,0.1198
40,169.120,3.3427,0.0184,1.1433,0.1931,1.6082,0.2772,0.1188
41,170.860,1.7397,0.0421,6.9571,0.0954,7.3034,0.2760,0.1188
42,178.234,7.3739,0.0216,0.8782,0.0685,1.1001,0.2711,0.1178
43,179.382,1.1482,0.0189,3.4528,0.1350,3.7390,0.2755,0.1198
44,183.411,4.0291,0.0283,0.9915,0.0757,1.2613,0.2736,0.1188
45,184.726,1.3144,0.0202,5.0248,0.1290,5.3027,0.2754,0.1188
46,190.138,5.4126,0.0283,0.9387,0.1702,1.4035,0.2768,0.1188
47,191.803,1.6650,0.0771,4.7729,0.1317,5.2095,0.2789,0.1178
48,197.101,5.2978,0.0271,0.9527,0.1939,1.4326,0.2741,0.1188
49,198.692,1.5911,0.0472,4.6761,0.1765,5.1849,0.2772,0.1188
50,203.993,5.3009,0.0264,0.9541,0.1942,1.4280,0.2741,0.1188
51,205.839,1.8462,0.0319,7.1067,0.0932,7.3982,0.2770,0.1198
52,213.302,7.4628,0.0175,0.9111,0.0465,1.0768,0.2763,0.1198
53,214.407,1.1052,0.0099,3.1023,0.1197,3.3479,0.2753,0.1188
54,217.834,3.4271,0.0215,1.0478,0.0915,1.3481,0.2761,0.1188
55,219.261,1.4269,0.0242,5.2158,0.1942,5.6372,0.2738,0.1198
56,225.031,5.7693,0.0362,1.1451,0.1300,1.5532,0.2741,0.1198
57,226.698,1.6675,0.0229,4.7254,0.1052,4.9850,0.2759,0.1188
58,231.734,5.0361,0.0432,0.9503,0.1002,1.3957,0.2778,0.1198
59,233.272,1.5372,0.0402,7.0380,0.2299,7.5688,0.2754,0.1188
60,240.987,7.7151,0.0381,0.7684,0.0670,1.0406,0.2744,0.1198
61,242.098,1.1117,0.0175,4.0565,0.1164,4.3210,0.2904,0.1137
62,246.500,4.4013,0.0471,0.9446,0.0865,1.2798,0.2571,0.1137
63,247.854,1.3542,0.0245,4.4206,0.1691,4.7592,0.2589,0.1137
64,252.721,4.8674,0.0408,0.9982,0.1666,1.5010,0.2563,0.1157
65,254.439,1.7182,0.0351,6.9590,0.0959,7.2347,0.2581,0.1137
66,261.767,7.3272,0.0361,0.4799,0.0815,0.9252,0.2560,0.1147
67,262.735,0.9688,0.0162,3.4534,0.1132,3.6882,0.2558,0.1137
68,266.549,3.8134,0.0509,0.9619,0.1070,1.3767,0.2558,0.1137
69,268.009,1.4603,0.0217,5.1859,0.2406,5.6099,0.2540,0.1137
70,273.736,5.7274,0.0511,0.8846,0.0942,1.2296,0.2563,0.1157
71,275.036,1.2992,0.0184,5.1629,0.2699,5.6248,0.2588,0.1137
72,280.967,5.9311,0.0645,0.6840,0.0763,1.0899,0.2557,0.1147
73,282.120,1.1532,0.0190,4.8240,0.1512,5.1369,0.2540,0.1147
74,287.427,5.3070,0.0449,0.8575,0.0723,1.1136,0.2542,0.1147
75,288.608,1.1807,0.0192,5.3756,0.1861,5.7245,0.2524,0.1137
76,294.491,5.8835,0.0518,1.0361,0.1134,1.4353,0.2525,0.1147
77,296.001,1.5099,0.0257,4.8578,0.1169,5.1255,0.2562,0.1137
78,301.273,5.2717,0.0449,0.8704,0.1596,1.2816,0.2614,0.1147
79,302.703,1.4305,0.0485,5.0550,0.2311,5.5042,0.2544,0.1137
80,308.333,5.6294,0.0453,0.8974,0.0924,1.2440,0.2532,0.1147
81,309.718,1.3851,0.0273,4.9105,0.2093,5.3108,0.2583,0.1137
82,315.135,5.4167,0.0697,0.8334,0.1235,1.3438,0.2519,0.1147
83,316.549,1.4146,0.0366,4.9655,0.1169,5.3866,0.2537,0.1137
84,322.062,5.5129,0.2070,0.9084,0.0864,1.3913,0.2530,0.1157
85,323.517,1.4550,0.0222,5.0742,0.1774,5.3949,0.2533,0.1147
86,329.018,5.5007,0.0336,0.9609,0.1103,1.3224,0.2524,0.1147
87,330.457,1.4394,0.0279,5.1727,0.1433,5.5172,0.2521,0.1147
88,336.070,5.6126,0.0365,0.8857,0.1209,1.2419,0.2547,0.1147
89,337.429,1.3589,0.0373,5.1289,0.1962,5.5225,0.2526,0.1137
90,343.160,5.7313,0.0305,0.9656,0.1171,1.2675,0.2519,0.1147
91,344.525,1.3655,0.0173,5.0316,0.1408,5.3285,0.2520,0.1137
92,349.945,5.4199,0.0333,0.9317,0.1440,1.3432,0.2536,0.1147
93,351.558,1.6131,0.0346,4.8050,0.2003,5.1959,0.2505,0.1137
94,356.875,5.3170,0.0421,0.9140,0.2289,1.4568,0.2539,0.1157
95,358.626,1.7509,0.0638,4.7738,0.1914,5.1685,0.2525,0.1147
96,363.912,5.2861,0.0352,0.9736,0.1116,1.3517,0.2550,0.1157
97,365.364,1.4518,0.0534,4.9436,0.1514,5.3033,0.2525,0.1147
98,370.739,5.3746,0.0580,0.8754,0.1139,1.2560,0.2553,0.1137
99,372.195,1.4566,0.0436,5.0175,0.1462,5.3883,0.2526,0.1147
100,377.682,5.4865,0.1134,0.9282,0.1206,1.3291,0.2516,0.1157
101,379.083,1.4008,0.0257,5.0426,0.1186,5.3348,0.2548,0.1147
102,384.542,5.4590,0.0390,0.8967,0.1144,1.2597,0.2533,0.1147
103,386.042,1.5007,0.0485,5.0899,0.0994,5.3874,0.2532,0.1147
104,391.523,5.4806,0.0209,1.0087,0.1178,1.2935,0.2533,0.1157
105,392.893,1.3697,0.0337,6.6463,0.0822,6.9076,0.2532,0.1137
106,399.863,6.9701,0.0169,1.0276,0.0459,1.1972,0.2521,0.1147
107,401.084,1.2210,0.0096,3.9465,0.1415,4.1934,0.2522,0.1147
108,405.379,4.2956,0.0404,0.8845,0.1017,1.2760,0.2544,0.1137
109,406.726,1.3465,0.0226,5.4257,0.1875,5.7729,0.2521,0.1147
110,412.620,5.8939,0.0424,0.9611,0.0745,1.3118,0.2505,0.1147
111,413.989,1.3694,0.0201,4.9993,0.2040,5.3375,0.2532,0.1147
112,419.436,5.4471,0.0634,0.9465,0.0707,1.2591,0.2556,0.1147
113,420.805,1.3687,0.0249,4.9861,0.1652,5.2886,0.2519,0.1147
114,426.165,5.3605,0.0609,0.9603,0.1040,1.3005,0.2521,0.1157
115,428.005,1.8396,0.0298,4.8804,0.1213,5.1720,0.2521,0.1147
116,433.276,5.2711,0.0593,0.8799,0.0815,1.2141,0.2496,0.1147
117,434.578,1.3018,0.0258,5.1059,0.1012,5.3490,0.2500,0.1137
118,439.995,5.4165,0.0215,0.9949,0.0858,1.2196,0.2495,0.1147
119,441.330,1.3351,0.0200,5.5434,0.3071,6.0749,0.2491,0.1085
120,447.586,6.2561,0.0503,0.5518,0.0712,0.9947,0.2337,0.1106
121,448.648,1.0627,0.0162,5.0459,0.1366,5.3098,0.2371,0.1106
122,454.098,5.4500,0.0524,0.9027,0.1096,1.2544,0.2368,0.1085
123,455.606,1.5077,0.0288,4.9228,0.1090,5.2164,0.2339,0.1085
124,460.946,5.3400,0.0394,0.9136,0.1015,1.2823,0.2373,0.1096
125,462.325,1.3791,0.0240,6.0139,0.0899,6.2488,0.2354,0.1106
126,468.690,6.3646,0.0245,0.7673,0.0547,0.9861,0.2365,0.1106
127,469.720,1.0299,0.0147,4.8953,0.1190,5.1397,0.2344,0.1106
128,474.937,5.2177,0.0688,0.8577,0.0780,1.1409,0.2356,0.1096
129,476.162,1.2246,0.0199,5.2061,0.1117,5.4737,0.2333,0.1096
