# start_unix_ms 1790232916882
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0214,0.0705,0.7952,10.0464,0.0000,0.0000
1,10.140,10.1404,0.0185,0.0331,0.3095,0.4776,0.0000,0.0000
2,10.655,0.5145,0.0182,0.0192,0.1021,0.2287,0.2810,0.1188
3,10.912,0.2572,0.0123,0.7352,0.0435,0.8722,0.2792,0.1219
4,11.808,0.8962,0.1626,10.8887,0.1924,11.3639,0.6215,0.1178
5,23.243,11.4344,0.0270,2.7532,0.0977,3.0236,0.2732,0.1178
6,26.326,3.0834,0.0231,1.3307,0.1349,1.6682,0.2778,0.1280
7,28.064,1.7376,0.0213,6.4393,0.1010,6.6972,0.2755,0.1219
8,34.907,6.8429,0.0291,0.0370,0.1118,0.3065,0.8261,0.1219
9,35.257,0.3499,0.0326,0.1833,0.0536,0.3688,0.2758,0.1229
10,35.655,0.3984,1.2129,0.5063,0.0829,1.8880,0.3778,0.1178
11,37.582,1.9275,0.9053,0.5105,0.0428,1.5462,0.5086,0.1178
12,39.174,1.5918,0.2392,11.1919,0.1057,11.6369,0.5086,0.1178
13,50.890,11.7156,0.0242,0.0225,0.0746,0.2305,0.2750,0.1167
14,51.151,0.2608,0.0111,12.3864,0.1086,12.6133,0.2764,0.1188
15,63.827,12.6762,0.0334,1.2169,0.0424,1.4072,0.2757,0.1178
16,65.267,1.4399,0.0126,18.7772,0.1054,19.0001,0.2756,0.1198
17,84.361,19.0944,0.0247,1.1738,0.0641,1.4633,0.6029,0.1188
18,85.883,1.5220,0.0189,6.4185,0.1073,6.6660,0.2758,0.1198
19,92.609,6.7260,0.0211,0.0187,0.1351,0.2733,0.3824,0.1188
20,92.920,0.3108,0.3961,3.7113,0.1145,4.3338,0.2741,0.1198
21,97.295,4.3751,0.0956,1.2266,0.0693,1.5484,0.2765,0.1178
22,98.888,1.5927,0.0183,5.2975,0.1361,5.8043,0.2760,0.1208
23,104.755,5.8672,0.0215,0.4735,0.0839,1.0195,0.9524,0.1198
24,105.823,1.0679,0.0183,6.2606,0.0719,6.4493,0.7535,0.1188
25,112.323,6.4998,0.0199,0.6925,0.0488,0.8501,0.3809,0.1178
26,113.199,0.8760,0.0100,4.6912,0.0950,4.8750,0.2733,0.1198
27,118.116,4.9171,0.0166,1.3439,0.1247,1.6083,0.4751,0.1167
28,119.814,1.6982,0.0207,5.9906,0.0741,6.2512,0.2746,0.1198
29,126.117,6.3032,0.0195,1.3348,0.0599,1.5145,0.9762,0.1198
30,127.674,1.5573,0.0138,6.2372,0.0956,6.4699,0.7536,0.1198
31,134.211,6.5370,0.0212,0.0246,0.0350,0.2052,0.5718,0.1188
32,134.451,0.2400,0.2565,4.0042,0.0848,4.4584,0.2768,0.1198
33,138.956,4.5047,0.0405,1.2425,0.0675,1.4773,0.2777,0.1167
34,140.475,1.5189,0.0180,5.1214,0.1323,5.3649,0.2750,0.1198
35,145.885,5.4104,0.0185,1.2578,0.1112,1.5066,0.9559,0.1208
36,147.475,1.5894,0.0194,4.9832,0.1005,5.2786,0.7503,0.1198
37,152.796,5.3211,0.0192,1.2849,0.0903,1.5008,0.9560,0.1198
38,154.342,1.5465,0.0186,5.2477,0.0741,5.4793,0.7486,0.1198
39,159.872,5.5295,0.0207,1.2851,0.0955,1.5113,0.9539,0.1198
40,161.442,1.5706,0.0183,6.0708,0.1227,6.3722,0.7492,0.1188
41,167.875,6.4322,0.0255,0.7144,0.0413,0.9443,0.9545,0.1208
42,168.851,0.9761,0.0129,6.2035,0.0811,6.4031,0.7436,0.1188
43,175.312,6.4610,0.0196,0.7030,0.0440,0.9259,0.3774,0.1167
44,176.275,0.9632,0.0135,3.9696,0.1382,4.2105,0.2722,0.1198
45,180.528,4.2532,0.0182,0.5612,0.0566,0.7616,0.4748,0.1167
46,181.327,0.7991,0.0176,6.1504,0.0822,6.3616,0.2751,0.1188
47,187.845,6.5180,0.0273,1.1400,0.0818,1.3762,0.8590,0.1178
48,189.268,1.4229,0.0186,5.8654,0.0715,6.1113,0.7361,0.1188
49,195.428,6.1600,0.0195,0.7862,0.0431,0.9994,0.9501,0.1208
50,196.461,1.0324,0.0134,6.3320,0.0978,6.5433,0.7464,0.1208
51,203.062,6.6010,0.0229,0.6851,0.0550,0.8771,0.4716,0.1167
