# start_unix_ms 1790232216095
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0232,0.0827,0.8197,9.8944,0.0000,0.0000
1,9.982,9.9821,0.0202,0.0328,0.3634,0.5458,0.0000,0.0000
2,10.571,0.5885,0.0186,0.0194,0.2778,0.4067,0.2834,0.1188
3,11.014,0.4438,0.0186,0.0322,0.1332,0.2845,0.2775,0.1208
4,11.388,0.3741,0.2914,0.0302,12.3568,12.8268,0.2790,0.1208
5,24.337,12.9486,0.0488,0.0659,0.1222,0.3972,0.5084,0.1167
6,24.784,0.4471,8.6759,0.0815,2.6355,11.6308,0.2740,0.1219
7,36.491,11.7070,11.9874,0.0451,0.3304,12.5398,0.2795,0.1229
8,49.100,12.6091,19.4783,0.0606,0.2174,19.9668,0.2751,0.1208
9,69.141,20.0410,6.5193,0.0294,0.1768,6.8506,0.2749,0.1208
10,76.043,6.9019,7.5067,0.0402,0.1026,7.7889,0.7489,0.1198
11,83.896,7.8525,5.9800,0.0359,0.3017,6.4278,0.2794,0.1198
12,90.372,6.4765,7.0877,0.0295,0.0875,7.3446,0.7487,0.1188
13,97.765,7.3924,6.3874,0.0342,0.0984,6.6314,0.2776,0.1178
14,104.449,6.6843,6.3779,0.0266,0.2170,6.7398,0.7480,0.1178
15,111.233,6.7842,6.4835,0.0231,0.2035,6.8223,0.7500,0.1178
16,118.099,6.8658,5.4227,0.0253,0.2004,5.7527,0.7498,0.1188
17,123.903,5.8043,7.4295,0.0255,0.1898,7.7592,0.7504,0.1178
18,131.713,7.8097,5.7087,0.0249,0.2228,6.0555,0.7495,0.1188
19,137.817,6.1036,7.5095,0.0393,0.1208,7.8398,0.7501,0.1188
20,145.727,7.9107,7.3600,0.0400,0.0942,7.6547,0.7499,0.1178
21,153.445,7.7182,6.4909,0.0624,0.0999,6.7896,0.7515,0.1178
22,160.296,6.8502,6.0494,0.0352,0.2583,6.4517,0.7472,0.1178
23,166.794,6.4988,6.8255,0.0319,0.0952,7.1517,0.7472,0.1188
24,173.998,7.2036,6.2720,0.0250,0.2240,6.6303,0.7532,0.1178
25,180.672,6.6740,6.4915,0.0303,0.2656,6.9033,0.7492,0.1188
26,187.624,6.9516,5.8171,0.0301,0.3794,6.3223,0.7493,0.1188
27,193.994,6.3699,6.4579,0.0327,0.2601,6.8561,0.7535,0.1188
28,200.954,6.9609,6.1145,0.0457,0.2587,6.5230,0.7507,0.1188
29,207.564,6.6094,6.4301,0.0242,0.2436,6.7996,0.7498,0.1188
30,214.453,6.8891,7.1165,0.0336,0.2084,7.4951,0.7478,0.1188
31,222.003,7.5503,5.8834,0.0294,0.2264,6.2442,0.7517,0.1188
32,228.285,6.2813,6.6160,0.0333,0.2059,6.9741,0.7488,0.1178
33,235.406,7.1213,6.4085,0.0289,0.2360,6.7816,0.7506,0.1188
34,242.235,6.8289,6.5031,0.0304,0.2270,6.8805,0.7532,0.1188
35,249.230,6.9950,6.3238,0.0246,0.1805,6.6530,0.7524,0.1188
36,255.935,6.7055,7.1589,0.0323,0.1960,7.5124,0.7514,0.1178
37,263.504,7.5689,5.9329,0.0245,0.1917,6.2619,0.7457,0.1188
38,270.094,6.5901,6.6718,0.0341,0.1708,7.0059,0.7313,0.1188
39,277.243,7.1487,6.3710,0.0243,0.2240,6.7293,0.7503,0.1188
40,284.012,6.7694,6.7307,0.0256,0.2541,7.1288,0.7486,0.1178
41,291.187,7.1742,6.2918,0.0223,0.2354,6.6451,0.7491,0.1188
42,297.872,6.6856,6.5914,0.0259,0.0860,6.8375,0.7467,0.1188
43,304.750,6.8781,7.3032,0.0483,0.4852,8.0242,0.7494,0.1198
44,312.853,8.1027,8.1594,0.0569,0.1726,8.5316,0.7467,0.1188
45,321.451,8.5985,3.7813,0.0302,0.2199,4.1558,0.7482,0.1188
46,325.784,4.3326,6.3944,0.0355,0.2531,6.8110,0.7504,0.1178
47,332.654,6.8697,6.5154,0.0357,0.1085,6.7878,0.7509,0.1188
48,339.510,6.8568,6.6082,0.0472,0.0985,6.8790,0.7469,0.1188
49,346.446,6.9354,6.4137,0.0981,0.0828,6.6922,0.7491,0.1198
50,353.185,6.7392,6.8172,0.0321,0.1140,7.1017,0.7499,0.1188
51,360.338,7.1531,6.5458,0.0292,0.2419,6.9195,0.7561,0.1188
52,367.363,7.0246,6.5937,0.0316,0.2040,6.9801,0.7535,0.1188
53,374.411,7.0482,6.3930,0.0266,0.1618,6.6822,0.7446,0.1188
54,381.132,6.7210,6.6012,0.0335,0.0799,6.8439,0.7485,0.1188
55,388.015,6.8833,6.4995,0.0258,0.2210,6.8500,0.7456,0.1188
56,394.910,6.8951,6.7126,0.0255,0.2243,7.0964,0.7453,0.1188
57,402.050,7.1401,6.4684,0.0356,0.3553,6.9705,0.7450,0.1188
58,409.096,7.0458,6.1845,0.0310,0.1431,6.5457,0.7473,0.1188
59,415.703,6.6064,6.7547,0.0272,0.2634,7.1495,0.7486,0.1188
60,422.898,7.1950,6.3886,0.0324,0.1161,6.7250,0.7467,0.1188
61,429.676,6.7784,6.5425,0.0274,0.2126,6.8873,0.7494,0.1188
62,436.619,6.9425,6.5115,0.0303,0.1777,6.8161,0.7437,0.1188
63,443.486,6.8672,6.5134,0.0246,0.2012,6.8468,0.7513,0.1188
64,450.376,6.8905,6.5797,0.0298,0.1147,6.8456,0.7494,0.1188
65,457.275,6.8991,6.7522,0.0261,0.0914,6.9659,0.7476,0.1188
66,464.282,7.0071,7.1716,0.0385,0.1681,7.5024,0.7474,0.1198
67,471.852,7.5699,6.3201,0.0288,0.3228,6.8034,0.7474,0.1188
68,478.706,6.8537,6.1463,0.0288,0.0859,6.3706,0.7454,0.1188
69,485.117,6.4106,6.4799,0.0227,0.2553,6.8526,0.7453,0.1188
70,492.010,6.8935,7.5279,0.0328,0.2520,7.9227,0.7445,0.1188
71,499.977,7.9666,5.7380,0.0282,0.2191,6.1149,0.7455,0.1188
72,506.131,6.1542,6.3570,0.0260,0.3519,6.8399,0.7448,0.1188
73,513.018,6.8868,6.3853,0.0282,0.2242,6.7334,0.7477,0.1188
74,519.800,6.7825,6.5514,0.0229,0.2170,6.8905,0.7428,0.1198
75,526.732,6.9315,6.8956,0.0244,0.1567,7.1736,0.7431,0.1188
76,533.947,7.2148,6.1432,0.0274,0.2469,6.5050,0.7428,0.1198
77,540.492,6.5456,6.9381,0.0313,0.1738,7.2710,0.7452,0.1198
78,547.812,7.3194,6.4704,0.0229,0.2143,6.8276,0.7424,0.1188
79,554.683,6.8718,7.2675,0.0297,0.1119,7.5189,0.7467,0.1188
80,562.253,7.5695,6.0334,0.0262,0.2016,6.4059,0.7469,0.1188
81,568.699,6.4465,6.4233,0.0357,0.5664,7.1395,0.7491,0.1188
82,575.976,7.2764,6.0190,0.0358,0.1157,6.3009,0.7446,0.1188
83,582.338,6.3622,6.4931,0.0250,0.1648,6.8030,0.7309,0.1188
84,589.187,6.8492,6.9774,0.0406,0.2279,7.3886,0.7427,0.1188
85,596.785,7.5979,6.0078,0.0373,0.1792,6.3733,0.7434,0.1188
86,603.230,6.4446,13.0034,0.0887,0.3591,13.6760,0.7437,0.1188
87,617.071,13.8415,6.7396,0.0337,0.1758,7.0862,0.7479,0.1188
88,624.214,7.1425,6.4259,0.0371,0.1548,6.7381,0.7438,0.1188
89,631.021,6.8076,6.6418,0.0270,0.3076,7.0916,0.7453,0.1188
90,638.167,7.1456,6.6019,0.0260,0.2907,7.0269,0.7417,0.1198
91,645.240,7.0729,6.3203,0.0239,0.2265,6.6650,0.7453,0.1188
92,651.944,6.7043,6.6304,0.0315,0.2313,6.9893,0.7421,0.1188
93,658.995,7.0504,6.3302,0.0633,0.2497,6.7749,0.7430,0.1188
94,665.808,6.8140,6.5201,0.0319,0.2696,6.9655,0.7452,0.1198
95,672.827,7.0190,6.1615,0.0261,0.4180,6.7030,0.7461,0.1198
96,679.570,6.7423,6.7709,0.0328,0.2666,7.1923,0.7447,0.1188
97,686.821,7.2513,6.3293,0.0300,0.4141,6.9241,0.7468,0.1198
98,693.846,7.0253,6.4263,0.0274,0.2395,6.8168,0.7527,0.1188
99,700.746,6.8992,6.2401,0.0205,0.4172,6.7820,0.7424,0.1188
100,707.566,6.8200,6.3671,0.0242,0.2697,6.8176,0.7449,0.1208
101,714.423,6.8577,6.4534,0.0541,0.2142,6.8518,0.7453,0.1198
102,721.316,6.8926,6.5505,0.0688,0.3061,7.0410,0.7440,0.1188
103,728.412,7.0958,6.4329,0.0658,0.2292,6.8372,0.7458,0.1188
104,735.300,6.8882,6.4330,0.0548,0.2522,6.8828,0.7443,0.1198
105,742.231,6.9315,7.0042,0.0335,0.2154,7.3724,0.7454,0.1198
106,749.666,7.4348,5.9713,0.0262,0.4021,6.5122,0.7457,0.1198
107,756.236,6.5695,6.5361,0.0853,0.0816,6.8614,0.7472,0.1198
108,763.140,6.9043,6.4084,0.0314,0.4158,6.9727,0.7423,0.1188
109,770.173,7.0334,6.3106,0.0307,0.7932,7.2550,0.7431,0.1198
110,777.513,7.3397,5.9491,0.0346,0.0817,6.2268,0.7426,0.1198
111,783.785,6.2718,7.0854,0.0362,0.1137,7.3784,0.7430,0.1198
112,791.241,7.4562,6.0376,0.0271,0.2787,6.4533,0.7485,0.1198
113,797.744,6.5031,6.6030,0.0251,0.2194,6.9832,0.7490,0.1188
114,804.771,7.0266,8.1623,0.0271,0.1279,8.4176,0.7448,0.1198
115,813.230,8.4589,5.1590,0.0258,0.0986,5.4488,0.7427,0.1198
116,818.731,5.5016,6.3147,0.0453,0.1342,6.6541,0.7530,0.1188
117,825.463,6.7313,6.5547,0.0570,0.2881,7.0648,0.7444,0.1198
118,832.698,7.2359,6.1933,0.0441,0.1128,6.5019,0.7410,0.1198
119,839.279,6.5807,6.6839,0.0411,0.2377,7.1050,0.7434,0.1188
120,846.500,7.2208,6.3306,0.0343,0.2588,6.7540,0.7429,0.1198
121,853.328,6.8283,6.3802,0.0298,0.1454,6.6830,0.7436,0.1198
122,860.084,6.7559,6.7558,0.0386,0.2438,7.1658,0.7417,0.1198
123,867.320,7.2359,6.4874,0.0334,0.1373,6.7909,0.7463,0.1198
124,874.175,6.8551,6.6547,0.0350,0.1899,7.0130,0.7439,0.1198
