timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:47:18.475, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.10 W, 0x0000000000000001
2026/09/24 08:47:18.726, P0, 1740 MHz, 6101 MHz, 21 %, 75, 22.40 W, 0x0000000000000001
2026/09/24 08:47:18.981, P0, 1740 MHz, 6101 MHz, 21 %, 75, 22.40 W, 0x0000000000000001
2026/09/24 08:47:19.233, P0, 1740 MHz, 6101 MHz, 24 %, 75, 23.47 W, 0x0000000000000001
2026/09/24 08:47:19.496, P0, 1740 MHz, 6101 MHz, 24 %, 75, 23.47 W, 0x0000000000000001
2026/09/24 08:47:19.752, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.17 W, 0x0000000000000001
2026/09/24 08:47:20.016, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.06 W, 0x0000000000000001
2026/09/24 08:47:20.268, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.06 W, 0x0000000000000001
2026/09/24 08:47:20.523, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.34 W, 0x0000000000000001
2026/09/24 08:47:20.781, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.34 W, 0x0000000000000001
2026/09/24 08:47:21.034, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.18 W, 0x0000000000000001
2026/09/24 08:47:21.285, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.18 W, 0x0000000000000001
2026/09/24 08:47:21.544, P0, 1740 MHz, 6101 MHz, 21 %, 75, 22.98 W, 0x0000000000000001
2026/09/24 08:47:21.798, P0, 1740 MHz, 6101 MHz, 21 %, 75, 22.98 W, 0x0000000000000001
2026/09/24 08:47:22.050, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.09 W, 0x0000000000000001
2026/09/24 08:47:22.309, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.09 W, 0x0000000000000001
2026/09/24 08:47:22.564, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.18 W, 0x0000000000000001
2026/09/24 08:47:22.815, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.18 W, 0x0000000000000001
2026/09/24 08:47:23.069, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.08 W, 0x0000000000000001
2026/09/24 08:47:23.322, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.08 W, 0x0000000000000001
2026/09/24 08:47:23.574, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.19 W, 0x0000000000000001
2026/09/24 08:47:23.828, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.19 W, 0x0000000000000001
2026/09/24 08:47:24.084, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.08 W, 0x0000000000000001
2026/09/24 08:47:24.345, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.08 W, 0x0000000000000001
2026/09/24 08:47:24.600, P0, 1740 MHz, 6101 MHz, 20 %, 75, 22.49 W, 0x0000000000000001
2026/09/24 08:47:24.857, P0, 1740 MHz, 6101 MHz, 20 %, 75, 22.49 W, 0x0000000000000001
2026/09/24 08:47:25.116, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.07 W, 0x0000000000000001
2026/09/24 08:47:25.379, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.07 W, 0x0000000000000001
2026/09/24 08:47:25.636, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.29 W, 0x0000000000000001
2026/09/24 08:47:25.893, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.29 W, 0x0000000000000001
2026/09/24 08:47:26.148, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.23 W, 0x0000000000000001
2026/09/24 08:47:26.399, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.23 W, 0x0000000000000001
2026/09/24 08:47:26.656, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.08 W, 0x0000000000000001
2026/09/24 08:47:26.911, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.08 W, 0x0000000000000001
