# start_unix_ms 1790232845497
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0236,0.1193,1.1125,9.7159,0.0000,0.0000
1,9.824,9.8244,0.0201,0.0361,0.5626,0.7707,0.0000,0.0000
2,10.687,0.8624,0.0216,0.0229,10.7441,10.9975,0.2851,0.1198
3,21.780,11.0934,0.0362,0.0588,0.1011,0.3415,0.2807,0.1198
4,22.165,0.3851,0.0154,0.0306,0.0788,0.2178,0.2768,0.1178
5,22.414,0.2490,0.1224,0.0301,0.1057,0.3657,0.2763,0.1188
6,22.821,0.4064,5.1462,0.0506,2.9770,8.3083,0.2745,0.1208
7,31.259,8.4386,3.1357,0.0425,0.9660,4.3086,0.2797,0.1229
8,35.621,4.3622,27.7275,0.0474,0.5230,28.4505,0.2772,0.1219
9,64.259,28.6372,20.3043,0.0945,0.1599,20.7207,0.7479,0.1208
10,85.051,20.7923,5.9483,0.0461,0.3207,6.4745,0.2759,0.1208
11,91.587,6.5363,7.0251,0.0508,0.1393,7.3460,0.7240,0.1208
12,98.996,7.4086,5.0490,0.0313,0.2624,5.4722,0.2765,0.1198
13,104.545,5.5488,6.9800,0.0357,0.2393,7.3741,0.7483,0.1188
14,111.975,7.4305,5.9091,0.0269,0.1172,6.1706,0.7447,0.1188
15,118.195,6.2201,6.3069,0.0317,0.1862,6.6437,0.7506,0.1188
16,124.896,6.7005,6.5426,0.0327,0.1854,6.8979,0.7536,0.1198
17,131.860,6.9641,6.7896,0.0328,0.0867,7.0307,0.7545,0.1188
18,138.950,7.0899,6.5656,0.0306,0.1228,6.8474,0.7479,0.1188
19,145.857,6.9074,6.5979,0.0436,0.1703,6.9325,0.7485,0.1188
20,152.847,6.9900,6.7502,0.0329,0.1571,7.0817,0.7661,0.1188
21,159.988,7.1410,6.4616,0.0288,0.2571,6.8716,0.7490,0.1188
22,166.962,6.9736,6.5575,0.0299,0.1141,6.8384,0.7646,0.1198
23,173.864,6.9022,6.2345,0.0366,0.1961,6.5819,0.7510,0.1188
24,180.498,6.6337,6.8639,0.0324,0.1084,7.1403,0.7482,0.1198
25,187.711,7.2137,6.2865,0.0296,0.3876,6.8208,0.7513,0.1188
26,194.673,6.9612,6.5158,0.0393,0.1056,6.7894,0.7504,0.1188
27,201.518,6.8459,6.5563,0.0343,0.2345,6.9531,0.7490,0.1188
28,208.532,7.0137,6.5836,0.0517,0.2002,6.9547,0.7483,0.1188
29,215.543,7.0106,6.5335,0.0814,0.2083,6.9413,0.7496,0.1178
30,222.572,7.0294,6.8743,0.0553,0.0860,7.1591,0.7490,0.1188
31,229.783,7.2111,6.1316,0.0287,0.2050,6.4759,0.7497,0.1188
32,236.303,6.5201,6.5710,0.0643,0.0909,6.8572,0.7512,0.1188
33,243.239,6.9357,6.6233,0.0384,0.1485,6.9545,0.7646,0.1188
34,250.254,7.0147,6.4045,0.0262,0.2492,6.8033,0.7526,0.1188
