# start_unix_ms 1790233024974
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0281,0.0718,0.8930,15.0368,0.0000,0.0000
1,15.386,15.3863,0.0319,0.0518,0.6102,0.9004,0.0000,0.0000
2,16.347,0.9608,0.0280,0.0512,0.1641,0.4063,0.2820,0.1188
3,16.843,0.4955,0.0163,0.2610,0.1550,0.5904,0.2811,0.1198
4,17.498,0.6550,0.0161,12.0438,0.1462,12.3327,0.2811,0.1188
5,29.933,12.4355,0.0254,3.1660,0.1315,3.7562,0.2745,0.1178
6,33.804,3.8707,0.0939,1.0712,0.3052,1.7967,0.2776,0.1290
7,35.761,1.9572,0.0317,2.8185,0.0955,3.1286,0.2753,0.1219
8,38.957,3.1959,0.0241,0.6128,0.1181,0.8851,0.2773,0.1219
9,39.881,0.9241,0.0183,0.9777,0.1212,1.2559,0.3821,0.1208
10,41.181,1.3000,0.0238,1.2022,0.0555,1.3895,0.4032,0.3697
11,42.601,1.4203,0.0888,0.4815,0.0499,0.7270,0.7530,0.1188
12,43.378,0.7771,0.2117,6.8888,0.1628,7.3777,0.5057,0.1178
13,50.821,7.4430,0.0264,1.5839,0.0757,1.7964,0.2785,0.1178
14,52.664,1.8427,0.0157,6.3071,0.1017,6.5381,0.2755,0.1198
15,59.276,6.6117,0.0264,7.5952,0.0950,7.8687,0.7572,0.1188
16,67.217,7.9410,0.0250,17.2673,0.1775,17.6274,0.2750,0.1188
17,84.923,17.7058,0.0276,1.2815,0.1370,1.6880,0.2750,0.1188
18,86.681,1.7585,0.0226,4.5802,0.3905,5.1886,0.2745,0.1188
19,91.936,5.2549,0.0260,1.1162,0.1768,1.4576,0.5744,0.1188
20,93.483,1.5475,0.0339,4.8939,0.1748,5.2447,0.2756,0.1188
21,99.033,5.5497,0.0638,0.8475,0.0980,1.2250,0.6142,0.1178
22,100.384,1.3507,0.0258,4.9419,0.1854,5.2925,0.2758,0.1198
23,105.818,5.4338,0.0349,1.1078,0.1571,1.4494,0.3815,0.1198
24,107.339,1.5210,0.0218,4.7701,0.0975,5.0102,0.2751,0.1188
25,112.526,5.1873,0.0292,1.1350,0.0589,1.3337,0.9532,0.1198
26,113.898,1.3721,0.0119,5.2833,0.0950,5.5044,0.7303,0.1188
27,119.504,5.6059,0.0229,1.1933,0.1155,1.5307,0.9505,0.1198
28,121.118,1.6137,0.0215,5.1041,0.0913,5.4314,0.7461,0.1188
29,126.607,5.4897,0.0219,1.2333,0.0495,1.4102,0.9521,0.1188
30,128.052,1.4450,0.0116,5.0704,0.0721,5.2583,0.7490,0.1188
31,133.415,5.3624,0.0268,1.1839,0.0732,1.4348,0.5721,0.1198
32,134.901,1.4866,0.0183,5.0837,0.2236,5.4683,0.2755,0.1188
33,140.520,5.6182,0.0306,1.0729,0.0815,1.3198,0.9552,0.1198
34,141.915,1.3958,0.0191,5.1099,0.1883,5.4276,0.7467,0.1188
