# start_unix_ms 1790232381350
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
76,287.767,5.2732,0.0262,1.2009,0.0599,1.4081,0.9434,0.1198
77,289.228,1.4605,0.0451,5.0967,0.1031,5.4458,0.7161,0.1188
78,294.750,5.5223,0.0268,1.1922,0.1267,1.5232,0.9458,0.1208
79,296.331,1.5813,0.0222,5.0283,0.1114,5.4806,0.7208,0.1188
80,301.888,5.5568,0.0288,1.0978,0.0879,1.3611,0.9450,0.1208
81,303.326,1.4377,0.0253,4.8487,0.1667,5.2436,0.7467,0.1198
82,308.640,5.3145,0.0290,1.2547,0.2036,1.6528,0.5645,0.1198
83,310.408,1.7679,0.0357,7.5265,0.1186,7.9384,0.2734,0.1188
84,318.432,8.0235,0.0276,0.5585,0.0637,0.8082,0.9446,0.1208
85,319.283,0.8514,0.0155,2.8148,0.0886,3.0249,0.2713,0.1106
86,322.491,3.2080,0.0230,0.9193,0.0588,1.1263,0.4362,0.1075
87,323.651,1.1599,0.0122,5.5206,0.1124,5.7639,0.2355,0.1096
88,329.489,5.8379,0.0247,1.0429,0.0924,1.2816,0.8310,0.1106
89,330.840,1.3516,0.0274,5.1693,0.1373,5.4897,0.6555,0.1096
90,336.407,5.5666,0.0361,0.9878,0.1570,1.4090,0.8309,0.1096
91,337.983,1.5762,0.0467,4.7977,0.1189,5.2270,0.6569,0.1096
92,343.292,5.3082,0.0283,1.0347,0.0899,1.2857,0.8309,0.1106
93,344.678,1.3870,0.0492,5.0964,0.1131,5.5277,0.2352,0.1096
94,350.286,5.6080,0.0251,1.0220,0.0747,1.2447,0.8321,0.1116
95,351.921,1.6341,0.0415,4.8329,0.1241,5.1992,0.2371,0.1096
96,357.195,5.2743,0.0273,0.9859,0.0861,1.2791,0.8330,0.1106
97,358.590,1.3956,0.0508,5.0630,0.0981,5.4647,0.2378,0.1096
98,364.194,5.6040,0.0263,0.9684,0.1512,1.3025,0.8340,0.1106
99,365.574,1.3791,0.0273,6.1734,0.1267,6.5791,0.2368,0.1096
100,372.262,6.6880,0.0479,0.8114,0.1095,1.2674,0.8319,0.1106
101,373.708,1.4465,0.0658,4.1224,0.1082,4.7489,0.6549,0.1096
102,378.534,4.8260,0.0361,0.9630,0.0662,1.2004,0.5284,0.1096
103,379.777,1.2428,0.0142,4.8802,0.1498,5.1626,0.2404,0.1106
104,385.022,5.2450,0.0552,0.9884,0.1290,1.2881,0.5277,0.1096
105,386.414,1.3923,0.0592,5.0527,0.1201,5.4503,0.2385,0.1096
106,392.005,5.5907,0.0339,0.9788,0.1709,1.3192,0.8331,0.1106
107,393.410,1.4051,0.0396,4.9295,0.1203,5.4188,0.6548,0.1085
108,398.948,5.5378,0.0267,1.0092,0.1359,1.3192,0.8319,0.1116
109,400.384,1.4362,0.0409,4.9262,0.0914,5.2629,0.2357,0.1096
110,405.732,5.3478,0.0254,1.0122,0.0988,1.3419,0.8325,0.1106
111,407.177,1.4450,0.0389,5.1883,0.1180,5.5353,0.6522,0.1085
112,412.793,5.6159,0.0260,1.0534,0.1226,1.3278,0.8338,0.1116
113,414.218,1.4253,0.0303,5.0996,0.1510,5.4584,0.6547,0.1096
114,419.754,5.5360,0.0558,1.0063,0.1685,1.3571,0.8321,0.1106
115,421.235,1.4814,0.0655,5.0135,0.1340,5.4123,0.6539,0.1096
116,426.733,5.4980,0.0442,1.0039,0.1168,1.2924,0.8295,0.1116
117,428.127,1.3935,0.0508,4.9662,0.1091,5.3036,0.2341,0.1085
118,433.544,5.4175,0.0735,0.9617,0.0759,1.2257,0.8342,0.1116
119,434.901,1.3570,0.0192,5.2432,0.1025,5.4962,0.6518,0.1085
120,440.495,5.5937,0.0284,1.0573,0.1488,1.3795,0.8282,0.1106
121,441.963,1.4682,0.0696,5.0508,0.2956,5.6164,0.6545,0.1085
122,447.654,5.6905,0.0276,1.0102,0.1025,1.2646,0.8370,0.1116
123,448.995,1.3408,0.0313,6.4734,0.1055,6.7293,0.6502,0.1096
124,455.911,6.9163,0.0458,0.4697,0.0732,0.7077,0.5338,0.1096
125,456.666,0.7556,0.0224,4.2959,0.1182,4.5508,0.2350,0.1106
126,461.293,4.6260,0.0372,1.0136,0.0672,1.2514,0.4376,0.1085
127,462.598,1.3059,0.0180,5.4637,0.1611,5.8061,0.2350,0.1106
128,468.485,5.8869,0.0268,1.0678,0.0880,1.3120,0.8297,0.1116
129,469.894,1.4084,0.0222,4.9559,0.1283,5.2414,0.6529,0.1096
130,475.219,5.3250,0.0280,0.9774,0.1340,1.3271,0.5459,0.1096
131,476.660,1.4416,0.0407,5.0543,0.1201,5.4342,0.2344,0.1096
132,482.200,5.5398,0.0306,1.0612,0.1416,1.3866,0.8345,0.1116
133,483.705,1.5047,0.0623,5.0118,0.1103,5.3557,0.2345,0.1106
134,489.142,5.4370,0.0251,1.0392,0.1199,1.2999,0.8354,0.1116
135,490.533,1.3908,0.0242,5.0814,0.1314,5.4122,0.6500,0.1096
136,496.033,5.5005,0.0281,1.0226,0.1020,1.2802,0.8297,0.1126
