# start_unix_ms 1790231668685
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
76,551.289,7.1978,5.8115,0.0918,0.7114,6.9271,0.7486,0.1198
77,558.533,7.2437,5.3756,0.0826,0.2310,5.9804,0.7470,0.1198
78,564.639,6.1064,6.0380,0.0787,0.1376,6.5233,0.7477,0.1198
79,571.250,6.6113,6.3146,0.1112,0.2585,7.0301,0.7541,0.1198
80,578.392,7.1412,6.2116,0.0762,0.2025,6.7879,0.7486,0.1188
81,585.282,6.8899,6.2144,0.0565,0.1252,6.5964,0.7524,0.1188
82,591.958,6.6766,6.5665,0.0758,0.4271,7.3362,0.7521,0.1198
83,599.399,7.4406,6.1385,0.0527,0.1341,6.5003,0.2709,0.1198
84,606.004,6.6049,6.3582,0.0839,0.2230,6.8983,0.7445,0.1198
85,613.076,7.0720,6.0097,0.0472,0.1519,6.3619,0.7470,0.1198
86,619.532,6.4566,6.5477,0.0434,0.1491,6.8926,0.7442,0.1198
87,626.519,6.9863,6.4227,0.0454,0.1571,6.7714,0.7468,0.1198
88,633.392,6.8733,6.4775,0.0433,0.1731,6.8346,0.7440,0.1198
89,640.314,6.9224,6.4924,0.0444,0.1712,6.8387,0.7467,0.1198
90,647.234,6.9201,6.8152,0.0424,0.1621,7.2390,0.7418,0.1188
91,654.557,7.3223,6.4432,0.0498,0.1168,6.7835,0.7436,0.1198
92,661.416,6.8588,6.1493,0.0479,0.1695,6.4953,0.7456,0.1198
93,667.998,6.5829,6.6338,0.0849,0.1941,7.1220,0.7443,0.1198
94,675.189,7.1910,6.4114,0.1001,0.1440,6.8053,0.7477,0.1198
95,682.146,6.9566,6.2920,0.0533,0.1498,6.6274,0.7458,0.1198
96,688.856,6.7101,6.6331,0.0413,0.2960,7.1077,0.7449,0.1198
97,696.048,7.1915,6.2749,0.0463,0.1621,6.6720,0.7485,0.1198
98,702.791,6.7436,6.5051,0.0502,0.1462,6.8570,0.7442,0.1208
99,709.727,6.9357,6.5577,0.0632,0.1342,6.8965,0.7441,0.1198
100,716.704,6.9769,6.5904,0.1014,0.1383,6.9763,0.7439,0.1198
101,723.851,7.1477,6.4490,0.0486,0.1693,6.8214,0.7479,0.1208
102,730.770,6.9186,6.6882,0.0536,0.1295,7.0368,0.7458,0.1208
103,738.254,7.4838,5.8961,0.0707,0.1242,6.3043,0.7499,0.1198
104,744.649,6.3946,6.4352,0.0667,0.1158,6.7994,0.7524,0.1198
105,751.536,6.8874,6.5595,0.0597,0.1247,6.9580,0.7491,0.1198
106,758.575,7.0388,6.4319,0.0553,0.1545,6.8414,0.7494,0.1208
107,765.532,6.9570,6.3345,0.0491,0.1216,6.7433,0.7485,0.1198
108,772.406,6.8744,6.3632,0.0751,0.1383,6.8257,0.7519,0.1198
109,779.316,6.9095,6.6156,0.0496,0.3523,7.2140,0.7458,0.1198
110,786.975,7.6597,5.7119,0.0673,0.1274,6.0956,0.7458,0.1198
111,793.158,6.1823,6.5181,0.0830,0.1238,6.9054,0.7532,0.1198
112,800.146,6.9887,6.9264,0.0445,0.1376,7.3299,0.7524,0.1208
113,807.559,7.4132,5.9691,0.0700,0.1529,6.3995,0.7472,0.1198
114,814.047,6.4874,6.4343,0.0543,0.1465,6.8308,0.7505,0.1208
115,820.965,6.9179,6.5536,0.1464,0.1990,7.2065,0.7541,0.1208
116,828.300,7.3352,6.0406,0.0626,0.1469,6.4464,0.7528,0.1208
117,834.847,6.5470,8.6243,0.0463,0.1545,8.9686,0.7468,0.1198
118,843.899,9.0515,4.8883,0.0457,0.1680,5.2559,0.7451,0.1208
119,849.233,5.3347,5.9690,0.0402,0.1734,6.3113,0.7491,0.1208
120,855.621,6.3874,6.4895,0.0461,0.1701,6.8425,0.7431,0.1198
121,862.541,6.9203,6.4368,0.0381,0.1775,6.7768,0.7402,0.1198
122,869.393,6.8521,6.4938,0.0400,0.1747,6.8400,0.7433,0.1198
123,876.324,6.9314,6.5674,0.0440,0.1754,6.9499,0.7434,0.1208
124,883.342,7.0177,6.4698,0.0450,0.1696,6.8165,0.7439,0.1208
125,890.227,6.8846,6.5087,0.0554,0.1592,6.9567,0.7456,0.1198
126,897.251,7.0245,6.3742,0.0399,0.1734,6.8098,0.7470,0.1208
127,904.171,6.9200,6.4904,0.1065,0.7766,7.5202,0.7444,0.1198
128,912.148,7.9772,5.4449,0.0560,0.1528,5.8260,0.7441,0.1198
129,918.077,5.9288,6.3543,0.0429,0.1569,6.7242,0.7435,0.1208
130,924.903,6.8254,6.5552,0.0459,0.2197,6.9651,0.7476,0.1198
131,931.950,7.0475,6.4579,0.0444,0.1739,6.8127,0.7455,0.1198
132,938.841,6.8906,6.4931,0.0357,0.1718,6.8233,0.7425,0.1208
133,945.739,6.8982,6.5762,0.0473,0.3094,7.0711,0.7441,0.1198
134,952.916,7.1771,6.2953,0.0449,0.1821,6.6591,0.7446,0.1208
135,959.653,6.7373,6.5106,0.0401,0.1610,6.8425,0.7420,0.1208
136,966.573,6.9196,6.5604,0.0474,0.2226,6.9587,0.7457,0.1208
137,973.594,7.0207,6.5045,0.0443,0.1674,6.8437,0.7416,0.1208
138,980.513,6.9193,6.4787,0.0401,0.1783,6.8226,0.7429,0.1208
139,987.414,6.9011,6.6380,0.0422,0.1860,6.9995,0.7460,0.1219
140,994.488,7.0737,6.5000,0.0671,0.2725,7.0044,0.7419,0.1219
141,1002.509,8.0210,5.4644,0.0761,0.1385,5.8326,0.7439,0.1208
142,1008.444,5.9348,6.5340,0.0558,0.2565,7.0569,0.7455,0.1219
143,1015.761,7.3172,5.9583,0.0424,0.2462,6.3812,0.7434,0.1219
144,1022.227,6.4659,6.5614,0.0381,0.1753,6.8943,0.7440,0.1219
145,1029.188,6.9613,6.3571,0.1084,0.1050,6.6910,0.7459,0.1219
146,1035.966,6.7779,6.5284,0.0389,0.1739,6.8638,0.7508,0.1229
147,1042.893,6.9276,6.5553,0.0393,0.1923,6.9094,0.7422,0.1229
148,1049.869,6.9752,6.4951,0.0389,0.1659,6.8338,0.7450,0.1229
149,1056.781,6.9128,6.6338,0.0424,0.1724,6.9893,0.7420,0.1229
150,1063.983,7.2013,6.2533,0.0410,0.1812,6.6448,0.7423,0.1219
151,1070.706,6.7233,6.4828,0.0322,0.1193,6.8285,0.7485,0.1229
152,1077.602,6.8962,6.5494,0.0407,0.1498,6.8808,0.7434,0.1229
153,1084.543,6.9403,6.5729,0.0450,0.1076,6.8767,0.7434,0.1229
154,1091.489,6.9460,6.5772,0.0304,0.1818,6.8978,0.7469,0.1229
155,1098.478,6.9891,6.5716,0.0417,0.1980,6.9532,0.7429,0.1229
156,1105.495,7.0179,6.4994,0.0412,0.1831,6.8454,0.7434,0.1229
157,1112.416,6.9201,6.4473,0.0376,0.1809,6.7853,0.7387,0.1229
158,1119.399,6.9829,6.5168,0.0583,0.1513,6.8915,0.7413,0.1219
159,1126.444,7.0457,6.3952,0.0405,0.1654,6.7314,0.7409,0.1219
160,1133.273,6.8289,7.4793,0.1258,0.1265,7.8991,0.7419,0.1229
161,1141.261,7.9882,5.6995,0.6484,0.2086,6.7091,0.7426,0.1229
162,1148.078,6.8170,5.6633,0.0452,0.1022,5.9660,0.7415,0.1229
163,1154.112,6.0338,6.5139,0.0389,0.1794,6.8579,0.7410,0.1229
164,1161.041,6.9291,6.4226,0.0412,0.1960,6.7855,0.7376,0.1239
165,1167.899,6.8573,6.4633,0.0352,0.1992,6.8167,0.7427,0.1229
166,1174.776,6.8778,6.6416,0.1202,0.1444,7.0386,0.7421,0.1229
167,1181.964,7.1877,6.3968,0.0407,0.2133,6.7766,0.7434,0.1229
168,1188.894,6.9302,6.3453,0.0378,0.2480,6.7568,0.7423,0.1219
169,1195.724,6.8299,6.4824,0.0360,0.1766,6.8159,0.7412,0.1239
170,1202.629,6.9048,6.9199,0.0863,0.1336,7.3083,0.7433,0.1239
171,1210.035,7.4061,6.0598,0.0411,0.2505,6.4778,0.7490,0.1229
172,1216.693,6.6583,6.3508,0.0346,0.1947,6.6968,0.7421,0.1229
173,1223.457,6.7635,6.5411,0.0379,0.1702,6.8886,0.7410,0.1229
174,1230.421,6.9644,6.4606,0.0290,0.2072,6.8069,0.7434,0.1229
175,1237.286,6.8648,6.5749,0.0365,0.1939,6.9251,0.7417,0.1229
176,1244.281,6.9948,6.4798,0.0312,0.1960,6.8122,0.7401,0.1229
177,1251.150,6.8691,6.5642,0.6056,0.2080,7.5073,0.7408,0.1239
