# start_unix_ms 1790235547712
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0565,0.0661,0.8313,12.5283,0.0000,0.0000
1,12.621,12.6214,0.0000,0.0215,0.0341,0.3501,0.5169,0.0000,0.0000
2,13.184,0.5625,0.0000,0.0222,0.0213,0.1047,0.2405,0.2818,0.1198
3,13.459,0.2753,0.0000,0.0143,1.3684,0.0472,1.5047,0.2796,0.1208
4,14.992,1.5331,0.0000,0.0105,12.3678,0.1079,12.6160,0.2764,0.1219
5,27.684,12.6921,0.0000,0.0293,3.8126,0.1346,4.1261,0.5060,0.1188
6,31.919,4.2345,0.0000,0.0395,1.4304,0.1313,1.7197,0.2743,0.1311
7,33.693,1.7740,0.0000,0.0224,5.6365,0.1647,5.9532,0.2745,0.1219
8,39.721,6.0277,0.0000,0.0289,0.0618,0.1326,0.4241,0.2739,0.1229
9,40.194,0.4737,0.0000,0.0195,0.0784,0.0521,0.2459,0.3881,0.1219
10,40.578,0.3832,0.0000,1.1170,0.5029,0.0694,1.7873,0.3780,0.1188
11,42.407,1.8297,0.0000,0.9250,0.4807,0.0563,1.5521,0.5078,0.1188
12,43.996,1.5891,0.0000,0.2065,9.2104,0.1533,9.6725,0.5105,0.1178
13,53.739,9.7427,0.0000,0.0249,0.0273,0.0491,0.1997,0.2756,0.1178
14,53.973,0.2343,0.0000,0.0130,13.2617,0.1026,13.4830,0.2763,0.1188
15,67.525,13.5512,0.0000,0.0243,0.0225,0.0403,0.1924,0.2777,0.1167
16,67.749,0.2247,0.0000,0.0112,18.2068,0.1533,18.4897,0.2754,0.1188
17,86.332,18.5825,0.0000,0.0291,1.1732,0.1421,1.4937,0.2753,0.1178
18,88.108,1.7758,0.0000,0.0620,4.6166,0.0978,4.9800,0.2765,0.1188
19,93.170,5.0622,0.0000,0.0238,1.3064,0.2187,1.7013,0.9521,0.1208
20,94.940,1.7703,0.0000,0.0268,6.7005,0.0970,6.9706,0.2744,0.1188
21,101.988,7.0476,0.0000,0.0246,0.0207,0.0410,0.2315,0.9556,0.1198
22,102.254,0.2666,0.0000,0.1182,7.1764,0.1013,7.5101,0.7316,0.1198
