# start_unix_ms 1790235768366
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0001,0.0245,0.0634,0.8302,9.5728,0.0000,0.0000
1,9.661,9.6612,0.0001,0.0181,0.0337,0.3666,0.5296,0.0000,0.0000
2,10.231,0.5695,17.2129,0.1015,0.0783,2.9552,20.5581,0.2807,0.1188
3,30.862,20.6315,3.5747,0.0683,0.0769,1.3070,5.2411,0.2789,0.1198
4,36.171,5.3090,20.3008,0.0528,0.0629,0.5550,21.1360,0.2804,0.1198
5,57.402,21.2304,7.1550,0.0941,0.0459,0.1166,7.6025,0.2808,0.1188
6,65.063,7.6619,12.1595,0.1071,0.0931,0.2264,12.8823,0.2770,0.1188
7,78.017,12.9540,5.1985,0.0357,0.0460,0.1737,5.5767,0.2747,0.1178
8,83.659,5.6415,7.5644,0.0825,0.0892,0.2023,8.2687,0.2746,0.1167
9,91.994,8.3354,5.2192,0.0351,0.0421,0.1283,5.5482,0.2769,0.1188
10,97.601,5.6064,7.6849,0.0688,0.0793,0.1344,8.1588,0.2771,0.1178
11,105.819,8.2181,5.4079,0.0370,0.0633,0.2419,5.8919,0.2771,0.1178
12,111.795,5.9763,6.4204,0.0580,0.0842,0.1874,6.9238,0.2757,0.1178
13,118.834,7.0390,7.3892,0.0765,0.0867,0.2114,8.0226,0.2780,0.1188
14,126.962,8.1282,5.2581,0.0482,0.0560,0.1328,5.6690,0.2780,0.1188
15,132.710,5.7476,7.5806,0.0544,0.0463,0.1122,7.9281,0.2784,0.1167
16,140.709,7.9992,5.5553,0.0421,0.0421,0.1105,5.9094,0.2763,0.1178
17,146.694,5.9847,6.6993,0.0437,0.0502,0.1313,7.1080,0.2765,0.1167
18,153.875,7.1809,5.4735,0.0310,0.0604,0.4330,6.3156,0.2783,0.1178
19,160.260,6.3853,7.4559,0.0457,0.0582,0.1614,7.8543,0.2756,0.1167
20,168.186,7.9263,5.2194,0.0724,0.0689,0.4228,6.0092,0.2764,0.1167
21,174.261,6.0745,7.0894,0.0553,0.0535,0.1519,7.6170,0.2792,0.1167
22,181.942,7.6807,5.7717,0.0540,0.0622,0.1988,6.2514,0.2782,0.1157
23,188.307,6.3650,6.4233,0.0576,0.0548,0.1961,6.9407,0.2771,0.1167
24,195.414,7.1073,7.3704,0.0424,0.0442,0.1071,7.6928,0.2792,0.1188
25,203.170,7.7561,5.7657,0.1115,0.0709,0.2315,6.3805,0.2768,0.1167
26,209.676,6.5056,4.9826,0.0535,0.1290,0.5430,5.9367,0.2753,0.1178
27,215.706,6.0303,5.9809,0.0493,0.1015,0.5627,6.8618,0.2786,0.1178
28,222.637,6.9312,7.0484,0.0585,0.0543,0.1633,7.4931,0.2771,0.1178
29,230.223,7.5862,5.4823,0.0827,0.0549,0.2104,6.0084,0.2769,0.1167
30,236.350,6.1264,7.2984,0.0683,0.0528,0.1187,7.7865,0.2788,0.1167
31,244.238,7.8885,6.4814,0.0428,0.0502,0.1172,6.8164,0.2769,0.1188
32,251.149,6.9112,5.5644,0.0530,0.0790,0.3056,6.1731,0.2776,0.1167
33,257.407,6.2580,7.3604,0.0374,0.0499,0.1112,7.6772,0.2778,0.1178
34,265.152,7.7443,5.2024,0.0452,0.0550,0.6035,6.0156,0.2798,0.1188
35,271.237,6.0854,7.5134,0.0529,0.0507,0.1173,7.8993,0.2762,0.1167
36,279.207,7.9703,5.5454,0.0413,0.0617,0.1357,5.9879,0.2796,0.1167
37,285.286,6.0782,7.5125,0.0522,0.0502,0.1134,7.8683,0.2794,0.1167
38,293.218,7.9325,5.5500,0.0416,0.0486,0.1258,5.9265,0.2778,0.1167
39,299.217,5.9993,7.5379,0.0377,0.0487,0.1170,7.8589,0.2777,0.1167
40,307.140,7.9222,5.6041,0.0904,0.0939,0.2085,6.2179,0.2780,0.1167
41,313.453,6.3131,7.3743,0.0396,0.0498,0.1152,7.7361,0.2730,0.1167
42,321.260,7.8071,5.4928,0.0440,0.0474,0.1477,5.8802,0.2716,0.1178
43,327.383,6.1229,5.3821,0.0715,0.0857,0.3317,6.0059,0.2734,0.1167
44,333.465,6.0819,7.3360,0.0522,0.0543,0.1575,7.7732,0.2752,0.1167
45,341.359,7.8941,9.0250,0.0809,0.0596,0.1398,9.4911,0.2766,0.1167
46,350.931,9.5727,4.7433,0.0712,0.1413,0.1845,5.3982,0.2755,0.1167
47,356.508,5.5770,5.1732,0.0856,0.0673,0.1365,5.6747,0.2752,0.1167
48,362.259,5.7502,5.4477,0.0943,0.1181,0.4904,6.4747,0.2739,0.1178
49,368.907,6.6488,5.7020,0.0514,0.1406,0.2656,6.4624,0.2744,0.1167
50,375.487,6.5798,7.1687,0.0828,0.0611,0.1269,7.6449,0.2784,0.1188
51,383.205,7.7182,5.4202,0.1209,0.1050,0.2583,6.1535,0.2791,0.1178
52,389.472,6.2670,7.1201,0.0621,0.0642,0.1972,7.6810,0.2751,0.1178
53,397.290,7.8176,5.3488,0.0886,0.0893,0.2548,6.0410,0.2767,0.1188
54,403.440,6.1502,6.1495,0.1212,0.1105,0.2019,6.8127,0.2740,0.1178
55,410.366,6.9261,7.2156,0.0608,0.0547,0.1194,7.6618,0.2748,0.1188
56,418.105,7.7391,5.5468,0.0605,0.0542,0.1282,5.9660,0.2766,0.1178
57,424.146,6.0408,7.4799,0.0380,0.0500,0.1130,7.8030,0.2732,0.1178
58,432.015,7.8685,5.6458,0.0685,0.0615,0.2481,6.2023,0.2758,0.1178
59,438.288,6.2735,7.3610,0.0416,0.0488,0.1224,7.7240,0.2748,0.1167
60,446.082,7.7941,6.1152,0.0374,0.0493,0.1207,6.4644,0.2725,0.1167
61,452.655,6.5732,5.3216,0.0922,0.0589,0.4561,6.1314,0.2755,0.1167
62,459.022,6.3663,5.9297,0.0770,0.0985,0.1505,6.4711,0.2723,0.1167
63,465.583,6.5608,6.4684,0.0580,0.2318,0.1572,7.1354,0.2762,0.1198
64,472.796,7.2133,6.2944,0.0608,0.0715,0.1899,6.8833,0.2797,0.1188
65,479.919,7.1234,7.1433,0.0780,0.0522,0.1197,7.5375,0.2757,0.1178
