# start_unix_ms 1790235583623
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0006,0.0687,0.1480,1.1682,11.7885,0.0000,0.0000
1,11.877,11.8772,0.0000,0.0226,0.0383,0.5543,0.7632,0.0000,0.0000
2,12.722,0.8451,17.0440,0.1645,0.1751,2.8011,20.5452,0.2518,0.1096
3,33.349,20.6265,3.4293,0.0430,0.0510,1.8496,5.5215,0.2420,0.1106
4,38.948,5.5989,13.1477,0.1442,0.1279,0.7364,14.4728,0.2527,0.1147
5,53.492,14.5442,12.8313,0.0395,0.0481,0.1154,13.1871,0.2435,0.1085
6,66.748,13.2560,20.1293,0.1291,0.0549,0.1464,20.6743,0.2485,0.1085
7,87.490,20.7419,5.4657,0.0479,0.0525,0.4643,6.1934,0.2403,0.1075
8,93.755,6.2648,7.4517,0.0442,0.0508,0.1262,7.8307,0.2441,0.1075
9,101.644,7.8891,5.5695,0.0384,0.0498,0.1776,5.9754,0.2400,0.1085
10,107.729,6.0853,7.4845,0.0452,0.0718,0.1534,7.8984,0.2393,0.1065
11,115.708,7.9794,5.5460,0.0447,0.1279,0.6005,6.5968,0.2415,0.1075
12,122.370,6.6611,5.9024,0.0595,0.0696,0.6131,6.8067,0.2412,0.1075
13,129.276,6.9066,5.9737,0.1313,0.1055,0.4124,6.8832,0.2444,0.1075
14,136.251,6.9752,6.0254,0.0350,0.0426,0.1391,6.3828,0.2414,0.1075
15,142.713,6.4617,7.1338,0.0802,0.0431,0.1079,7.5246,0.2467,0.1096
16,150.298,7.5854,6.5981,0.0452,0.0450,0.1157,6.9540,0.2415,0.1075
17,157.323,7.0243,5.3979,0.0473,0.0464,0.1301,5.8024,0.2416,0.1075
18,163.374,6.0517,7.4083,0.0428,0.0394,0.1115,7.7434,0.2431,0.1085
19,171.178,7.8037,7.5394,0.0320,0.0420,0.1399,7.8813,0.2401,0.1075
20,179.126,7.9478,5.5935,0.0401,0.0439,0.1162,5.9401,0.2405,0.1075
21,185.139,6.0132,5.5865,0.0374,0.0547,0.1181,5.9729,0.2418,0.1075
22,191.174,6.0351,5.6017,0.0986,0.0547,0.1657,6.1551,0.2417,0.1085
23,197.402,6.2282,7.3229,0.0349,0.0480,0.1244,7.6589,0.2429,0.1075
24,205.129,7.7270,7.5932,0.0516,0.0476,0.1177,7.9512,0.2425,0.1085
25,213.154,8.0246,5.5699,0.0418,0.0514,0.1154,5.9319,0.2435,0.1085
