# start_unix_ms 1790235912046
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0222,0.0697,0.7671,9.7525,0.0000,0.0000
1,9.851,9.8515,0.0000,0.0178,0.0326,0.2998,0.4584,0.0000,0.0000
2,10.349,0.4972,0.0000,0.0191,0.0190,0.1057,0.2255,0.2818,0.1178
3,10.606,0.2568,0.0000,0.0141,1.4252,0.0482,1.5592,0.2782,0.1219
4,12.193,1.5879,0.0000,0.0108,11.5918,0.1975,11.9024,0.2780,0.1208
5,24.199,12.0058,0.0000,0.1258,2.8809,0.1396,3.2814,0.5079,0.1178
6,27.609,3.4101,0.0000,0.0551,1.1911,0.2634,1.7632,0.2729,0.1300
7,29.449,1.8401,0.0000,0.0258,5.0271,0.0999,5.3285,0.2750,0.1219
8,34.853,5.4033,0.0000,0.0245,0.0314,0.1194,0.3233,0.2775,0.1229
9,35.225,0.3728,0.0000,0.1445,0.1784,0.0632,0.4879,0.2759,0.1229
10,35.758,0.5327,0.0000,1.1658,0.5033,0.0629,1.8481,0.3784,0.1188
11,37.645,1.8867,0.0000,0.2441,1.1775,0.0376,1.5347,0.5073,0.1188
12,39.210,1.5650,0.0000,0.2544,10.6088,0.1507,11.1207,0.2769,0.3492
13,50.398,11.1881,0.0000,0.0251,0.0290,0.0447,0.2098,0.2750,0.1167
14,50.644,0.2460,0.0000,0.0126,13.3749,0.1210,13.6152,0.2757,0.1188
15,64.361,13.7168,0.0000,0.0262,0.0256,0.0422,0.2007,0.2772,0.1178
16,64.592,0.2309,0.0000,0.0116,18.3640,0.0990,18.6270,0.2769,0.1178
17,83.303,18.7116,0.0000,0.0265,1.1375,0.0545,1.3572,0.2749,0.1157
18,84.712,1.4085,0.0000,0.0201,5.2013,0.2283,5.5752,0.2760,0.1188
19,90.380,5.6679,0.0000,0.0366,1.1433,0.1880,1.6239,0.5747,0.1188
20,92.090,1.7099,0.0000,0.0703,4.5196,0.1066,4.8824,0.2784,0.1188
21,97.056,4.9668,0.0000,0.0243,1.2010,0.0983,1.5094,0.7479,0.1188
22,98.624,1.5677,0.0000,0.0440,5.0754,0.0992,5.4187,0.2767,0.1178
23,104.105,5.4811,0.0000,0.0220,1.2564,0.1074,1.5075,0.9506,0.1198
24,105.673,1.5675,0.0000,0.0205,4.9289,0.1443,5.2597,0.7353,0.1188
25,110.986,5.3128,0.0000,0.0277,1.2010,0.0797,1.4604,0.9509,0.1198
26,112.516,1.5304,0.0000,0.0194,5.0663,0.1685,5.3842,0.7520,0.1188
27,117.962,5.4456,0.0000,0.0227,1.1568,0.1093,1.4631,0.9510,0.1198
28,119.484,1.5227,0.0000,0.0253,5.1158,0.1545,5.5133,0.7514,0.1188
29,125.082,5.5979,0.0000,0.0720,1.1036,0.0901,1.4000,0.9506,0.1198
30,126.605,1.5230,0.0000,0.0317,4.7005,0.2440,5.1069,0.7516,0.1188
31,131.858,5.2532,0.0000,0.0259,1.0376,0.0685,1.2580,0.9512,0.1188
32,133.171,1.3126,0.0000,0.0160,5.2933,0.1378,5.5910,0.7465,0.1178
33,138.847,5.6758,0.0000,0.0267,1.0449,0.1069,1.4172,0.2757,0.1198
34,140.322,1.4758,0.0000,0.0220,5.1518,0.1654,5.4953,0.7481,0.1198
35,145.935,5.6124,0.0000,0.0299,0.9722,0.0750,1.2410,0.5730,0.1188
36,147.220,1.2850,0.0000,0.0149,5.1480,0.2441,5.5475,0.2769,0.1198
37,152.951,5.7311,0.0000,0.0355,0.9543,0.0729,1.2231,0.3848,0.1188
38,154.252,1.3015,0.0000,0.0306,4.9838,0.1360,5.2905,0.2752,0.1178
39,159.605,5.3523,0.0000,0.0246,1.1899,0.0901,1.4327,0.2791,0.1188
40,161.164,1.5591,0.0000,0.0312,4.9730,0.2219,5.3567,0.7494,0.1188
41,166.608,5.4445,0.0000,0.0391,1.0642,0.0661,1.3475,0.5745,0.1188
42,168.008,1.4000,0.0000,0.0207,5.1219,0.1997,5.5231,0.2723,0.1188
43,173.591,5.5830,0.0000,0.0215,1.1366,0.0729,1.3551,0.5711,0.1188
44,174.994,1.4028,0.0000,0.0170,5.0152,0.1687,5.3116,0.2749,0.1198
45,180.364,5.3701,0.0000,0.0221,1.2174,0.1125,1.4722,0.5836,0.1188
46,181.889,1.5250,0.0000,0.0209,5.1865,0.1303,5.5147,0.2742,0.1178
47,187.490,5.6007,0.0000,0.0280,1.0178,0.0736,1.3638,0.9519,0.1198
48,188.913,1.4227,0.0000,0.0215,6.0814,0.1059,6.3693,0.7500,0.1198
49,195.356,6.4436,0.0000,0.0267,1.0520,0.0804,1.3329,0.3819,0.1188
50,196.737,1.3807,0.0000,0.0173,4.1994,0.1002,4.4472,0.2754,0.1198
51,201.301,4.5636,0.0000,0.0550,1.0740,0.0950,1.3887,0.5714,0.1188
52,202.756,1.4553,0.0000,0.0158,4.9770,0.1085,5.2248,0.2746,0.1198
53,208.100,5.3436,0.0000,0.0253,1.1856,0.0914,1.4288,0.5793,0.1188
54,209.591,1.4919,0.0000,0.0161,5.1986,0.2197,5.5704,0.2747,0.1178
55,215.263,5.6719,0.0000,0.0256,0.9925,0.0625,1.3025,0.9477,0.1208
56,216.624,1.3607,0.0000,0.0150,5.0972,0.1115,5.3226,0.7456,0.1188
57,222.059,5.4352,0.0000,0.0264,1.1727,0.1079,1.4531,0.2744,0.1188
58,223.567,1.5079,0.0000,0.0217,5.0760,0.1035,5.3920,0.7463,0.1198
59,229.081,5.5134,0.0000,0.0448,1.0811,0.0691,1.3908,0.9505,0.1198
60,230.526,1.4454,0.0000,0.0207,5.0953,0.2390,5.5166,0.7446,0.1188
61,236.176,5.6503,0.0000,0.0336,1.0075,0.0940,1.3479,0.9493,0.1198
62,237.587,1.4105,0.0000,0.0205,4.8383,0.1305,5.1010,0.7459,0.1188
63,242.776,5.1892,0.0000,0.0655,1.0747,0.1037,1.5261,0.2767,0.1198
64,244.412,1.6357,0.0000,0.0476,5.1124,0.4446,5.7378,0.7182,0.1188
65,250.239,5.8278,0.0000,0.0296,1.0746,0.0653,1.3076,0.9246,0.1188
66,251.596,1.3564,0.0000,0.0171,4.6761,0.2164,5.0595,0.7438,0.1188
67,256.737,5.1416,0.0000,0.1485,1.0433,0.0755,1.4259,0.6030,0.1188
68,258.515,1.7780,0.0000,0.0319,4.7513,0.0937,5.0444,0.2730,0.1188
69,263.707,5.1915,0.0000,0.0596,1.1001,0.0861,1.4249,0.9472,0.1208
70,265.206,1.4988,0.0000,0.0187,5.0801,0.1655,5.4138,0.2730,0.1198
71,270.699,5.4929,0.0000,0.0285,1.2016,0.0811,1.4390,0.9472,0.1198
