timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:47:41.097, P0, 1740 MHz, 6101 MHz, 28 %, 71, 23.30 W, 0x0000000000000001
2026/09/24 09:47:41.361, P0, 1740 MHz, 6101 MHz, 28 %, 71, 23.22 W, 0x0000000000000001
2026/09/24 09:47:41.626, P0, 1740 MHz, 6101 MHz, 28 %, 71, 23.22 W, 0x0000000000000001
2026/09/24 09:47:41.890, P0, 1740 MHz, 6101 MHz, 27 %, 71, 22.78 W, 0x0000000000000001
2026/09/24 09:47:42.155, P0, 1740 MHz, 6101 MHz, 27 %, 71, 22.78 W, 0x0000000000000001
2026/09/24 09:47:42.420, P0, 1740 MHz, 6101 MHz, 26 %, 71, 22.71 W, 0x0000000000000001
2026/09/24 09:47:42.683, P0, 1740 MHz, 6101 MHz, 26 %, 71, 22.71 W, 0x0000000000000001
2026/09/24 09:47:42.934, P0, 1740 MHz, 6101 MHz, 26 %, 71, 22.77 W, 0x0000000000000001
2026/09/24 09:47:43.200, P0, 1740 MHz, 6101 MHz, 26 %, 71, 22.77 W, 0x0000000000000001
2026/09/24 09:47:43.464, P0, 1740 MHz, 6101 MHz, 26 %, 71, 22.73 W, 0x0000000000000001
2026/09/24 09:47:43.726, P0, 1740 MHz, 6101 MHz, 26 %, 71, 22.73 W, 0x0000000000000001
2026/09/24 09:47:43.988, P0, 1740 MHz, 6101 MHz, 24 %, 71, 22.66 W, 0x0000000000000001
2026/09/24 09:47:44.253, P0, 1740 MHz, 6101 MHz, 28 %, 71, 23.49 W, 0x0000000000000001
2026/09/24 09:47:44.515, P0, 1740 MHz, 6101 MHz, 28 %, 71, 23.49 W, 0x0000000000000001
2026/09/24 09:47:44.778, P0, 1740 MHz, 6101 MHz, 27 %, 71, 23.27 W, 0x0000000000000001
2026/09/24 09:47:45.043, P0, 1740 MHz, 6101 MHz, 27 %, 71, 23.27 W, 0x0000000000000001
2026/09/24 09:47:45.307, P0, 1740 MHz, 6101 MHz, 24 %, 71, 22.76 W, 0x0000000000000001
2026/09/24 09:47:45.572, P0, 1740 MHz, 6101 MHz, 24 %, 71, 22.76 W, 0x0000000000000001
2026/09/24 09:47:45.837, P0, 1740 MHz, 6101 MHz, 25 %, 71, 22.59 W, 0x0000000000000001
2026/09/24 09:47:46.100, P0, 1740 MHz, 6101 MHz, 25 %, 71, 22.59 W, 0x0000000000000001
2026/09/24 09:47:46.365, P0, 1740 MHz, 6101 MHz, 26 %, 71, 20.27 W, 0x0000000000000001
2026/09/24 09:47:46.629, P0, 1740 MHz, 6101 MHz, 26 %, 71, 20.27 W, 0x0000000000000001
2026/09/24 09:47:46.895, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.23 W, 0x0000000000000001
2026/09/24 09:47:47.160, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.23 W, 0x0000000000000001
2026/09/24 09:47:47.425, P0, 1740 MHz, 6101 MHz, 28 %, 72, 24.00 W, 0x0000000000000001
2026/09/24 09:47:47.689, P0, 1740 MHz, 6101 MHz, 28 %, 72, 24.00 W, 0x0000000000000001
2026/09/24 09:47:47.953, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.23 W, 0x0000000000000001
2026/09/24 09:47:48.214, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.23 W, 0x0000000000000001
2026/09/24 09:47:48.479, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.57 W, 0x0000000000000001
2026/09/24 09:47:48.743, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.35 W, 0x0000000000000001
2026/09/24 09:47:49.009, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.35 W, 0x0000000000000001
2026/09/24 09:47:49.261, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.47 W, 0x0000000000000001
2026/09/24 09:47:49.513, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.47 W, 0x0000000000000001
2026/09/24 09:47:49.777, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.75 W, 0x0000000000000001
2026/09/24 09:47:50.042, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.75 W, 0x0000000000000001
2026/09/24 09:47:50.304, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.40 W, 0x0000000000000001
2026/09/24 09:47:50.569, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.40 W, 0x0000000000000001
2026/09/24 09:47:50.820, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.22 W, 0x0000000000000001
2026/09/24 09:47:51.083, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.22 W, 0x0000000000000001
2026/09/24 09:47:51.349, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.13 W, 0x0000000000000001
2026/09/24 09:47:51.614, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.13 W, 0x0000000000000001
2026/09/24 09:47:51.877, P0, 1740 MHz, 6101 MHz, 26 %, 72, 22.99 W, 0x0000000000000001
2026/09/24 09:47:52.141, P0, 1740 MHz, 6101 MHz, 26 %, 72, 22.99 W, 0x0000000000000001
2026/09/24 09:47:52.405, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.21 W, 0x0000000000000001
2026/09/24 09:47:52.669, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.21 W, 0x0000000000000001
2026/09/24 09:47:52.934, P0, 1740 MHz, 6101 MHz, 24 %, 72, 23.02 W, 0x0000000000000001
