# start_unix_ms 1790235731480
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0187,0.0593,0.7479,9.6620,0.0000,0.0000
1,9.746,9.7460,0.0000,0.0180,0.0417,0.3451,0.5208,0.0000,0.0000
2,10.306,0.5602,0.0000,0.0232,0.0189,0.0953,0.2306,0.2794,0.1188
3,10.594,0.2877,0.0000,0.0146,0.6655,0.0464,0.7999,0.2782,0.1208
4,11.418,0.8242,0.0000,0.1556,10.9403,0.0928,11.2832,0.6223,0.1188
5,22.769,11.3505,0.0000,0.0199,3.2590,0.0967,3.5021,0.2726,0.1178
6,26.539,3.7706,0.0000,0.0309,1.3738,0.1355,1.6615,0.2805,0.1311
7,28.260,1.7206,0.0000,0.0185,3.7729,0.0855,4.0117,0.2759,0.1229
8,32.323,4.0634,0.0000,0.0246,0.6768,0.2555,1.0947,0.8369,0.1249
9,33.469,1.1462,0.0000,0.0232,0.1547,0.0702,0.3613,0.2751,0.1219
10,33.899,0.4301,0.0000,0.6159,1.7979,0.0759,2.6569,0.3867,0.1188
11,36.611,2.7120,0.0000,0.0554,0.0589,0.0451,0.2506,0.2794,0.1178
12,36.928,0.3168,0.0000,0.0909,8.1438,0.1223,8.4913,0.6980,0.1188
13,45.509,8.5806,0.0000,0.0558,2.2244,0.1119,2.8869,0.2752,0.1178
14,48.445,2.9363,0.0000,0.0168,4.4593,0.0725,4.6488,0.2757,0.1198
15,53.146,4.7011,0.0000,0.0198,6.9326,0.0714,7.1297,0.2762,0.1208
16,60.330,7.1838,0.0000,0.0211,18.7764,0.1253,19.0627,0.2765,0.1188
17,79.502,19.1723,0.0000,0.0269,1.1938,0.0848,1.4491,0.2742,0.1188
18,81.010,1.5081,0.0000,0.0218,5.0591,0.0687,5.2651,0.2745,0.1188
19,86.330,5.3196,0.0000,0.0201,1.3096,0.0795,1.5115,0.3814,0.1188
20,87.875,1.5453,0.0000,0.0134,4.9737,0.0831,5.2056,0.2750,0.1198
21,93.126,5.2507,0.0000,0.0205,1.4054,0.0536,1.5651,0.3817,0.1188
22,94.725,1.5984,0.0000,0.0129,5.0659,0.0819,5.2401,0.2766,0.1188
23,100.008,5.2832,0.0000,0.0180,1.3678,0.0554,1.5192,0.9516,0.1198
24,101.559,1.5517,0.0000,0.0122,5.1585,0.0830,5.3439,0.7534,0.1178
25,106.949,5.3896,0.0000,0.0180,1.3626,0.0483,1.5117,0.9467,0.1198
26,108.490,1.5414,0.0000,0.0127,5.3111,0.1114,5.5172,0.7523,0.1188
27,114.049,5.5586,0.0000,0.0175,1.2914,0.0558,1.4503,0.9581,0.1198
28,115.563,1.5143,0.0000,0.0137,5.1365,0.0836,5.3408,0.7539,0.1178
29,121.005,5.4416,0.0000,0.0271,1.1878,0.0596,1.4040,0.9505,0.1198
30,122.474,1.4693,0.0000,0.0159,4.9790,0.0912,5.1907,0.7493,0.1188
31,127.709,5.2346,0.0000,0.0191,1.3704,0.0758,1.5938,0.9529,0.1198
32,129.344,1.6351,0.0000,0.0161,5.1477,0.0856,5.3440,0.7476,0.1188
33,134.737,5.3926,0.0000,0.0178,1.2699,0.0568,1.5177,0.9522,0.1188
34,136.296,1.5598,0.0000,0.0174,5.1219,0.0984,5.3618,0.7464,0.1188
35,141.716,5.4195,0.0000,0.0210,1.2698,0.0678,1.4759,0.9532,0.1208
36,143.248,1.5325,0.0000,0.0190,5.0372,0.0785,5.2416,0.7484,0.1188
37,148.534,5.2856,0.0000,0.0178,1.3270,0.0719,1.5307,0.9539,0.1208
38,150.106,1.5717,0.0000,0.0154,5.1602,0.1044,5.3867,0.7491,0.1188
39,155.569,5.4629,0.0000,0.0474,1.2243,0.0704,1.4778,0.9532,0.1198
40,157.095,1.5267,0.0000,0.0153,5.1417,0.0863,5.3371,0.7477,0.1188
41,162.477,5.3819,0.0000,0.0221,1.2542,0.0518,1.4586,0.9451,0.1198
42,163.996,1.5188,0.0000,0.0147,5.1558,0.0660,5.3415,0.7501,0.1178
43,169.379,5.3828,0.0000,0.0191,0.5662,0.0400,0.7153,0.9501,0.1198
44,170.123,0.7441,0.0000,0.0119,6.1190,0.1006,6.3163,0.7452,0.1188
45,176.482,6.3595,0.0000,0.0151,1.3249,0.0925,1.5214,0.8571,0.1188
46,178.047,1.5650,0.0000,0.0178,5.1213,0.0643,5.2969,0.7360,0.1188
47,183.467,5.4194,0.0000,0.0247,1.2171,0.0565,1.3929,0.9688,0.1198
48,184.926,1.4589,0.0000,0.0185,5.1047,0.0664,5.2867,0.7441,0.1178
49,190.296,5.3707,0.0000,0.0193,1.3211,0.0555,1.4856,0.9527,0.1208
50,191.824,1.5274,0.0000,0.0162,5.1810,0.0742,5.3858,0.7460,0.1188
51,197.252,5.4285,0.0000,0.0273,1.3189,0.0535,1.4866,0.9500,0.1198
52,198.772,1.5197,0.0000,0.0126,5.3400,0.0867,5.5501,0.7499,0.1188
53,204.367,5.5953,0.0000,0.0174,1.3846,0.0666,1.5611,0.9500,0.1198
54,205.967,1.6002,0.0000,0.0160,5.0124,0.1987,5.3533,0.7482,0.1198
55,211.391,5.4237,0.0000,0.0614,1.1295,0.0584,1.3637,0.5663,0.1188
56,212.875,1.4844,0.0000,0.0192,4.8801,0.0941,5.1033,0.2742,0.1188
57,218.026,5.1501,0.0000,0.0188,1.3438,0.0708,1.5352,0.9471,0.1198
