# start_unix_ms 1790236120284
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
67,257.531,1.6885,0.0000,0.0246,4.7939,0.2436,5.2126,0.7431,0.1188
68,262.914,5.3831,0.0000,0.0766,0.9987,0.0859,1.3751,0.9580,0.1198
69,264.372,1.4583,0.0000,0.0305,4.8495,0.1502,5.1604,0.7459,0.1188
70,269.695,5.3234,0.0000,0.0418,1.0723,0.1274,1.4528,0.2732,0.1198
71,271.267,1.5710,0.0000,0.0226,4.8956,0.2474,5.4192,0.7457,0.1178
72,276.808,5.5417,0.0000,0.0382,1.0398,0.0932,1.3574,0.9498,0.1198
73,278.227,1.4185,0.0000,0.0186,5.0818,0.1007,5.3932,0.7465,0.1188
74,283.698,5.4717,0.0000,0.0320,1.2358,0.0789,1.5542,0.2752,0.1198
75,285.317,1.6184,0.0000,0.0264,4.9514,0.1171,5.2117,0.7429,0.1188
76,290.623,5.3065,0.0000,0.1110,1.1142,0.1194,1.5840,0.3802,0.1188
77,292.277,1.6534,0.0000,0.0205,4.8464,0.1987,5.1832,0.2734,0.1198
78,297.680,5.4033,0.0000,0.0416,1.0256,0.0858,1.3281,0.2724,0.1188
79,299.071,1.3911,0.0000,0.0150,4.8588,0.1785,5.1864,0.7451,0.1188
80,304.407,5.3356,0.0000,0.0293,1.0930,0.1391,1.4656,0.2723,0.1198
81,305.957,1.5498,0.0000,0.0244,5.1181,0.1735,5.5800,0.7184,0.1188
82,311.652,5.6957,0.0000,0.0293,1.0938,0.1026,1.3527,0.9211,0.1198
83,313.059,1.4066,0.0000,0.0196,4.8271,0.1106,5.0732,0.7513,0.1198
84,318.196,5.1371,0.0000,0.0219,1.1824,0.0844,1.5140,0.5854,0.1198
85,319.796,1.5996,0.0000,0.0268,5.1478,0.3095,5.6351,0.2719,0.1198
86,325.610,5.8147,0.0000,0.0810,0.7806,0.1107,1.2025,0.9449,0.1208
87,326.871,1.2612,0.0000,0.0180,6.6979,0.1190,7.0527,0.7155,0.1188
88,334.153,7.2818,0.0000,0.0441,0.8438,0.0656,1.1289,0.2725,0.1198
