timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:44:04.184, P0, 1740 MHz, 6101 MHz, 24 %, 75, 24.61 W, 0x0000000000000001
2026/09/24 09:44:04.434, P0, 1740 MHz, 6101 MHz, 24 %, 75, 24.61 W, 0x0000000000000001
2026/09/24 09:44:04.697, P0, 1740 MHz, 6101 MHz, 25 %, 75, 24.31 W, 0x0000000000000001
2026/09/24 09:44:04.960, P0, 1740 MHz, 6101 MHz, 25 %, 75, 24.31 W, 0x0000000000000001
2026/09/24 09:44:05.223, P0, 1740 MHz, 6101 MHz, 24 %, 75, 24.11 W, 0x0000000000000001
2026/09/24 09:44:05.474, P0, 1740 MHz, 6101 MHz, 24 %, 75, 24.11 W, 0x0000000000000001
2026/09/24 09:44:05.738, P0, 1740 MHz, 6101 MHz, 23 %, 75, 24.70 W, 0x0000000000000001
2026/09/24 09:44:05.999, P0, 1740 MHz, 6101 MHz, 23 %, 75, 24.70 W, 0x0000000000000001
2026/09/24 09:44:06.262, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.69 W, 0x0000000000000001
2026/09/24 09:44:06.515, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.69 W, 0x0000000000000001
2026/09/24 09:44:06.777, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.67 W, 0x0000000000000001
2026/09/24 09:44:07.039, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.67 W, 0x0000000000000001
2026/09/24 09:44:07.290, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.81 W, 0x0000000000000001
2026/09/24 09:44:07.555, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.81 W, 0x0000000000000001
2026/09/24 09:44:07.817, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.89 W, 0x0000000000000001
2026/09/24 09:44:08.080, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.89 W, 0x0000000000000001
2026/09/24 09:44:08.341, P0, 1740 MHz, 6101 MHz, 25 %, 75, 24.33 W, 0x0000000000000001
2026/09/24 09:44:08.605, P0, 1740 MHz, 6101 MHz, 25 %, 75, 24.33 W, 0x0000000000000001
2026/09/24 09:44:08.871, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.16 W, 0x0000000000000001
2026/09/24 09:44:09.134, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.75 W, 0x0000000000000001
2026/09/24 09:44:09.397, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.75 W, 0x0000000000000001
2026/09/24 09:44:09.663, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.46 W, 0x0000000000000001
2026/09/24 09:44:09.914, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.46 W, 0x0000000000000001
2026/09/24 09:44:10.179, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.61 W, 0x0000000000000001
2026/09/24 09:44:10.444, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.61 W, 0x0000000000000001
2026/09/24 09:44:10.706, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.93 W, 0x0000000000000001
2026/09/24 09:44:10.970, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.93 W, 0x0000000000000001
2026/09/24 09:44:11.233, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.15 W, 0x0000000000000001
2026/09/24 09:44:11.495, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.15 W, 0x0000000000000001
2026/09/24 09:44:11.760, P0, 1740 MHz, 6101 MHz, 24 %, 75, 23.59 W, 0x0000000000000001
2026/09/24 09:44:12.025, P0, 1740 MHz, 6101 MHz, 24 %, 75, 23.59 W, 0x0000000000000001
2026/09/24 09:44:12.276, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.95 W, 0x0000000000000001
2026/09/24 09:44:12.527, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.95 W, 0x0000000000000001
2026/09/24 09:44:12.791, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.78 W, 0x0000000000000001
2026/09/24 09:44:13.042, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.78 W, 0x0000000000000001
2026/09/24 09:44:13.305, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.30 W, 0x0000000000000001
2026/09/24 09:44:13.570, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.30 W, 0x0000000000000001
2026/09/24 09:44:13.834, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.14 W, 0x0000000000000001
2026/09/24 09:44:14.097, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.14 W, 0x0000000000000001
2026/09/24 09:44:14.362, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.05 W, 0x0000000000000001
2026/09/24 09:44:14.627, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.85 W, 0x0000000000000001
2026/09/24 09:44:14.891, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.85 W, 0x0000000000000001
2026/09/24 09:44:15.155, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.67 W, 0x0000000000000001
2026/09/24 09:44:15.416, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.67 W, 0x0000000000000001
2026/09/24 09:44:15.681, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.73 W, 0x0000000000000001
2026/09/24 09:44:15.932, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.73 W, 0x0000000000000001
2026/09/24 09:44:16.192, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.72 W, 0x0000000000000001
2026/09/24 09:44:16.453, P0, 1740 MHz, 6101 MHz, 25 %, 75, 23.72 W, 0x0000000000000001
2026/09/24 09:44:16.718, P0, 1740 MHz, 6101 MHz, 28 %, 75, 23.67 W, 0x0000000000000001
2026/09/24 09:44:16.981, P0, 1740 MHz, 6101 MHz, 28 %, 75, 23.67 W, 0x0000000000000001
2026/09/24 09:44:17.247, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.27 W, 0x0000000000000001
2026/09/24 09:44:17.512, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.27 W, 0x0000000000000001
2026/09/24 09:44:17.776, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.25 W, 0x0000000000000001
2026/09/24 09:44:18.042, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.25 W, 0x0000000000000001
2026/09/24 09:44:18.306, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.75 W, 0x0000000000000001
2026/09/24 09:44:18.570, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.75 W, 0x0000000000000001
2026/09/24 09:44:18.821, P0, 1740 MHz, 6101 MHz, 27 %, 74, 23.47 W, 0x0000000000000001
2026/09/24 09:44:19.085, P0, 1740 MHz, 6101 MHz, 27 %, 74, 23.47 W, 0x0000000000000001
2026/09/24 09:44:19.336, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.64 W, 0x0000000000000001
2026/09/24 09:44:19.599, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.64 W, 0x0000000000000001
2026/09/24 09:44:19.865, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.05 W, 0x0000000000000001
2026/09/24 09:44:20.116, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.05 W, 0x0000000000000001
2026/09/24 09:44:20.379, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.18 W, 0x0000000000000001
2026/09/24 09:44:20.643, P0, 1740 MHz, 6101 MHz, 25 %, 75, 22.49 W, 0x0000000000000001
2026/09/24 09:44:20.907, P0, 1740 MHz, 6101 MHz, 25 %, 75, 22.49 W, 0x0000000000000001
2026/09/24 09:44:21.172, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.05 W, 0x0000000000000001
2026/09/24 09:44:21.438, P0, 1740 MHz, 6101 MHz, 26 %, 75, 24.05 W, 0x0000000000000001
2026/09/24 09:44:21.703, P0, 1740 MHz, 6101 MHz, 27 %, 74, 24.01 W, 0x0000000000000001
2026/09/24 09:44:21.955, P0, 1740 MHz, 6101 MHz, 27 %, 74, 24.01 W, 0x0000000000000001
2026/09/24 09:44:22.219, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.90 W, 0x0000000000000001
2026/09/24 09:44:22.484, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.90 W, 0x0000000000000001
2026/09/24 09:44:22.749, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.21 W, 0x0000000000000001
2026/09/24 09:44:23.013, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.21 W, 0x0000000000000001
2026/09/24 09:44:23.279, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.11 W, 0x0000000000000001
2026/09/24 09:44:23.543, P0, 1740 MHz, 6101 MHz, 27 %, 75, 24.11 W, 0x0000000000000001
2026/09/24 09:44:23.793, P0, 1740 MHz, 6101 MHz, 24 %, 74, 23.80 W, 0x0000000000000001
2026/09/24 09:44:24.058, P0, 1740 MHz, 6101 MHz, 24 %, 74, 23.80 W, 0x0000000000000001
2026/09/24 09:44:24.310, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.74 W, 0x0000000000000001
2026/09/24 09:44:24.575, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.74 W, 0x0000000000000001
2026/09/24 09:44:24.839, P0, 1740 MHz, 6101 MHz, 27 %, 74, 23.75 W, 0x0000000000000001
2026/09/24 09:44:25.102, P0, 1740 MHz, 6101 MHz, 27 %, 74, 23.75 W, 0x0000000000000001
2026/09/24 09:44:25.366, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.59 W, 0x0000000000000001
2026/09/24 09:44:25.630, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.66 W, 0x0000000000000001
2026/09/24 09:44:25.895, P0, 1740 MHz, 6101 MHz, 27 %, 75, 23.66 W, 0x0000000000000001
2026/09/24 09:44:26.160, P0, 1740 MHz, 6101 MHz, 26 %, 74, 24.44 W, 0x0000000000000001
2026/09/24 09:44:26.424, P0, 1740 MHz, 6101 MHz, 26 %, 74, 24.44 W, 0x0000000000000001
2026/09/24 09:44:26.675, P0, 1740 MHz, 6101 MHz, 27 %, 74, 24.03 W, 0x0000000000000001
2026/09/24 09:44:26.941, P0, 1740 MHz, 6101 MHz, 27 %, 74, 24.03 W, 0x0000000000000001
2026/09/24 09:44:27.204, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.65 W, 0x0000000000000001
2026/09/24 09:44:27.467, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.65 W, 0x0000000000000001
2026/09/24 09:44:27.730, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.39 W, 0x0000000000000001
2026/09/24 09:44:27.995, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.39 W, 0x0000000000000001
2026/09/24 09:44:28.257, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.39 W, 0x0000000000000001
2026/09/24 09:44:28.522, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.39 W, 0x0000000000000001
2026/09/24 09:44:28.787, P0, 1740 MHz, 6101 MHz, 27 %, 74, 23.59 W, 0x0000000000000001
2026/09/24 09:44:29.052, P0, 1740 MHz, 6101 MHz, 27 %, 74, 23.59 W, 0x0000000000000001
2026/09/24 09:44:29.302, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.94 W, 0x0000000000000001
2026/09/24 09:44:29.553, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.94 W, 0x0000000000000001
2026/09/24 09:44:29.818, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.92 W, 0x0000000000000001
2026/09/24 09:44:30.083, P0, 1740 MHz, 6101 MHz, 26 %, 75, 23.92 W, 0x0000000000000001
2026/09/24 09:44:30.346, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.91 W, 0x0000000000000001
2026/09/24 09:44:30.597, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.91 W, 0x0000000000000001
2026/09/24 09:44:30.862, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.93 W, 0x0000000000000001
2026/09/24 09:44:31.126, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.74 W, 0x0000000000000001
2026/09/24 09:44:31.391, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.74 W, 0x0000000000000001
2026/09/24 09:44:31.642, P0, 1740 MHz, 6101 MHz, 26 %, 74, 24.19 W, 0x0000000000000001
2026/09/24 09:44:31.905, P0, 1740 MHz, 6101 MHz, 26 %, 74, 24.19 W, 0x0000000000000001
