# start_unix_ms 1790235052510
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0298,0.0829,1.2409,11.5470,0.0000,0.0000
1,11.683,11.6826,0.0000,0.0203,0.0406,0.3519,0.5742,0.0000,0.0000
2,12.306,0.6236,0.0000,0.0247,0.0247,0.1029,0.2661,0.2813,0.1188
3,12.607,0.3011,0.0000,0.0143,1.3210,0.0556,1.4685,0.2787,0.1178
4,14.106,1.4988,0.0000,0.0120,14.2015,0.1416,14.4684,0.2753,0.1208
5,28.938,14.8321,0.0000,0.0605,3.6404,0.1843,4.2166,0.5062,0.1188
6,33.516,4.5778,0.0000,0.0353,1.1412,0.1891,1.5059,0.2727,0.1280
7,35.083,1.5668,0.0000,0.0266,1.2595,0.1046,1.5538,0.2759,0.1219
8,36.887,1.8041,0.0000,0.0781,5.5139,0.1568,5.9728,0.2795,0.1188
9,43.155,6.2679,0.0000,0.0398,0.0460,0.0780,0.3237,1.0745,0.1198
10,43.534,0.3790,0.0000,0.0204,0.0435,0.1061,0.2925,0.2755,0.1229
11,43.925,0.3911,0.0000,0.8974,1.0752,0.1525,2.3537,0.3811,0.5908
12,46.551,2.6261,0.0000,0.0312,0.3707,0.0594,0.5909,0.9551,0.1188
13,47.189,0.6377,0.0000,0.2414,20.4047,0.1254,20.9354,0.5061,0.1167
14,68.480,21.2909,0.0000,0.0374,0.0458,0.0552,0.2674,0.2771,0.1167
15,68.792,0.3121,0.0000,0.0164,12.9570,0.1131,13.2097,0.2771,0.1188
16,82.390,13.5984,0.0000,0.0339,0.0350,0.0485,0.2534,0.2766,0.1178
17,82.689,0.2985,0.0000,0.0168,17.2017,0.1459,17.5089,0.2756,0.1178
18,100.453,17.7646,0.0000,0.0791,0.8508,0.1307,1.2810,0.2769,0.1167
19,101.818,1.3647,0.0000,0.0282,5.2974,0.2089,5.7360,0.2762,0.1198
20,107.806,5.9885,0.0000,0.0500,0.9604,0.0956,1.3229,0.5766,0.1178
21,109.218,1.4121,0.0000,0.0240,8.3461,0.2016,8.8769,0.2764,0.1188
22,118.278,9.0597,0.0000,0.0787,0.7404,0.1637,1.3175,0.2796,0.1188
