# start_unix_ms 1790235042947
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0002,0.0245,0.0638,0.8642,13.7418,0.0000,0.0000
1,13.849,13.8486,21.2160,0.0549,0.0720,0.3837,21.8995,0.0000,0.0000
2,35.820,21.9716,5.7563,0.0430,0.0580,0.1760,6.2054,0.2804,0.1188
3,42.103,6.2831,22.0342,0.1284,0.1252,0.1835,22.7736,0.2748,0.1188
4,64.953,22.8499,15.1868,0.0694,0.0871,0.1577,15.6621,0.2773,0.1188
5,80.724,15.7708,11.5133,0.0639,0.1179,1.2718,13.1623,0.2765,0.1188
6,94.013,13.2889,4.7240,0.1494,0.2698,1.3552,6.9166,0.2756,0.1167
7,101.856,7.8432,3.8838,0.1075,0.1193,1.3974,5.7488,0.2772,0.1178
8,107.961,6.1047,3.8293,0.0593,0.0806,0.1724,4.3014,0.2755,0.1188
9,112.418,4.4576,7.3207,0.0676,0.0942,0.3727,8.0692,0.2771,0.1178
10,120.746,8.3277,6.0054,0.0630,0.1006,0.2179,6.5884,0.2741,0.1178
11,127.445,6.6986,5.2345,0.1042,0.0811,0.1633,5.8146,0.2765,0.1178
12,133.346,5.9008,5.9238,0.0636,0.0905,0.2057,6.4520,0.2777,0.1219
13,139.976,6.6309,7.2855,0.0577,0.1330,0.5484,8.2118,0.2760,0.1167
14,148.304,8.3276,6.0264,0.0581,0.0774,0.1612,6.4822,0.2757,0.1178
15,155.183,6.8794,6.0568,0.0571,0.0789,0.1657,6.5480,0.2770,0.1167
16,161.829,6.6453,5.4471,0.0549,0.0715,0.1461,5.8745,0.2755,0.1178
17,167.801,5.9725,7.5480,0.0673,0.1783,0.2883,8.3841,0.2755,0.1178
18,176.380,8.5791,4.2978,0.1009,0.0852,0.2146,4.8928,0.2758,0.1167
19,181.413,5.0332,7.1904,0.0533,0.0713,0.1466,7.6465,0.2787,0.1178
20,189.377,7.9634,5.3202,0.0766,0.1060,0.2227,5.9306,0.2774,0.1178
21,195.418,6.0410,9.2646,0.0496,0.0661,0.1389,9.6962,0.2770,0.1178
22,205.190,9.7720,6.5143,0.0492,0.0616,0.1361,6.8926,0.2760,0.1178
23,212.154,6.9643,4.4835,0.0791,0.0635,0.1499,4.9909,0.2760,0.1167
24,217.218,5.0640,6.4756,0.0570,0.0706,0.1651,6.9977,0.2763,0.1178
25,224.291,7.0731,6.3616,0.0597,0.0970,0.1616,6.8325,0.2762,0.1167
26,231.264,6.9724,6.3863,0.0509,0.0668,0.1624,6.8132,0.2788,0.1167
27,238.148,6.8844,5.7351,0.0501,0.0688,0.1339,6.1185,0.2767,0.1178
