# start_unix_ms 1790234974025
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
67,675.622,5.5330,0.0000,0.0983,0.1190,0.1721,0.7162,0.2756,0.1178
68,676.435,0.8135,0.0000,0.0333,0.0310,0.2507,0.4718,0.7491,0.1198
69,677.151,0.7159,0.0000,0.0501,1.3135,0.0606,1.5237,0.2775,0.1167
70,678.738,1.5866,0.0000,0.0147,1.2631,0.0546,1.4155,0.2741,0.7956
71,680.186,1.4484,0.0000,0.0126,1.0647,0.0490,1.2040,0.2712,0.1208
72,681.444,1.2579,0.0000,0.0135,1.2073,0.2337,1.5575,0.2767,0.1198
73,683.207,1.7629,0.0000,0.0317,5.0975,0.0842,5.3497,0.2726,0.1208
74,688.767,5.5605,0.0000,0.0397,0.0678,0.0866,0.4295,0.2728,0.1198
75,689.285,0.5177,0.0000,0.0353,0.6600,0.1357,0.9893,0.2746,0.1188
76,690.349,1.0634,0.0000,0.0561,4.6204,0.1004,4.9625,0.2678,0.1157
77,695.391,5.0428,0.0000,0.0245,0.0329,0.0463,0.2012,0.2670,0.1167
78,695.627,0.2358,0.0000,0.3427,0.8190,0.0889,1.4171,0.7185,0.1188
79,697.105,1.4782,0.0000,0.0185,5.3168,0.1754,5.6328,0.2725,0.1167
80,702.920,5.8141,0.0000,0.1062,0.0744,0.1437,0.6387,0.2674,0.1167
81,703.657,0.7377,0.0000,0.0224,0.4376,0.0844,0.6730,0.7134,0.1188
82,704.374,0.7171,0.0000,0.0149,3.1952,0.0958,3.3986,0.2674,0.1167
83,707.826,3.4514,0.0000,0.0139,0.0154,0.0377,0.1503,0.2681,0.1178
84,708.007,0.1817,0.0000,0.3666,0.9832,0.1255,1.5505,0.2628,0.1178
85,709.609,1.6020,0.0000,0.0258,1.2471,0.1110,1.5064,0.2665,0.1167
86,711.171,1.5621,0.0000,0.0193,0.9867,0.0571,1.1663,0.2691,0.1178
87,712.398,1.2262,0.0000,0.0144,20.6968,0.1027,20.9216,0.2649,0.1157
88,733.392,20.9940,0.0000,0.0225,0.0250,0.0471,0.1991,0.2649,0.1188
89,733.625,0.2333,0.0000,0.0130,13.8663,0.1043,14.0833,0.2654,0.1178
90,747.777,14.1516,0.0000,0.0214,0.0243,0.0416,0.1960,0.2638,0.1167
91,748.009,0.2321,0.0000,0.0108,17.5530,0.0899,17.7434,0.2657,0.1178
92,765.828,17.8191,0.0000,0.0178,1.0840,0.0614,1.2555,0.2655,0.1167
93,767.186,1.3584,0.0000,0.0221,5.1703,0.0761,5.4033,0.2663,0.1178
