# start_unix_ms 1790235050084
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
67,769.583,7.0316,6.4761,0.0498,0.1018,0.7762,7.6124,0.2752,0.1178
68,777.361,7.7777,7.7125,0.0851,0.0616,0.1205,8.2134,0.2748,0.1178
69,785.656,8.2948,3.3422,0.0502,0.0707,0.4877,4.1300,0.2779,0.1178
70,790.273,4.6168,7.8817,0.0410,0.0763,0.1433,8.2876,0.2729,0.1178
71,799.113,8.8406,3.8859,0.0480,0.0639,0.1699,4.3368,0.2789,0.1188
72,803.534,4.4208,8.2378,0.0839,0.0658,0.1829,8.7598,0.2734,0.1167
73,812.512,8.9776,5.2856,0.0400,0.0477,0.1174,5.6290,0.2740,0.1188
74,818.205,5.6928,6.6144,0.0628,0.0547,0.1285,7.0132,0.2716,0.1188
75,825.677,7.4726,6.0873,0.0535,0.0530,0.1306,6.4799,0.2719,0.1178
76,832.436,6.7587,5.3351,0.0817,0.0592,0.2838,6.0085,0.2701,0.1178
77,838.879,6.4436,5.8869,0.0503,0.0623,0.2205,6.3661,0.2717,0.1178
78,845.462,6.5827,7.3541,0.0389,0.0509,0.1258,7.6948,0.2720,0.1188
79,853.432,7.9699,5.3457,0.0812,0.0841,0.2652,6.0162,0.2738,0.1178
80,859.916,6.4839,5.8573,0.0763,0.0872,0.4109,6.6459,0.2705,0.1178
81,866.926,7.0099,5.8405,0.0414,0.0588,0.1258,6.2114,0.2716,0.1188
82,873.382,6.4560,7.0116,0.0462,0.0541,0.1219,7.3599,0.2719,0.1188
83,880.899,7.5174,5.4705,0.0743,0.0720,0.2006,6.0026,0.2736,0.1178
84,887.005,6.1063,7.3533,0.0439,0.0531,0.1257,7.7471,0.2701,0.1178
85,895.138,8.1321,5.2745,0.1697,0.0600,0.1722,5.8560,0.2718,0.1198
86,901.074,5.9364,7.2617,0.0493,0.0595,0.1376,7.6781,0.2702,0.1178
87,909.355,8.2809,5.7375,0.1272,0.0560,0.3177,6.5694,0.2737,0.1178
88,916.183,6.8285,5.9599,0.0537,0.0583,0.1684,6.3860,0.2729,0.1188
89,923.200,7.0168,5.9440,0.0415,0.0513,0.1666,6.3330,0.2747,0.1188
90,929.964,6.7640,5.1212,0.0425,0.0593,0.1398,5.5601,0.2703,0.1178
91,935.806,5.8418,7.2857,0.0967,0.1068,0.1467,7.8743,0.2715,0.1178
92,943.752,7.9459,6.3461,0.1037,0.1251,0.1428,6.9855,0.2716,0.1178
93,950.826,7.0736,5.2942,0.0424,0.0574,0.1348,5.6749,0.2703,0.1178
