timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:00:58.413, P0, 1740 MHz, 6101 MHz, 25 %, 65, 21.75 W, 0x0000000000000001
2026/09/24 09:00:58.679, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.09 W, 0x0000000000000001
2026/09/24 09:00:58.930, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.09 W, 0x0000000000000001
2026/09/24 09:00:59.195, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.09 W, 0x0000000000000001
2026/09/24 09:00:59.461, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.09 W, 0x0000000000000001
2026/09/24 09:00:59.724, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.17 W, 0x0000000000000001
2026/09/24 09:00:59.990, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.17 W, 0x0000000000000001
2026/09/24 09:01:00.240, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.38 W, 0x0000000000000001
2026/09/24 09:01:00.503, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.38 W, 0x0000000000000001
2026/09/24 09:01:00.766, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.62 W, 0x0000000000000001
2026/09/24 09:01:01.032, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.62 W, 0x0000000000000001
2026/09/24 09:01:01.284, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.35 W, 0x0000000000000001
2026/09/24 09:01:01.549, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.66 W, 0x0000000000000001
2026/09/24 09:01:01.813, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.66 W, 0x0000000000000001
2026/09/24 09:01:02.077, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.23 W, 0x0000000000000001
2026/09/24 09:01:02.341, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.23 W, 0x0000000000000001
2026/09/24 09:01:02.606, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.50 W, 0x0000000000000001
2026/09/24 09:01:02.870, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.50 W, 0x0000000000000001
2026/09/24 09:01:03.134, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.18 W, 0x0000000000000001
2026/09/24 09:01:03.386, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.18 W, 0x0000000000000001
2026/09/24 09:01:03.651, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.18 W, 0x0000000000000001
2026/09/24 09:01:03.916, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.18 W, 0x0000000000000001
2026/09/24 09:01:04.180, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.29 W, 0x0000000000000001
2026/09/24 09:01:04.446, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.29 W, 0x0000000000000001
2026/09/24 09:01:04.710, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.27 W, 0x0000000000000001
2026/09/24 09:01:04.974, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.27 W, 0x0000000000000001
2026/09/24 09:01:05.239, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.21 W, 0x0000000000000001
2026/09/24 09:01:05.502, P0, 1740 MHz, 6101 MHz, 24 %, 65, 21.21 W, 0x0000000000000001
2026/09/24 09:01:05.765, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.28 W, 0x0000000000000001
2026/09/24 09:01:06.027, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.28 W, 0x0000000000000001
2026/09/24 09:01:06.278, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.28 W, 0x0000000000000001
2026/09/24 09:01:06.543, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.18 W, 0x0000000000000001
2026/09/24 09:01:06.806, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.18 W, 0x0000000000000001
2026/09/24 09:01:07.057, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.15 W, 0x0000000000000001
2026/09/24 09:01:07.322, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.15 W, 0x0000000000000001
2026/09/24 09:01:07.573, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.31 W, 0x0000000000000001
2026/09/24 09:01:07.826, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.31 W, 0x0000000000000001
2026/09/24 09:01:08.090, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.26 W, 0x0000000000000001
2026/09/24 09:01:08.355, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.26 W, 0x0000000000000001
2026/09/24 09:01:08.620, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.25 W, 0x0000000000000001
2026/09/24 09:01:08.885, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.25 W, 0x0000000000000001
2026/09/24 09:01:09.135, P0, 1740 MHz, 6101 MHz, 24 %, 66, 19.35 W, 0x0000000000000001
2026/09/24 09:01:09.402, P0, 1740 MHz, 6101 MHz, 24 %, 66, 19.35 W, 0x0000000000000001
2026/09/24 09:01:09.664, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.21 W, 0x0000000000000001
2026/09/24 09:01:09.917, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.21 W, 0x0000000000000001
2026/09/24 09:01:10.182, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.30 W, 0x0000000000000001
2026/09/24 09:01:10.434, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.30 W, 0x0000000000000001
2026/09/24 09:01:10.697, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.33 W, 0x0000000000000001
2026/09/24 09:01:10.949, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.33 W, 0x0000000000000001
2026/09/24 09:01:11.201, P0, 1740 MHz, 6101 MHz, 22 %, 66, 21.27 W, 0x0000000000000001
2026/09/24 09:01:11.462, P0, 1740 MHz, 6101 MHz, 22 %, 66, 21.27 W, 0x0000000000000001
2026/09/24 09:01:11.727, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.35 W, 0x0000000000000001
2026/09/24 09:01:11.992, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.35 W, 0x0000000000000001
2026/09/24 09:01:12.245, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.44 W, 0x0000000000000001
2026/09/24 09:01:12.510, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.44 W, 0x0000000000000001
