# start_unix_ms 1790234886724
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0001,0.0227,0.0620,0.8165,9.1612,0.0000,0.0000
1,9.244,9.2438,0.0001,0.0184,0.0365,0.3322,0.5042,0.0000,0.0000
2,9.797,0.5528,19.6851,0.0724,0.0518,1.3970,21.4054,0.2796,0.1188
3,31.325,21.5283,4.1285,0.0314,0.0475,0.4108,4.7598,0.2790,0.1188
4,36.143,4.8183,13.3515,0.0375,0.0702,0.6478,14.3185,0.2828,0.1208
5,50.650,14.5067,5.8347,0.0319,0.0371,0.3392,6.3667,0.2755,0.1198
6,57.066,6.4163,13.4424,0.0445,0.0418,0.1220,13.7784,0.2779,0.1188
7,70.899,13.8331,5.5692,0.0290,0.0326,0.1374,5.9795,0.2727,0.1178
8,77.009,6.1099,7.9719,0.0301,0.0386,0.5536,8.7137,0.2754,0.1178
9,85.817,8.8074,5.1575,0.0509,0.0438,0.1552,5.5636,0.2769,0.1198
10,91.446,5.6298,5.5223,0.0275,0.0337,0.2554,5.9486,0.2726,0.1178
11,97.435,5.9883,7.5373,0.0468,0.0426,0.0998,7.8538,0.2751,0.1167
12,105.337,7.9027,6.6338,0.0267,0.0334,0.1111,6.9276,0.2752,0.1188
13,112.312,6.9742,5.6617,0.0191,0.0262,0.2089,6.0033,0.2733,0.1178
14,118.353,6.0410,7.6683,0.0279,0.0312,0.0912,7.9354,0.2753,0.1178
15,126.340,7.9877,5.6306,0.0211,0.0248,0.1874,5.9551,0.2774,0.1167
16,132.333,5.9927,7.6399,0.0355,0.0459,0.1091,7.9799,0.2756,0.1167
17,140.398,8.0650,5.5709,0.0213,0.0278,0.2621,5.9851,0.2774,0.1188
18,146.424,6.0263,7.5990,0.0299,0.0350,0.0898,7.8759,0.2759,0.1167
19,154.350,7.9259,5.6281,0.0228,0.0294,0.1390,5.9204,0.2757,0.1178
20,160.312,5.9617,6.4547,0.0602,0.0497,0.3756,7.0839,0.2749,0.1178
21,167.470,7.1581,7.2464,0.0347,0.0383,0.1004,7.5566,0.2754,0.1188
22,175.089,7.6192,5.6397,0.0944,0.1150,0.1486,6.1782,0.2760,0.1178
23,181.483,6.3935,7.7922,0.0423,0.0510,0.1206,8.1407,0.2763,0.1178
24,189.699,8.2161,5.6635,0.0296,0.0357,0.0952,5.9546,0.2767,0.1188
25,195.756,6.0570,5.5532,0.0303,0.0730,0.2119,6.0013,0.2767,0.1167
26,201.818,6.0617,8.0535,0.0774,0.0497,0.1061,8.4588,0.2759,0.1178
27,210.338,8.5208,5.5692,0.0292,0.0540,0.1151,5.8894,0.2766,0.1188
28,216.299,5.9609,7.6513,0.0312,0.0423,0.1077,7.9621,0.2762,0.1167
29,224.327,8.0277,4.5888,0.0677,0.0635,0.3538,5.2540,0.2772,0.1178
30,229.649,5.3225,8.3307,0.0367,0.0404,0.1096,8.6632,0.2757,0.1178
31,238.371,8.7213,5.5262,0.0339,0.1197,0.0974,5.8945,0.2761,0.1178
32,244.313,5.9425,7.6611,0.0233,0.0343,0.0784,7.8972,0.2768,0.1167
33,252.258,7.9451,5.6495,0.0634,0.0295,0.0821,5.9393,0.2765,0.1178
34,258.235,5.9771,6.7078,0.0344,0.0324,0.0938,6.9884,0.2760,0.1178
35,265.275,7.0392,7.2331,0.0265,0.0346,0.0892,7.4953,0.2775,0.1178
36,272.818,7.5436,4.7468,0.0282,0.0361,0.4071,5.3493,0.2768,0.1167
37,278.213,5.3947,6.3426,0.0266,0.0322,0.2202,6.7241,0.2795,0.1167
38,284.978,6.7646,7.1141,0.0342,0.0417,0.1048,7.4159,0.2774,0.1178
39,292.462,7.4849,7.6052,0.0904,0.0684,0.1628,8.1142,0.2763,0.1167
40,300.654,8.1920,5.4061,0.0419,0.0392,0.1578,5.7777,0.2762,0.1178
41,306.494,5.8397,7.6126,0.0348,0.0412,0.0963,7.9126,0.2774,0.1167
42,314.457,7.9630,5.6097,0.0279,0.0434,0.1025,5.8907,0.2738,0.1188
43,320.395,5.9377,7.6775,0.0430,0.0575,0.1263,8.0395,0.2720,0.1167
44,328.513,8.1184,5.5510,0.0634,0.0426,0.1109,5.9021,0.2745,0.1188
45,334.467,5.9536,7.6196,0.0290,0.0373,0.0981,7.8991,0.2768,0.1178
46,342.416,7.9488,5.6492,0.0241,0.0330,0.0955,5.9154,0.2735,0.1178
47,348.383,5.9675,5.6814,0.0761,0.0249,0.2094,6.0722,0.2771,0.1167
48,354.493,6.1100,7.6102,0.0282,0.0497,0.0962,7.8841,0.2755,0.1178
49,362.427,7.9341,5.6568,0.0275,0.0429,0.0894,6.0211,0.2753,0.1178
50,368.491,6.0634,6.7349,0.0293,0.0333,0.1005,6.9896,0.2751,0.1167
51,375.597,7.1060,7.7039,0.0273,0.0384,0.0953,7.9626,0.2770,0.1178
52,383.661,8.0646,6.1577,0.0383,0.0355,0.1399,6.5016,0.2761,0.1188
53,390.215,6.5538,5.5793,0.0255,0.0301,0.1848,5.9171,0.2757,0.1178
54,396.168,5.9532,6.6682,0.0310,0.0480,0.3056,7.1739,0.2750,0.1178
55,403.603,7.4350,6.9258,0.0332,0.0386,0.0920,7.2230,0.2739,0.1178
56,410.877,7.2736,6.6407,0.0552,0.0324,0.0947,6.9469,0.2748,0.1178
57,417.879,7.0018,5.6471,0.0408,0.0407,0.3034,6.1586,0.2746,0.1178
58,424.102,6.2236,6.4231,0.0354,0.0362,0.2594,6.8658,0.2757,0.1178
59,431.029,6.9266,7.4941,0.0398,0.0500,0.1453,7.8780,0.2757,0.1178
60,438.994,7.9652,5.5715,0.1371,0.0341,0.0937,5.9496,0.2739,0.1178
61,444.997,6.0028,7.5546,0.0330,0.0373,0.0917,7.9036,0.2766,0.1188
62,452.957,7.9597,6.6600,0.0313,0.0331,0.0915,6.9339,0.2726,0.1188
63,459.935,6.9787,5.6553,0.0298,0.0317,0.0897,5.9097,0.2739,0.1178
64,465.891,5.9556,7.8728,0.0304,0.0380,0.0893,8.1472,0.2733,0.1178
65,474.086,8.1953,5.6134,0.0263,0.0297,0.1035,5.8749,0.2754,0.1198
66,480.020,5.9343,7.3993,0.0321,0.0388,0.0980,7.6781,0.2722,0.1178
67,487.746,7.7252,5.5355,0.0226,0.0386,0.1140,5.8381,0.2720,0.1188
68,493.627,5.8813,7.7843,0.0311,0.0369,0.0987,8.0636,0.2752,0.1178
69,501.741,8.1139,5.6079,0.0248,0.0268,0.0806,5.8410,0.2745,0.1188
70,507.622,5.8809,7.7826,0.0446,0.0586,0.1235,8.1515,0.2741,0.1167
71,515.930,8.3088,5.3967,0.0319,0.0505,0.0992,5.6998,0.2745,0.1188
72,521.677,5.7462,6.5866,0.0362,0.0347,0.1139,6.9009,0.2733,0.1167
73,528.625,6.9487,5.7523,0.0254,0.0306,0.2733,6.1810,0.2713,0.1178
74,534.845,6.2200,6.5145,0.0434,0.0481,0.6157,7.3838,0.2750,0.1178
75,542.315,7.4700,5.9489,0.0482,0.0456,0.3835,6.5758,0.2708,0.1178
76,548.955,6.6400,7.3973,0.0348,0.0428,0.1001,7.7075,0.2704,0.1178
77,556.712,7.7565,5.5543,0.0251,0.0344,0.1766,5.8938,0.2733,0.1188
78,562.649,5.9376,7.7187,0.0274,0.0330,0.0899,7.9803,0.2720,0.1178
79,570.695,8.0455,5.6226,0.0696,0.0302,0.0839,5.9036,0.2736,0.1178
80,576.639,5.9436,7.7303,0.0256,0.0341,0.0896,7.9856,0.2738,0.1188
81,584.686,8.0470,7.3274,0.0307,0.0496,0.0991,7.6298,0.2736,0.1188
82,592.383,7.6969,5.7457,0.0355,0.0378,0.1108,6.0577,0.2713,0.1178
83,598.492,6.1099,7.5498,0.0528,0.0611,0.1368,7.9559,0.2706,0.1178
84,606.518,8.0260,5.1145,0.0418,0.0430,0.1174,5.4503,0.2701,0.1178
85,612.029,5.5101,7.5980,0.0276,0.0354,0.0927,7.8696,0.2730,0.1178
86,619.944,7.9152,5.7036,0.0341,0.0395,0.1027,6.0060,0.2721,0.1198
