# start_unix_ms 1790234376340
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0003,0.0396,0.1218,1.4795,13.5818,0.0000,0.0000
1,13.721,13.7206,25.4875,0.0934,0.1254,0.5929,26.5993,0.0000,0.0000
2,40.570,26.8492,7.2019,0.0636,0.0806,2.6428,10.2048,0.2835,0.1239
3,50.852,10.2820,10.9884,0.0975,0.0756,0.1830,11.5938,0.2764,0.1198
4,62.543,11.6912,21.6855,0.0809,0.0965,0.2166,22.2779,0.2760,0.1188
5,84.942,22.3986,10.8138,0.0894,0.1343,1.7167,12.9903,0.2754,0.1188
6,98.004,13.0625,5.2655,0.0855,0.1725,0.5238,6.3324,0.2777,0.1188
7,104.551,6.5469,5.3234,0.0789,0.1292,0.3022,6.0279,0.2765,0.1178
8,110.698,6.1471,5.1838,0.0645,0.0774,1.2098,6.7175,0.2767,0.1188
9,117.536,6.8378,5.4581,0.0570,0.0735,0.1609,5.9072,0.2796,0.1178
10,123.511,5.9749,7.1615,0.0760,0.0951,0.1961,7.6957,0.2765,0.1178
11,131.301,7.7903,6.5147,0.0579,0.1144,0.1464,6.9952,0.2755,0.1178
12,138.528,7.2270,5.2534,0.0869,0.0953,0.2400,5.9009,0.2774,0.1178
13,144.535,6.0073,6.4615,0.0474,0.0748,0.1578,6.9416,0.2757,0.1178
14,151.583,7.0473,6.9942,0.0671,0.0925,0.2517,7.6064,0.2782,0.1178
15,159.348,7.7655,5.4914,0.0473,0.0662,0.1176,5.9155,0.2763,0.1178
16,165.364,6.0157,7.5817,0.0563,0.0599,0.1214,7.9695,0.2751,0.1178
17,173.416,8.0524,6.5241,0.0507,0.0665,0.1222,6.9060,0.2747,0.1178
18,180.397,6.9807,5.5540,0.0655,0.0879,0.2065,6.1047,0.2764,0.1167
19,186.609,6.2123,5.3934,0.0489,0.0659,0.1727,5.8794,0.2756,0.1178
20,192.574,5.9650,6.7117,0.0681,0.0950,0.2316,7.3052,0.2759,0.1167
21,199.992,7.4180,3.3030,0.0483,0.0654,0.1476,3.7540,0.2747,0.1167
22,203.829,3.8365,10.9949,0.0661,0.0984,0.2210,11.6108,0.2755,0.1178
23,215.561,11.7319,15.4554,0.0621,0.1351,1.2791,17.1468,0.2753,0.1167
24,232.927,17.3662,17.2074,0.0545,0.0699,0.1531,17.6470,0.2781,0.1178
25,250.669,17.7426,4.9922,0.0519,0.0697,0.1591,5.4308,0.2763,0.1167
26,256.181,5.5119,6.6194,0.0512,0.0739,0.1486,7.0489,0.2785,0.1178
27,263.319,7.1371,12.5863,0.0596,0.0775,1.0525,13.9348,0.2761,0.1167
28,277.368,14.0491,6.5162,0.0726,0.0730,0.2392,7.1448,0.2759,0.1178
29,284.604,7.2364,4.8278,0.0528,0.0778,1.2868,6.4015,0.2750,0.1178
30,291.517,6.9133,6.4296,0.0592,0.0954,0.1878,6.9626,0.2779,0.1167
31,298.917,7.3993,5.0437,0.0567,0.0740,1.1565,6.4973,0.2752,0.1178
32,305.506,6.5891,6.0738,0.0603,0.0823,0.1869,6.5806,0.2774,0.1178
33,312.194,6.6885,5.8169,0.0565,0.0845,0.1682,6.3111,0.2768,0.1178
34,318.603,6.4090,5.4159,0.0674,0.0699,0.1358,5.8503,0.2781,0.1167
35,324.532,5.9284,7.0105,0.0535,0.0707,0.1501,7.4428,0.2779,0.1167
36,332.069,7.5377,5.9965,0.0714,0.0962,0.2114,6.5944,0.2781,0.1178
37,338.775,6.7057,7.2694,0.0613,0.1066,0.1981,7.9000,0.2769,0.1167
38,347.056,8.2811,5.4835,0.0542,0.0703,0.1428,5.9555,0.2765,0.1178
39,353.097,6.0407,5.5078,0.0463,0.0631,0.1507,5.9304,0.2758,0.1167
40,359.111,6.0140,7.0157,0.0531,0.0708,0.1426,7.4383,0.2773,0.1178
41,366.639,7.5282,7.5323,0.0648,0.0717,0.1416,7.9827,0.2761,0.1167
42,374.707,8.0675,4.8597,0.0477,0.0644,0.1353,5.2598,0.2738,0.1178
43,380.051,5.3447,7.9516,0.0871,0.1184,1.0146,9.5445,0.2735,0.1178
44,389.726,9.6748,5.4237,0.0570,0.0792,0.1577,5.8890,0.2748,0.1167
45,395.968,6.2420,5.6391,0.0510,0.0681,0.1348,6.0461,0.2757,0.1167
46,402.096,6.1278,6.0454,0.0748,0.0745,0.1782,6.5447,0.2748,0.1178
47,408.759,6.6633,5.3656,0.0581,0.0648,0.1287,5.7643,0.2767,0.1167
48,414.590,5.8305,7.0484,0.0602,0.0852,0.1316,7.4728,0.2749,0.1178
49,422.139,7.5499,6.0339,0.0539,0.0886,0.1437,6.4900,0.2754,0.1178
50,428.721,6.5818,6.9612,0.0537,0.0688,0.1433,7.3715,0.2754,0.1167
51,436.182,7.4611,6.0433,0.0512,0.0689,0.1436,6.4600,0.2773,0.1178
52,442.726,6.5434,7.0159,0.0739,0.0988,0.2186,7.6025,0.2755,0.1178
53,450.445,7.7190,5.2553,0.0974,0.0960,0.2315,5.9323,0.2761,0.1178
54,456.486,6.0413,8.1450,0.0559,0.0824,0.1434,8.6199,0.2761,0.1178
55,465.190,8.7038,6.9456,0.0464,0.0763,0.1469,7.3680,0.2743,0.1178
56,472.644,7.4543,5.0616,0.0536,0.0648,0.6699,6.0011,0.2758,0.1178
57,478.841,6.1973,5.8610,0.0514,0.0708,0.1450,6.2924,0.2752,0.1178
58,485.226,6.3847,5.5681,0.0587,0.0728,0.1576,6.0421,0.2757,0.1178
59,491.360,6.1335,6.4971,0.0585,0.0741,0.1401,6.9547,0.2742,0.1167
60,498.403,7.0433,7.4798,0.0595,0.0804,0.1820,7.9866,0.2738,0.1178
61,506.490,8.0869,5.9107,0.0561,0.0709,0.1525,6.3556,0.2745,0.1178
62,512.943,6.4531,6.9790,0.1078,0.1663,0.8760,8.3653,0.2732,0.1178
63,521.789,8.8465,5.4590,0.1157,0.1174,1.9570,8.2630,0.2756,0.1178
64,530.373,8.5839,3.8570,0.0757,0.1178,2.0758,6.4895,0.2773,0.1178
65,537.469,7.0957,3.3990,0.0612,0.0819,0.1803,3.9183,0.2730,0.1178
66,541.723,4.2539,5.6463,0.0658,0.0773,0.2172,6.2538,0.2728,0.1178
67,548.168,6.4452,5.1553,0.0734,0.0977,0.2187,5.7703,0.2748,0.1178
68,554.162,5.9936,7.2640,0.0598,0.0733,0.1485,7.7402,0.2742,0.1178
69,562.268,8.1065,5.6507,0.0540,0.0704,0.1478,6.1152,0.2728,0.1178
70,568.474,6.2054,5.3811,0.0537,0.0684,0.1299,5.7792,0.2743,0.1178
71,574.336,5.8624,7.1498,0.0579,0.0849,0.1282,7.5849,0.2714,0.1167
72,582.005,7.6694,5.8941,0.0435,0.0598,0.1289,6.2717,0.2734,0.1178
73,588.363,6.3576,7.5928,0.0449,0.0625,0.3311,8.1695,0.2730,0.1178
74,596.677,8.3141,5.4612,0.0538,0.0787,1.2227,7.0588,0.2726,0.1178
75,605.603,8.9256,3.0906,0.2399,0.1927,0.4868,4.2959,0.2738,0.1178
76,610.578,4.9753,5.2397,0.0774,0.1043,1.1220,6.7937,0.2736,0.1167
77,617.805,7.2266,5.4203,0.0750,0.1082,0.2290,6.0815,0.2741,0.1178
78,624.005,6.2006,5.7451,0.0742,0.1066,1.0735,7.2693,0.2703,0.1178
79,631.496,7.4912,4.7351,0.0661,0.0883,0.1920,5.3436,0.2717,0.1178
80,636.953,5.4570,7.2961,0.0746,0.0979,0.2394,7.9648,0.2737,0.1178
81,645.042,8.0885,9.2733,0.0927,0.1322,0.4105,10.2356,0.2720,0.1178
82,655.560,10.5183,8.8005,0.0755,0.1070,0.2544,9.5100,0.2704,0.1178
83,665.200,9.6395,7.1663,0.0757,0.0970,0.2425,7.8390,0.2743,0.1167
84,673.162,7.9626,4.7236,0.0563,0.1221,0.1792,5.3018,0.2707,0.1178
85,678.583,5.4211,11.3173,0.0746,0.1107,0.2519,12.0796,0.2703,0.1188
86,690.785,12.2018,8.7947,0.1445,0.0987,0.2211,9.5282,0.2724,0.1188
87,700.431,9.6458,5.6694,0.0629,0.0932,0.2129,6.2824,0.2744,0.1178
88,706.825,6.3941,7.4173,0.0584,0.0708,0.3636,8.1330,0.2716,0.1178
89,715.146,8.3208,5.7022,0.0544,0.0693,0.1463,6.1856,0.2732,0.1188
90,721.425,6.2793,6.9960,0.0746,0.0862,0.1785,7.5363,0.2712,0.1188
91,729.186,7.7612,5.1609,0.0461,0.0582,0.1293,5.5664,0.2707,0.1188
92,734.829,5.6426,6.0798,0.0675,0.0947,0.1919,6.6336,0.2700,0.1188
93,741.558,6.7285,6.9643,0.0474,0.0689,0.2278,7.5043,0.2700,0.1188
94,749.290,7.7322,5.1298,0.0417,0.0636,0.1332,5.5714,0.2730,0.1178
95,754.937,5.6476,7.7182,0.0646,0.0932,0.1886,8.2442,0.2718,0.1178
96,763.520,8.5824,6.8815,0.1086,0.1450,0.4325,7.9514,0.2713,0.1178
97,771.804,8.2845,3.9007,0.0620,0.0874,0.1999,4.4869,0.2742,0.1198
98,776.402,4.5976,7.2866,0.0652,0.0990,0.2149,7.9270,0.2741,0.1178
99,784.460,8.0581,4.7894,0.0717,0.1021,0.2277,5.4537,0.2712,0.1178
100,790.037,5.5774,7.7283,0.1487,0.1543,0.3754,8.7744,0.2711,0.1178
101,798.929,8.8914,6.8292,0.0849,0.1074,0.3104,7.6105,0.2726,0.1188
102,806.784,7.8547,3.6027,0.0755,0.1126,0.2412,4.2996,0.2745,0.1188
103,811.207,4.4231,6.6448,0.0779,0.1182,0.2381,7.3389,0.2748,0.1188
104,818.667,7.4601,5.2348,0.0746,0.1092,0.2341,5.9165,0.2728,0.1178
105,824.710,6.0435,6.6005,0.0774,0.1037,0.2260,7.2896,0.2720,0.1178
106,832.119,7.4085,5.7484,0.0769,0.1087,0.2509,6.4865,0.2713,0.1178
107,838.853,6.7342,6.0108,0.0709,0.0944,0.2040,6.6698,0.2714,0.1178
108,845.648,6.7952,6.2693,0.0753,0.1026,0.2403,6.9458,0.2729,0.1178
109,852.714,7.0657,6.5193,0.0797,0.1037,0.2343,7.2056,0.2709,0.1178
110,860.044,7.3301,5.9028,0.0735,0.0960,0.2259,6.5671,0.2698,0.1178
111,866.725,6.6815,6.3976,0.0719,0.0980,0.2174,7.0338,0.2714,0.1178
112,873.876,7.1511,5.4980,0.1376,0.0899,0.2149,6.1859,0.2726,0.1178
113,880.192,6.3158,7.6719,0.0538,0.0801,0.2070,8.2407,0.2714,0.1188
114,888.728,8.5357,5.2121,0.0472,0.0650,0.1447,5.6596,0.2688,0.1178
115,894.465,5.7374,7.2000,0.0571,0.0715,0.2600,7.7630,0.2728,0.1188
116,902.399,7.9335,5.6826,0.0547,0.0695,0.1585,6.1346,0.2702,0.1178
117,908.614,6.2150,7.3715,0.0718,0.0853,0.2078,7.9336,0.2692,0.1188
118,916.782,8.1676,4.7325,0.0742,0.0900,0.2123,5.3453,0.2696,0.1188
119,922.230,5.4482,6.9086,0.0570,0.0736,0.1433,7.3753,0.2693,0.1188
120,929.678,7.4479,5.5268,0.0458,0.0606,0.1237,5.9019,0.2686,0.1178
121,935.668,5.9909,7.9727,0.0701,0.0990,0.2039,8.5525,0.2689,0.1188
122,944.331,8.6622,5.8024,0.0665,0.0961,0.2073,6.4103,0.2696,0.1188
123,950.858,6.5277,8.3386,0.0705,0.1229,0.2385,9.0271,0.2688,0.1188
124,960.009,9.1503,5.7781,0.1265,0.1428,0.2394,6.7042,0.2712,0.1178
125,966.831,6.8222,5.9506,0.0673,0.0907,0.2131,6.5683,0.2711,0.1178
126,973.505,6.6746,4.7711,0.0699,0.0930,0.2230,5.4097,0.2730,0.1188
127,979.042,5.5361,12.7923,0.0708,0.1057,0.2584,13.4807,0.2721,0.1188
128,992.649,13.6079,5.1112,0.0701,0.1001,0.2310,5.7666,0.2715,0.1198
129,998.554,5.9041,7.2259,0.0725,0.1100,0.2414,7.9073,0.2722,0.1188
130,1007.030,8.4761,5.3095,0.0692,0.0911,0.2228,5.9219,0.2725,0.1178
131,1013.071,6.0413,6.7285,0.0526,0.0689,0.1781,7.2443,0.2706,0.1188
